first_bug_hit_ratio,second_bug_hit_ratio,file
0.02,0.3,1
0.02,0.34,1
0.02,0.36,1
0.02,0.53,1
0.03,0.0,167
0.03,0.01,5
0.03,0.02,20
0.03,0.03,34
0.03,0.04,52
0.03,0.05,84
0.03,0.06,96
0.03,0.07,81
0.03,0.08,174
0.03,0.09,55
0.03,0.1,57
0.03,0.11,22
0.03,0.12,27
0.03,0.13,30
0.03,0.14,24
0.03,0.15,9
0.03,0.16,5
0.03,0.17,10
0.03,0.18,10
0.03,0.19,11
0.03,0.2,4
0.03,0.21,10
0.03,0.22,1
0.03,0.23,6
0.03,0.24,3
0.03,0.25,4
0.03,0.27,3
0.03,0.28,2
0.03,0.29,4
0.03,0.3,2
0.03,0.31,1
0.03,0.33,3
0.03,0.35,1
0.03,0.36,3
0.03,0.37,1
0.03,0.38,4
0.03,0.4,2
0.03,0.44,1
0.04,0.0,279
0.04,0.01,12
0.04,0.02,30
0.04,0.03,120
0.04,0.04,99
0.04,0.05,116
0.04,0.06,114
0.04,0.07,104
0.04,0.08,161
0.04,0.09,60
0.04,0.1,48
0.04,0.11,41
0.04,0.12,30
0.04,0.13,36
0.04,0.14,24
0.04,0.15,19
0.04,0.16,11
0.04,0.17,29
0.04,0.18,21
0.04,0.19,9
0.04,0.2,11
0.04,0.21,9
0.04,0.22,4
0.04,0.23,1
0.04,0.24,1
0.04,0.25,7
0.04,0.26,3
0.04,0.27,13
0.04,0.28,1
0.04,0.29,1
0.04,0.3,9
0.04,0.31,3
0.04,0.33,1
0.04,0.35,1
0.04,0.36,5
0.04,0.38,1
0.04,0.4,1
0.04,0.42,2
0.04,0.43,1
0.04,0.45,1
0.04,0.58,1
0.04,0.59,1
0.04,0.62,1
0.04,0.75,1
0.05,0.0,283
0.05,0.01,7
0.05,0.02,31
0.05,0.03,80
0.05,0.04,96
0.05,0.05,124
0.05,0.06,143
0.05,0.07,138
0.05,0.08,164
0.05,0.09,79
0.05,0.1,84
0.05,0.11,57
0.05,0.12,28
0.05,0.13,56
0.05,0.14,32
0.05,0.15,31
0.05,0.16,14
0.05,0.17,25
0.05,0.18,20
0.05,0.19,18
0.05,0.2,24
0.05,0.21,20
0.05,0.22,10
0.05,0.23,9
0.05,0.24,6
0.05,0.25,10
0.05,0.26,4
0.05,0.27,12
0.05,0.28,3
0.05,0.29,4
0.05,0.3,11
0.05,0.31,4
0.05,0.32,4
0.05,0.33,4
0.05,0.35,2
0.05,0.36,9
0.05,0.38,3
0.05,0.4,4
0.05,0.41,3
0.05,0.42,1
0.05,0.43,1
0.05,0.45,2
0.05,0.47,2
0.05,0.53,1
0.05,0.6,2
0.06,0.0,292
0.06,0.01,11
0.06,0.02,39
0.06,0.03,90
0.06,0.04,101
0.06,0.05,142
0.06,0.06,143
0.06,0.07,121
0.06,0.08,191
0.06,0.09,47
0.06,0.1,79
0.06,0.11,52
0.06,0.12,41
0.06,0.13,59
0.06,0.14,45
0.06,0.15,31
0.06,0.16,13
0.06,0.17,29
0.06,0.18,28
0.06,0.19,16
0.06,0.2,30
0.06,0.21,14
0.06,0.22,7
0.06,0.23,18
0.06,0.24,12
0.06,0.25,13
0.06,0.26,6
0.06,0.27,10
0.06,0.28,3
0.06,0.29,7
0.06,0.3,5
0.06,0.31,8
0.06,0.32,3
0.06,0.33,4
0.06,0.34,1
0.06,0.35,1
0.06,0.36,4
0.06,0.38,4
0.06,0.39,1
0.06,0.4,2
0.06,0.41,1
0.06,0.43,1
0.06,0.44,2
0.06,0.45,3
0.06,0.47,1
0.06,0.5,1
0.06,0.53,1
0.06,0.55,2
0.06,0.57,1
0.06,0.64,2
0.06,0.67,1
0.07,0.0,298
0.07,0.01,4
0.07,0.02,43
0.07,0.03,87
0.07,0.04,105
0.07,0.05,103
0.07,0.06,116
0.07,0.07,107
0.07,0.08,158
0.07,0.09,78
0.07,0.1,81
0.07,0.11,47
0.07,0.12,36
0.07,0.13,58
0.07,0.14,40
0.07,0.15,47
0.07,0.16,21
0.07,0.17,45
0.07,0.18,32
0.07,0.19,14
0.07,0.2,37
0.07,0.21,23
0.07,0.22,10
0.07,0.23,11
0.07,0.24,11
0.07,0.25,24
0.07,0.26,6
0.07,0.27,14
0.07,0.28,2
0.07,0.29,9
0.07,0.3,7
0.07,0.31,5
0.07,0.32,6
0.07,0.33,10
0.07,0.36,1
0.07,0.37,2
0.07,0.38,1
0.07,0.4,3
0.07,0.41,2
0.07,0.42,3
0.07,0.45,1
0.07,0.47,1
0.07,0.48,1
0.07,0.5,5
0.07,0.53,1
0.07,0.54,1
0.07,0.63,1
0.07,0.64,1
0.07,0.73,1
0.08,0.0,409
0.08,0.01,1
0.08,0.02,32
0.08,0.03,58
0.08,0.04,95
0.08,0.05,104
0.08,0.06,131
0.08,0.07,114
0.08,0.08,133
0.08,0.09,68
0.08,0.1,90
0.08,0.11,46
0.08,0.12,34
0.08,0.13,65
0.08,0.14,37
0.08,0.15,44
0.08,0.16,20
0.08,0.17,48
0.08,0.18,48
0.08,0.19,25
0.08,0.2,39
0.08,0.21,30
0.08,0.22,6
0.08,0.23,14
0.08,0.24,12
0.08,0.25,14
0.08,0.26,4
0.08,0.27,16
0.08,0.28,10
0.08,0.29,11
0.08,0.3,10
0.08,0.31,13
0.08,0.32,1
0.08,0.33,7
0.08,0.35,7
0.08,0.36,9
0.08,0.38,6
0.08,0.39,1
0.08,0.4,9
0.08,0.41,3
0.08,0.43,1
0.08,0.44,2
0.08,0.45,2
