bug_count,files
0,297726
1,105231
2,50629
3,24230
4,18254
5,9191
6,6530
7,3957
8,2913
9,2249
10,1682
11,1428
12,1112
13,915
14,811
15,598
16,478
17,424
18,412
19,297
20,273
21,244
22,216
23,194
24,173
25,145
26,126
27,126
28,118
29,98
30,96
31,87
32,76
33,71
34,68
35,57
36,48
37,49
38,42
39,42
40,32
41,31
42,24
43,31
44,27
45,26
46,26
47,28
48,16
49,22
50,12
51,17
52,18
53,14
54,11
55,14
56,6
57,9
58,14
59,11
60,8
61,3
62,7
63,13
64,5
65,4
66,10
67,7
68,5
69,5
70,3
71,6
72,4
73,4
74,3
75,3
76,4
77,4
78,7
79,5
80,2
81,8
82,2
83,2
85,4
86,3
87,2
88,5
89,2
90,3
91,4
92,2
93,4
94,1
95,1
100,2
101,2
102,1
103,1
104,4
105,1
106,3
107,1
108,1
109,1
110,1
111,3
112,1
114,1
117,1
118,1
119,2
120,1
125,1
126,1
127,1
133,1
135,1
137,1
138,1
140,1
141,1
143,1
144,1
148,1
157,1
165,1
173,1
178,1
181,1
197,1
223,1
232,2
234,1
399,1
