first_bug_hit_ratio,second_bug_hit_ratio,files
0.05,0.25,2
0.05,0.27,1
0.05,0.29,1
0.05,0.35,1
0.05,0.36,1
0.05,0.4,1
0.06,0,102
0.06,0.01,3
0.06,0.02,29
0.06,0.03,55
0.06,0.04,55
0.06,0.05,47
0.06,0.06,46
0.06,0.07,30
0.06,0.08,25
0.06,0.09,11
0.06,0.1,15
0.06,0.11,13
0.06,0.12,6
0.06,0.13,6
0.06,0.14,4
0.06,0.15,4
0.06,0.16,1
0.06,0.17,3
0.06,0.18,5
0.06,0.2,4
0.06,0.25,3
0.06,0.26,1
0.06,0.27,2
0.06,0.32,1
0.06,0.33,1
0.06,0.38,1
0.06,0.55,1
0.07,0,88
0.07,0.01,5
0.07,0.02,20
0.07,0.03,61
0.07,0.04,34
0.07,0.05,42
0.07,0.06,49
0.07,0.07,37
0.07,0.08,23
0.07,0.09,7
0.07,0.1,15
0.07,0.11,10
0.07,0.12,7
0.07,0.13,7
0.07,0.14,8
0.07,0.15,3
0.07,0.16,2
0.07,0.17,5
0.07,0.18,6
0.07,0.2,3
0.07,0.21,1
0.07,0.22,4
0.07,0.23,1
0.07,0.24,1
0.07,0.25,2
0.07,0.27,1
0.07,0.29,2
0.07,0.3,2
0.07,0.32,1
0.07,0.33,1
0.07,0.38,1
0.07,0.41,1
0.07,0.47,1
0.08,0,58
0.08,0.01,3
0.08,0.02,15
0.08,0.03,37
0.08,0.04,33
0.08,0.05,26
0.08,0.06,32
0.08,0.07,23
0.08,0.08,18
0.08,0.09,7
0.08,0.1,6
0.08,0.11,8
0.08,0.12,1
0.08,0.13,5
0.08,0.14,3
0.08,0.15,2
0.08,0.16,3
0.08,0.17,3
0.08,0.18,7
0.08,0.19,3
0.08,0.2,1
0.08,0.21,2
0.08,0.23,3
0.08,0.25,2
0.08,0.27,3
0.08,0.29,1
0.08,0.31,1
0.08,0.36,1
0.08,0.37,1
0.08,0.38,1
0.09,0,47
0.09,0.02,9
0.09,0.03,17
0.09,0.04,21
0.09,0.05,15
0.09,0.06,14
0.09,0.07,15
0.09,0.08,14
0.09,0.09,5
0.09,0.1,8
0.09,0.11,6
0.09,0.12,2
0.09,0.13,4
0.09,0.14,3
0.09,0.15,3
0.09,0.16,1
0.09,0.17,2
0.09,0.18,2
0.09,0.2,7
0.09,0.21,1
0.09,0.23,2
0.09,0.24,1
0.09,0.25,4
0.09,0.27,1
0.09,0.29,1
0.09,0.3,2
0.09,0.31,1
0.09,0.33,2
0.09,0.36,1
0.09,0.38,1
0.09,0.4,1
0.09,0.45,1
0.1,0,31
0.1,0.01,2
0.1,0.02,15
0.1,0.03,38
0.1,0.04,24
0.1,0.05,22
0.1,0.06,27
0.1,0.07,13
0.1,0.08,12
0.1,0.09,6
0.1,0.1,4
0.1,0.11,6
0.1,0.12,2
0.1,0.13,5
0.1,0.14,3
0.1,0.15,4
0.1,0.16,2
0.1,0.17,7
0.1,0.18,3
0.1,0.19,3
0.1,0.2,6
0.1,0.21,2
0.1,0.23,1
0.1,0.25,4
0.1,0.29,2
0.1,0.3,1
0.1,0.33,1
0.1,0.36,1
0.1,0.38,1
0.1,0.64,1
0.11,0,30
0.11,0.02,7
0.11,0.03,20
0.11,0.04,24
0.11,0.05,23
0.11,0.06,5
0.11,0.07,7
0.11,0.08,3
0.11,0.09,5
0.11,0.1,5
0.11,0.11,2
0.11,0.12,2
0.11,0.13,1
0.11,0.14,1
0.11,0.15,3
0.11,0.17,3
0.11,0.18,2
0.11,0.19,3
0.11,0.2,5
0.11,0.21,2
0.11,0.22,1
0.11,0.23,2
0.11,0.24,2
0.11,0.25,1
0.11,0.3,1
0.11,0.31,1
0.11,0.37,1
0.11,0.38,1
0.12,0,35
0.12,0.01,1
0.12,0.02,4
0.12,0.03,22
0.12,0.04,21
0.12,0.05,13
0.12,0.06,16
0.12,0.07,10
0.12,0.08,3
0.12,0.09,7
0.12,0.1,2
0.12,0.11,2
0.12,0.12,1
0.12,0.13,2
0.12,0.14,2
0.12,0.15,3
0.12,0.16,1
0.12,0.17,3
0.12,0.18,1
0.12,0.19,1
0.12,0.2,3
0.12,0.21,2
0.12,0.23,1
0.12,0.25,1
0.12,0.27,2
0.12,0.3,2
0.12,0.36,1
0.13,0,40
0.13,0.02,3
0.13,0.03,15
0.13,0.04,13
0.13,0.05,12
0.13,0.06,17
0.13,0.07,20
0.13,0.08,17
0.13,0.09,4
0.13,0.1,4
0.13,0.11,8
0.13,0.13,3
0.13,0.14,4
0.13,0.15,4
0.13,0.16,3
0.13,0.17,2
0.13,0.18,3
0.13,0.2,3
0.13,0.23,1
0.13,0.25,2
0.13,0.27,1
0.13,0.29,2
0.13,0.32,1
0.13,0.36,2
0.13,0.4,1
0.13,0.42,1
0.13,0.46,1
0.13,0.5,1
0.14,0,20
0.14,0.03,5
0.14,0.04,7
0.14,0.05,6
0.14,0.06,11
0.14,0.07,5
0.14,0.08,3
0.14,0.09,3
0.14,0.1,3
0.14,0.11,5
0.14,0.12,2
0.14,0.13,2
0.14,0.14,2
0.14,0.16,1
0.14,0.18,1
0.14,0.19,2
0.14,0.2,2
0.14,0.21,2
0.14,0.23,1
0.14,0.29,2
0.14,0.37,1
0.14,0.38,1
0.15,0,26
0.15,0.03,3
0.15,0.04,2
0.15,0.05,3
0.15,0.06,2
0.15,0.07,4
0.15,0.08,8
0.15,0.09,1
0.15,0.1,4
0.15,0.11,3
0.15,0.12,1
0.15,0.13,1
0.15,0.14,4
0.15,0.15,1
0.15,0.17,2
0.15,0.18,1
0.15,0.19,2
0.15,0.2,4
0.15,0.21,3
0.15,0.25,2
0.15,0.33,1
0.15,0.36,1
0.15,0.39,1
0.15,0.5,1
0.16,0,9
0.16,0.04,3
0.16,0.05,2
0.16,0.06,3
0.16,0.07,1
0.16,0.08,1
0.16,0.09,4
0.16,0.1,1
0.16,0.11,1
0.16,0.12,1
0.16,0.13,4
0.16,0.15,1
0.16,0.18,2
0.16,0.19,1
0.16,0.2,1
0.16,0.21,1
0.16,0.22,1
0.16,0.24,1
0.16,0.27,1
0.16,0.3,2
0.16,0.38,1
0.16,0.44,1
0.16,0.46,1
0.17,0,20
0.17,0.03,1
0.17,0.04,2
0.17,0.05,3
0.17,0.06,4
0.17,0.07,2
0.17,0.08,5
0.17,0.09,2
0.17,0.1,5
0.17,0.11,2
0.17,0.12,3
0.17,0.13,4
0.17,0.14,1
0.17,0.16,1
0.17,0.18,4
0.17,0.19,2
0.17,0.22,2
0.17,0.23,3
0.17,0.25,1
0.17,0.26,1
0.17,0.27,2
0.17,0.29,1
0.17,0.3,1
0.17,0.32,1
0.17,0.37,1
0.17,0.4,4
0.18,0,22
0.18,0.02,2
0.18,0.03,1
0.18,0.04,2
0.18,0.06,4
0.18,0.08,4
0.18,0.09,5
0.18,0.1,3
0.18,0.11,4
0.18,0.13,3
0.18,0.14,5
0.18,0.15,7
0.18,0.16,1
0.18,0.17,3
0.18,0.18,5
0.18,0.19,1
0.18,0.2,6
0.18,0.21,2
0.18,0.25,3
0.18,0.28,2
0.18,0.29,1
0.18,0.3,1
0.18,0.33,1
0.18,0.4,1
0.18,0.5,1
0.18,0.6,2
0.19,0,8
0.19,0.04,2
0.19,0.06,1
0.19,0.07,3
0.19,0.08,1
0.19,0.09,4
0.19,0.1,3
0.19,0.13,1
0.19,0.17,3
0.19,0.21,1
0.19,0.22,1
0.19,0.25,2
