feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
PackageDeclaration,11,12871,0,9646,22528,0.57,0.43,0.0,1.0,1.33,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
SuperFinalize,2,12871,0,9655,22528,0.57,0.43,0.0,1.0,1.33,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
EqualsHashCode,71,12864,7,9586,22528,0.57,0.43,0.0,0.91,1.12,0.01,0.0,0.01,0.57,0.01,0.0,0.99,0.03,0.0,
MethodTypeParameterName,7,12869,2,9650,22528,0.57,0.43,0.0,0.78,0.81,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
OuterTypeNumber,3,12870,1,9654,22528,0.57,0.43,0.0,0.75,0.75,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
avg_coupling_code_size_cut,6680,9661,3210,2977,22528,0.73,0.43,0.44,0.68,0.58,0.69,0.25,0.52,0.51,0.43,0.27,0.99,0.99,0.14,
MissingDeprecated,119,12813,58,9538,22528,0.57,0.43,0.01,0.67,0.57,0.01,0.0,0.01,0.57,0.01,0.0,0.99,0.07,0.0,
ArrayTrailingComma,72,12835,36,9585,22528,0.57,0.43,0.0,0.67,0.56,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,
AtclauseOrder,153,12782,89,9504,22528,0.57,0.43,0.01,0.63,0.47,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.09,0.0,
SimplifyBooleanReturn,12,12863,8,9645,22528,0.57,0.43,0.0,0.6,0.4,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
NoFinalizer,4,12868,3,9653,22528,0.57,0.43,0.0,0.57,0.33,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
FileTabCharacter,291,12646,225,9366,22528,0.57,0.43,0.02,0.56,0.32,0.03,0.02,0.03,0.57,0.01,0.01,0.99,0.16,0.0,
SimplifyBooleanExpression,29,12848,23,9628,22528,0.57,0.43,0.0,0.56,0.3,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.02,0.0,
EmptyStatement,36,12841,30,9621,22528,0.57,0.43,0.0,0.55,0.27,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,
ModifierOrder,106,12771,100,9551,22528,0.57,0.43,0.01,0.51,0.2,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.08,0.0,
InterfaceTypeParameterName,1,12870,1,9656,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
MethodCount,9,12862,9,9648,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
MissingOverride,9,12862,9,9648,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
NoLineWrap,2,12869,2,9655,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
NoWhitespaceBefore,171,12700,171,9486,22528,0.57,0.43,0.02,0.5,0.17,0.02,0.01,0.02,0.57,0.0,0.0,0.99,0.11,0.0,
OneTopLevelClass,4,12867,4,9653,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
UnnecessarySemicolonInTryWithResources,1,12870,1,9656,22528,0.57,0.43,0.0,0.5,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
NewlineAtEndOfFile,94,12776,95,9563,22528,0.57,0.43,0.01,0.5,0.16,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.07,0.0,
TrailingComment,388,12478,393,9269,22528,0.57,0.43,0.03,0.5,0.16,0.04,0.03,0.04,0.57,0.01,-0.0,0.99,0.22,0.0,
AbstractClassName,38,12831,40,9619,22528,0.57,0.43,0.0,0.49,0.14,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,
HideUtilityClassConstructor,22,12848,23,9635,22528,0.57,0.43,0.0,0.49,0.14,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.02,0.0,
NonEmptyAtclauseDescription,138,12725,146,9519,22528,0.57,0.43,0.01,0.49,0.13,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.1,0.0,
JavadocTagContinuationIndentation,73,12792,79,9584,22528,0.57,0.43,0.01,0.48,0.12,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.06,0.0,
LocalFinalVariableName,26,12843,28,9631,22528,0.57,0.43,0.0,0.48,0.12,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.02,0.0,
NoWhitespaceAfter,113,12748,123,9544,22528,0.57,0.43,0.01,0.48,0.12,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.08,0.0,
EmptyBlock,63,12802,69,9594,22528,0.57,0.43,0.01,0.48,0.11,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,
Indentation,775,12022,849,8882,22528,0.57,0.43,0.07,0.48,0.11,0.08,0.07,0.07,0.56,0.01,-0.01,0.99,0.37,0.0,
MultipleVariableDeclarations,54,12811,60,9603,22528,0.57,0.43,0.01,0.47,0.11,0.01,0.0,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,
IllegalCatch,223,12621,250,9434,22528,0.57,0.43,0.02,0.47,0.1,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,
VisibilityModifier,362,12466,405,9295,22528,0.57,0.43,0.03,0.47,0.1,0.04,0.03,0.04,0.57,0.01,-0.0,0.99,0.21,0.0,
AnnotationUseStyle,37,12828,43,9620,22528,0.57,0.43,0.0,0.46,0.08,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,
InnerTypeLast,219,12619,252,9438,22528,0.57,0.43,0.02,0.46,0.08,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,
AnnotationOnSameLine,848,11874,997,8809,22528,0.56,0.43,0.08,0.46,0.07,0.09,0.08,0.08,0.56,0.01,-0.01,0.99,0.41,0.0,
AvoidStarImport,193,12645,226,9464,22528,0.57,0.43,0.02,0.46,0.07,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.13,0.0,
DeclarationOrder,462,12328,543,9195,22528,0.57,0.43,0.04,0.46,0.07,0.05,0.04,0.05,0.56,0.0,-0.01,0.99,0.26,0.0,
FallThrough,10,12859,12,9647,22528,0.57,0.43,0.0,0.45,0.06,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.01,0.0,
SummaryJavadoc,317,12488,383,9340,22528,0.57,0.43,0.03,0.45,0.06,0.03,0.03,0.03,0.57,0.0,-0.01,0.99,0.2,0.0,
WhitespaceAfter,516,12249,622,9141,22528,0.57,0.43,0.05,0.45,0.06,0.05,0.05,0.05,0.56,0.0,-0.01,0.99,0.29,0.0,
EmptyForIteratorPad,14,12854,17,9643,22528,0.57,0.43,0.0,0.45,0.05,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.02,0.0,
LeftCurly,315,12484,387,9342,22528,0.57,0.43,0.03,0.45,0.05,0.03,0.03,0.03,0.57,0.0,-0.01,0.99,0.2,0.0,
MethodParamPad,44,12817,54,9613,22528,0.57,0.43,0.0,0.45,0.05,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.04,0.0,
SeparatorWrap,428,12345,526,9229,22528,0.57,0.43,0.04,0.45,0.05,0.04,0.04,0.04,0.57,0.0,-0.01,0.99,0.25,0.0,
file_ccp,4360,7501,5370,5297,22528,0.53,0.43,0.43,0.45,0.05,0.45,0.42,0.29,0.51,0.03,-0.08,0.99,0.99,0.0,
EmptyLineSeparator,726,11974,897,8931,22528,0.56,0.43,0.07,0.45,0.04,0.08,0.07,0.07,0.56,0.0,-0.01,0.99,0.37,0.0,
EqualsAvoidNull,97,12751,120,9560,22528,0.57,0.43,0.01,0.45,0.04,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.08,0.0,
FileLength,8,12861,10,9649,22528,0.57,0.43,0.0,0.44,0.04,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.01,0.0,
LineLength,1207,11382,1489,8450,22528,0.56,0.43,0.12,0.45,0.04,0.12,0.12,0.11,0.55,0.01,-0.02,0.99,0.53,0.0,
TypeName,4,12866,5,9653,22528,0.57,0.43,0.0,0.44,0.04,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.01,0.0,
WhitespaceAround,753,11930,941,8904,22528,0.56,0.43,0.08,0.44,0.04,0.08,0.07,0.07,0.56,0.0,-0.01,0.99,0.39,0.0,
ClassFanOutComplexity,100,12744,127,9557,22528,0.57,0.43,0.01,0.44,0.03,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.08,0.0,
LocalVariableName,72,12780,91,9585,22528,0.57,0.43,0.01,0.44,0.03,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.06,0.0,
MemberName,53,12804,67,9604,22528,0.57,0.43,0.01,0.44,0.03,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,
VariableDeclarationUsageDistance,193,12627,244,9464,22528,0.57,0.43,0.02,0.44,0.03,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.14,0.0,
CustomImportOrder,25,12839,32,9632,22528,0.57,0.43,0.0,0.44,0.02,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,
JavadocStyle,231,12573,298,9426,22528,0.57,0.43,0.02,0.44,0.02,0.02,0.02,0.02,0.57,0.0,-0.01,0.99,0.16,0.0,
MagicNumber,470,12265,606,9187,22528,0.57,0.43,0.05,0.44,0.02,0.05,0.05,0.05,0.56,0.0,-0.01,0.99,0.28,0.0,
NeedBraces,364,12404,467,9293,22528,0.57,0.43,0.04,0.44,0.02,0.04,0.04,0.04,0.57,0.0,-0.01,0.99,0.23,0.0,
NestedIfDepth,336,12441,430,9321,22528,0.57,0.43,0.03,0.44,0.02,0.03,0.03,0.03,0.57,0.0,-0.01,0.99,0.21,0.0,
RedundantModifier,150,12679,192,9507,22528,0.57,0.43,0.02,0.44,0.02,0.02,0.01,0.02,0.57,0.0,-0.0,0.99,0.11,0.0,
JavadocParagraph,351,12413,458,9306,22528,0.57,0.43,0.04,0.43,0.01,0.04,0.04,0.03,0.57,0.0,-0.01,0.99,0.22,0.0,
same_day_duration_avg,4852,6467,6404,4805,22528,0.5,0.43,0.5,0.43,0.01,0.5,0.5,0.3,0.5,0.0,-0.12,0.99,1.0,0.0,
IllegalImport,3,12867,4,9654,22528,0.57,0.43,0.0,0.43,-0.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,
JavadocMethod,386,12354,517,9271,22528,0.57,0.43,0.04,0.43,-0.0,0.04,0.04,0.04,0.57,-0.0,-0.01,0.99,0.24,0.0,
MissingSwitchDefault,64,12785,86,9593,22528,0.57,0.43,0.01,0.43,-0.0,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,
NoClone,6,12863,8,9651,22528,0.57,0.43,0.0,0.43,-0.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,
ParameterName,28,12834,37,9629,22528,0.57,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,
prev_touch_ago,3895,7698,5173,5762,22528,0.51,0.43,0.4,0.43,0.0,0.4,0.4,0.26,0.51,0.0,-0.1,0.99,0.97,0.0,
AbbreviationAsWordInName,30,12830,41,9627,22528,0.57,0.43,0.0,0.42,-0.01,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,
ClassMemberImpliedModifier,47,12807,64,9610,22528,0.57,0.43,0.0,0.42,-0.01,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,
CommentsIndentation,268,12509,362,9389,22528,0.57,0.43,0.03,0.43,-0.01,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.18,0.0,
FinalLocalVariable,853,11686,1185,8804,22528,0.56,0.43,0.09,0.42,-0.02,0.09,0.09,0.08,0.56,-0.0,-0.03,0.99,0.44,0.0,
ImportOrder,834,11719,1152,8823,22528,0.56,0.43,0.09,0.42,-0.02,0.09,0.09,0.08,0.56,-0.0,-0.02,0.99,0.43,0.0,
OneStatementPerLine,24,12838,33,9633,22528,0.57,0.43,0.0,0.42,-0.02,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,
SingleSpaceSeparator,346,12392,479,9311,22528,0.57,0.43,0.04,0.42,-0.02,0.04,0.04,0.03,0.57,-0.0,-0.01,0.99,0.23,0.0,
UnnecessaryParentheses,194,12605,266,9463,22528,0.57,0.43,0.02,0.42,-0.02,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.14,0.0,
ArrayTypeStyle,20,12843,28,9637,22528,0.57,0.43,0.0,0.42,-0.03,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,
ExplicitInitialization,163,12643,228,9494,22528,0.57,0.43,0.02,0.42,-0.03,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.13,0.0,
GenericWhitespace,37,12819,52,9620,22528,0.57,0.43,0.0,0.42,-0.03,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,
FinalClass,41,12812,59,9616,22528,0.57,0.43,0.0,0.41,-0.04,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,
FinalParameters,728,11834,1037,8929,22528,0.56,0.43,0.08,0.41,-0.04,0.08,0.08,0.07,0.56,-0.0,-0.02,0.99,0.4,0.0,
MultipleStringLiterals,573,12048,823,9084,22528,0.56,0.43,0.06,0.41,-0.04,0.06,0.06,0.05,0.56,-0.0,-0.02,0.99,0.34,0.0,
NestedTryDepth,19,12844,27,9638,22528,0.57,0.43,0.0,0.41,-0.04,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,
CyclomaticComplexity,236,12525,346,9421,22528,0.57,0.43,0.03,0.41,-0.05,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.17,0.0,
JavaNCSS,157,12641,230,9500,22528,0.57,0.43,0.02,0.41,-0.05,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.13,0.0,
OperatorWrap,263,12487,384,9394,22528,0.57,0.43,0.03,0.41,-0.05,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.19,0.0,
RightCurly,266,12486,385,9391,22528,0.57,0.43,0.03,0.41,-0.05,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.19,0.0,
AvoidStaticImport,218,12549,322,9439,22528,0.57,0.43,0.02,0.4,-0.06,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.16,0.0,
MissingJavadocMethod,639,11929,942,9018,22528,0.56,0.43,0.07,0.4,-0.06,0.07,0.07,0.06,0.56,-0.01,-0.02,0.99,0.37,0.0,
StaticVariableName,42,12809,62,9615,22528,0.57,0.43,0.0,0.4,-0.06,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,
DesignForExtension,549,12050,821,9108,22528,0.56,0.43,0.06,0.4,-0.07,0.06,0.06,0.05,0.56,-0.01,-0.02,0.99,0.33,0.0,
InvalidJavadocPosition,60,12780,91,9597,22528,0.57,0.43,0.01,0.4,-0.07,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,
ParenPad,231,12525,346,9426,22528,0.57,0.43,0.03,0.4,-0.07,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.17,0.0,
UncommentedMain,4,12865,6,9653,22528,0.57,0.43,0.0,0.4,-0.07,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,
AvoidInlineConditionals,348,12332,539,9309,22528,0.56,0.43,0.04,0.39,-0.08,0.04,0.04,0.03,0.57,-0.01,-0.01,0.99,0.24,0.0,
CatchParameterName,45,12802,69,9612,22528,0.57,0.43,0.01,0.39,-0.08,0.0,0.01,0.0,0.57,-0.0,-0.0,0.99,0.05,0.0,
ReturnCount,278,12441,430,9379,22528,0.56,0.43,0.03,0.39,-0.08,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.2,0.0,
UnusedImports,311,12391,480,9346,22528,0.56,0.43,0.04,0.39,-0.08,0.03,0.04,0.03,0.57,-0.0,-0.01,0.99,0.22,0.0,
ModifiedControlVariable,20,12840,31,9637,22528,0.57,0.43,0.0,0.39,-0.09,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,
NPathComplexity,185,12581,290,9472,22528,0.57,0.43,0.02,0.39,-0.09,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.15,0.0,
TodoComment,153,12632,239,9504,22528,0.57,0.43,0.02,0.39,-0.09,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.13,0.0,
ClassDataAbstractionCoupling,100,12713,158,9557,22528,0.57,0.43,0.01,0.39,-0.1,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.09,0.0,
IllegalType,63,12770,101,9594,22528,0.57,0.43,0.01,0.38,-0.1,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,
JavadocVariable,672,11804,1067,8985,22528,0.55,0.43,0.08,0.39,-0.1,0.07,0.08,0.06,0.56,-0.01,-0.03,0.99,0.39,0.0,
ParameterAssignment,126,12670,201,9531,22528,0.57,0.43,0.01,0.39,-0.1,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.11,0.0,
AnnotationLocation,26,12829,42,9631,22528,0.57,0.43,0.0,0.38,-0.11,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,
MissingCtor,177,12585,286,9480,22528,0.57,0.43,0.02,0.38,-0.11,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.14,0.0,
WriteTag,215,12524,347,9442,22528,0.57,0.43,0.02,0.38,-0.11,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.17,0.0,
ExecutableStatementCount,177,12579,292,9480,22528,0.57,0.43,0.02,0.38,-0.12,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.15,0.0,
OverloadMethodsDeclarationOrder,120,12670,201,9537,22528,0.57,0.43,0.01,0.37,-0.13,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.11,0.0,
BooleanExpressionComplexity,50,12785,86,9607,22528,0.57,0.43,0.01,0.37,-0.14,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.05,0.0,
HiddenField,408,12165,706,9249,22528,0.56,0.43,0.05,0.37,-0.15,0.04,0.05,0.04,0.56,-0.01,-0.02,0.99,0.28,0.0,
InnerAssignment,31,12817,54,9626,22528,0.57,0.43,0.0,0.36,-0.15,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.04,0.0,
MissingJavadocType,139,12624,247,9518,22528,0.57,0.43,0.02,0.36,-0.16,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.13,0.0,
JavadocPackage,100,12689,182,9557,22528,0.57,0.43,0.01,0.35,-0.17,0.01,0.01,0.01,0.57,-0.0,-0.01,0.99,0.1,0.0,
AvoidNestedBlocks,26,12823,48,9631,22528,0.57,0.43,0.0,0.35,-0.18,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,
