feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
EqualsHashCode,64,12624,14,9826,22528,0.56,0.44,0.0,0.82,0.87,0.01,0.0,0.01,0.56,0.0,0.0,0.99,0.03,0.0,
MethodTypeParameterName,7,12636,2,9883,22528,0.56,0.44,0.0,0.78,0.77,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
OneTopLevelClass,6,12636,2,9884,22528,0.56,0.44,0.0,0.75,0.71,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.0,0.0,
OuterTypeNumber,3,12637,1,9887,22528,0.56,0.44,0.0,0.75,0.71,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.0,0.0,
PackageDeclaration,8,12635,3,9882,22528,0.56,0.44,0.0,0.73,0.66,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
UnnecessarySemicolonInEnumeration,8,12635,3,9882,22528,0.56,0.44,0.0,0.73,0.66,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
IllegalImport,5,12636,2,9885,22528,0.56,0.44,0.0,0.71,0.63,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.0,0.0,
UncommentedMain,7,12635,3,9883,22528,0.56,0.44,0.0,0.7,0.59,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
ArrayTrailingComma,72,12602,36,9818,22528,0.56,0.44,0.0,0.67,0.52,0.01,0.0,0.01,0.56,0.0,0.0,0.99,0.04,0.0,
InterfaceIsType,2,12637,1,9888,22528,0.56,0.44,0.0,0.67,0.52,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.0,0.0,
ArrayTypeStyle,30,12620,18,9860,22528,0.56,0.44,0.0,0.62,0.42,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.02,0.0,
SimplifyBooleanReturn,12,12630,8,9878,22528,0.56,0.44,0.0,0.6,0.37,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
SimplifyBooleanExpression,31,12617,21,9859,22528,0.56,0.44,0.0,0.6,0.36,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.02,0.0,
EmptyStatement,39,12611,27,9851,22528,0.56,0.44,0.0,0.59,0.35,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.03,0.0,
MissingSwitchDefault,89,12577,61,9801,22528,0.56,0.44,0.01,0.59,0.35,0.01,0.0,0.01,0.56,0.0,0.0,0.99,0.06,0.0,
AbstractClassName,46,12606,32,9844,22528,0.56,0.44,0.0,0.59,0.34,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.03,0.0,
FileTabCharacter,301,12423,215,9589,22528,0.56,0.44,0.02,0.58,0.33,0.03,0.02,0.03,0.56,0.01,0.01,0.99,0.16,0.0,
VisibilityModifier,434,12305,333,9456,22528,0.57,0.44,0.03,0.57,0.29,0.04,0.03,0.04,0.56,0.02,0.01,0.99,0.21,0.0,
AbbreviationAsWordInName,40,12607,31,9850,22528,0.56,0.44,0.0,0.56,0.28,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.03,0.0,
ModifierOrder,116,12548,90,9774,22528,0.56,0.44,0.01,0.56,0.28,0.01,0.01,0.01,0.56,0.0,0.0,0.99,0.08,0.0,
UpperEll,9,12631,7,9881,22528,0.56,0.44,0.0,0.56,0.28,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
HideUtilityClassConstructor,25,12618,20,9865,22528,0.56,0.44,0.0,0.56,0.27,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.02,0.0,
MethodCount,10,12630,8,9880,22528,0.56,0.44,0.0,0.56,0.27,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,
