feature,cond_mean_file_ccp,cond_mean_diff_file_ccp,cond_mean_avg_coupling_code_size_cut,cond_mean_diff_avg_coupling_code_size_cut,cond_mean_same_day_duration_avg,cond_mean_diff_same_day_duration_avg,cond_mean_prev_touch_ago,cond_mean_diff_prev_touch_ago,cond_mean_random_metric,cond_mean_diff_random_metric
ReturnCount,0.2623113356375596,0.055000413783279856,15.72879557132963,-3.3832024053113656,115.91352402421539,13.693449259988114,33382.267418691634,-3435.5159416335227,49.9154498816101,-0.08809181658877918
JavadocPackage,0.19423430000660902,-0.013076621847670722,19.688506286987085,0.5765083103460888,95.51244232278685,-6.707632441440424,34587.990841545354,-2229.792518779803,48.96206316576341,-1.0414785324354696
OverloadMethodsDeclarationOrder,0.25761332042080703,0.050302398566527295,15.38580738104273,-3.7261905955982666,113.03557229653408,10.815497532306807,30511.194278193994,-6306.589082131162,50.217321828060086,0.2137801298612061
MissingCtor,0.20770465323686874,0.00039373138258899654,19.647474793971618,0.5354768173306219,100.24221936455211,-1.977855399675164,36293.71870413075,-524.0646561944086,49.58598825831702,-0.417553439881857
ArrayTrailingComma,0.22859329845545692,0.021282376601177183,13.33026608852139,-5.781731888119607,117.43928206641581,15.219207302188536,32570.299733815682,-4247.483626509475,49.13745704467354,-0.8660846535253413
TypeName,0.22577311791363955,0.01846219605935981,21.859409457745777,2.7474114811047805,99.9387675955881,-2.2813071686391737,44311.174160692404,7493.390800367248,47.776119402985074,-2.227422295213806
OneStatementPerLine,0.2303791686587129,0.023068246804433173,14.500237767028766,-4.61176020961223,122.84793075724468,20.627855993017405,35699.30740967818,-1118.4759506469782,49.80898876404494,-0.19455293415393982
SeparatorWrap,0.24199599033835986,0.03468506848408012,17.744858961768124,-1.3671390148728726,110.37873277937334,8.15865801514606,30465.150704858093,-6352.632655467063,49.718963282937366,-0.28457841526151384
AbstractClassName,0.21880914972540205,0.011498227871122313,19.19562798990459,0.0836300132635941,105.33057358795502,3.1104988237277382,34366.83722672892,-2450.9461335962333,50.82869277961303,0.8251510814141483
LocalVariableName,0.23306490350493705,0.025753981650657315,15.960962859855446,-3.1510351167855504,116.02272755281281,13.802652788585533,32359.929294492988,-4457.854065832169,50.185800604229605,0.18225890603072514
BooleanExpressionComplexity,0.2698738378224314,0.06256291596815167,13.67303461483926,-5.438963361801736,126.5636660523442,24.343591288116926,30612.24836776322,-6205.5349925619375,49.52,-0.48354169819887716
