feature,Pearson
SeparatorWrap_cmp,-0.05872621367482934
AtclauseOrder_cmp,-0.06756200725192515
JavadocType_cmp,-0.07701503576052841
DeclarationOrder_cmp,-0.11625142731325942
JavadocVariable_cmp,-0.13740312813263714
ImportOrder_cmp,-0.153639955944217
LineLength_cmp,-0.1698894654636864
OuterTypeFilename_cmp,
NoLineWrap_cmp,
Regexp_cmp,
UnnecessarySemicolonInTryWithResources_cmp,
SuppressWarnings_cmp,
RegexpOnFilename_cmp,
CovariantEquals_cmp,
