,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
0,MissingJavadocPackage,2.0,24774.0,2.0,8257.0,33035.0,0.75,0.25,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.81,0.0,0.0,
1,AtclauseOrder,791.0,23919.0,857.0,7468.0,33035.0,0.75,0.25,0.05,0.48,0.92,0.1,0.03,0.09,0.73,0.03,-0.0,0.81,0.29,0.01,
2,MutableException,16.0,24755.0,21.0,8243.0,33035.0,0.75,0.25,0.0,0.43,0.73,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
3,IllegalImport,10.0,24762.0,14.0,8249.0,33035.0,0.75,0.25,0.0,0.42,0.67,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
4,InterfaceTypeParameterName,15.0,24751.0,25.0,8244.0,33035.0,0.75,0.25,0.0,0.38,0.5,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
5,EmptyForInitializerPad,5.0,24767.0,9.0,8254.0,33035.0,0.75,0.25,0.0,0.36,0.43,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
6,TypeName,111.0,24552.0,224.0,8148.0,33035.0,0.75,0.25,0.01,0.33,0.33,0.01,0.01,0.01,0.74,0.0,-0.0,0.81,0.08,0.0,
7,SuperFinalize,5.0,24766.0,10.0,8254.0,33035.0,0.75,0.25,0.0,0.33,0.33,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
8,FileTabCharacter,2505.0,19150.0,5626.0,5754.0,33035.0,0.66,0.25,0.25,0.31,0.23,0.3,0.23,0.18,0.63,0.05,-0.13,0.81,0.81,0.0,
9,UncommentedMain,273.0,24131.0,645.0,7986.0,33035.0,0.74,0.25,0.03,0.3,0.19,0.03,0.03,0.03,0.74,0.0,-0.02,0.81,0.18,0.0,
10,TypecastParenPad,9.0,24754.0,22.0,8250.0,33035.0,0.75,0.25,0.0,0.29,0.16,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,
11,ArrayTypeStyle,167.0,24363.0,413.0,8092.0,33035.0,0.74,0.25,0.02,0.29,0.15,0.02,0.02,0.02,0.74,0.0,-0.01,0.81,0.13,0.0,
12,LeftCurly,1372.0,21295.0,3481.0,6887.0,33035.0,0.69,0.25,0.15,0.28,0.13,0.17,0.14,0.12,0.68,0.01,-0.09,0.81,0.6,0.0,
13,OneTopLevelClass,20.0,24725.0,51.0,8239.0,33035.0,0.75,0.25,0.0,0.28,0.13,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.02,0.0,
