feature,monotonicity
AbstractClassName,True
AnnotationLocation,True
AvoidStarImport,True
ClassMemberImpliedModifier,True
CommentsIndentation,True
DesignForExtension,True
EmptyCatchBlock,True
EqualsHashCode,True
FileTabCharacter,True
HiddenField,True
HideUtilityClassConstructor,True
ImportControl,True
InnerAssignment,True
JavadocStyle,True
JavadocType,True
JavadocVariable,True
LineLength,True
MissingSwitchDefault,True
NeedBraces,True
NoClone,True
NoFinalizer,True
Regexp,True
RegexpOnFilename,True
SingleSpaceSeparator,True
StaticVariableName,True
SummaryJavadoc,True
SuperFinalize,True
SuppressWarnings,True
TodoComment,True
UnnecessarySemicolonInEnumeration,True
any-Block,True
any-Header,True
any-JavaDoc Comments,True
any-Naming Conventions,True
any-Regexp,True
any-Size Violation,True
avg_coupling_code_size_cut,True
random_metric,True
AbbreviationAsWordInName,False
AnnotationOnSameLine,False
AnnotationUseStyle,False
AnonInnerLength,False
ArrayTrailingComma,False
ArrayTypeStyle,False
AtclauseOrder,False
AvoidEscapedUnicodeCharacters,False
AvoidInlineConditionals,False
AvoidNestedBlocks,False
AvoidStaticImport,False
BooleanExpressionComplexity,False
CatchParameterName,False
ClassDataAbstractionCoupling,False
ClassFanOutComplexity,False
ClassTypeParameterName,False
ConstantName,False
CovariantEquals,False
CustomImportOrder,False
CyclomaticComplexity,False
DeclarationOrder,False
DefaultComesLast,False
EmptyBlock,False
EmptyForInitializerPad,False
EmptyForIteratorPad,False
EmptyLineSeparator,False
EmptyStatement,False
EqualsAvoidNull,False
ExecutableStatementCount,False
ExplicitInitialization,False
FallThrough,False
FileLength,False
FinalClass,False
FinalLocalVariable,False
FinalParameters,False
GenericWhitespace,False
IllegalCatch,False
IllegalImport,False
IllegalThrows,False
IllegalToken,False
IllegalType,False
ImportOrder,False
Indentation,False
InnerTypeLast,False
InterfaceIsType,False
InterfaceMemberImpliedModifier,False
InterfaceTypeParameterName,False
InvalidJavadocPosition,False
JavaNCSS,False
JavadocMethod,False
JavadocPackage,False
JavadocParagraph,False
JavadocTagContinuationIndentation,False
LambdaParameterName,False
LeftCurly,False
LocalFinalVariableName,False
LocalVariableName,False
MagicNumber,False
MemberName,False
MethodCount,False
MethodLength,False
MethodName,False
MethodParamPad,False
MethodTypeParameterName,False
MissingCtor,False
MissingDeprecated,False
MissingJavadocMethod,False
MissingJavadocPackage,False
MissingJavadocType,False
MissingOverride,False
ModifiedControlVariable,False
ModifierOrder,False
MultipleStringLiterals,False
MultipleVariableDeclarations,False
MutableException,False
NPathComplexity,False
NestedForDepth,False
NestedIfDepth,False
NestedTryDepth,False
NewlineAtEndOfFile,False
NoLineWrap,False
NoWhitespaceAfter,False
NoWhitespaceBefore,False
NonEmptyAtclauseDescription,False
OneStatementPerLine,False
OneTopLevelClass,False
OperatorWrap,False
OuterTypeFilename,False
OuterTypeNumber,False
OverloadMethodsDeclarationOrder,False
PackageDeclaration,False
PackageName,False
ParameterAssignment,False
ParameterName,False
ParameterNumber,False
ParenPad,False
RedundantImport,False
RedundantModifier,False
RequireThis,False
ReturnCount,False
RightCurly,False
SeparatorWrap,False
SimplifyBooleanExpression,False
SimplifyBooleanReturn,False
SingleLineJavadoc,False
StringLiteralEquality,False
SuperClone,False
ThrowsCount,False
TrailingComment,False
TypeName,False
TypecastParenPad,False
UncommentedMain,False
UnnecessaryParentheses,False
UnnecessarySemicolonInTryWithResources,False
UnusedImports,False
UpperEll,False
VariableDeclarationUsageDistance,False
VisibilityModifier,False
WhitespaceAfter,False
WhitespaceAround,False
WriteTag,False
any-Annotation,False
any-Class Design,False
any-Coding,False
any-Illegal,False
any-Import,False
any-Metrics,False
any-Misc,False
any-Modifier,False
any-Unnecessary,False
any-Whitespace,False
prev_touch_ago,False
same_day_duration_avg,False
