feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
FinalClass,3338,143720,3430,89226,239714,0.61,0.39,0.03,0.49,0.28,0.04,0.02,0.03,0.61,0.01,-0.0,
InnerTypeLast,8068,138840,8310,84496,239714,0.61,0.39,0.07,0.49,0.28,0.09,0.06,0.08,0.6,0.02,-0.0,
MagicNumber,23598,123145,24005,68966,239714,0.61,0.39,0.2,0.5,0.28,0.25,0.16,0.2,0.57,0.08,-0.0,
UnusedImports,2227,144858,2292,90337,239714,0.61,0.39,0.02,0.49,0.28,0.02,0.02,0.02,0.61,0.01,-0.0,
IllegalImport,124,147022,128,92440,239714,0.61,0.39,0.0,0.49,0.27,0.0,0.0,0.0,0.61,0.0,-0.0,
ParenPad,4582,142420,4730,87982,239714,0.61,0.39,0.04,0.49,0.27,0.05,0.03,0.05,0.61,0.01,-0.0,
WhitespaceAround,19540,126993,20157,73024,239714,0.61,0.39,0.17,0.49,0.27,0.21,0.14,0.17,0.58,0.06,-0.0,
AvoidStaticImport,10856,135652,11498,81708,239714,0.61,0.39,0.09,0.49,0.26,0.12,0.08,0.1,0.59,0.03,-0.0,
RedundantModifier,6851,139922,7228,85713,239714,0.61,0.39,0.06,0.49,0.26,0.07,0.05,0.07,0.6,0.02,-0.0,
ConstantName,5492,141277,5873,87072,239714,0.61,0.39,0.05,0.48,0.25,0.06,0.04,0.06,0.6,0.02,-0.0,
HideUtilityClassConstructor,4922,141897,5253,87642,239714,0.61,0.39,0.04,0.48,0.25,0.05,0.04,0.05,0.6,0.01,-0.0,
MultipleStringLiterals,21892,123558,23592,70672,239714,0.61,0.39,0.19,0.48,0.25,0.24,0.16,0.19,0.57,0.06,-0.01,
SummaryJavadoc,28332,116668,30482,64232,239714,0.6,0.39,0.25,0.48,0.25,0.31,0.21,0.23,0.56,0.08,-0.01,
VisibilityModifier,15520,130284,16866,77044,239714,0.61,0.39,0.14,0.48,0.24,0.17,0.11,0.14,0.58,0.04,-0.01,
AnnotationUseStyle,1740,145235,1915,90824,239714,0.61,0.39,0.02,0.48,0.23,0.02,0.01,0.02,0.61,0.0,-0.0,
DesignForExtension,22278,122685,24465,70286,239714,0.6,0.39,0.19,0.48,0.23,0.24,0.17,0.19,0.57,0.06,-0.01,
FinalLocalVariable,23833,120948,26202,68731,239714,0.6,0.39,0.21,0.48,0.23,0.26,0.18,0.2,0.57,0.07,-0.02,
ModifiedControlVariable,1710,145252,1898,90854,239714,0.61,0.39,0.02,0.47,0.23,0.02,0.01,0.02,0.61,0.0,-0.0,
SimplifyBooleanExpression,825,146231,919,91739,239714,0.61,0.39,0.01,0.47,0.23,0.01,0.01,0.01,0.61,0.0,-0.0,
AbbreviationAsWordInName,2502,144342,2808,90062,239714,0.61,0.39,0.02,0.47,0.22,0.03,0.02,0.03,0.61,0.01,-0.0,
AbstractClassName,4472,142130,5020,88092,239714,0.61,0.39,0.04,0.47,0.22,0.05,0.03,0.05,0.6,0.01,-0.0,
AnnotationOnSameLine,39897,102417,44733,52667,239714,0.59,0.39,0.35,0.47,0.22,0.43,0.3,0.29,0.53,0.11,-0.03,
FinalParameters,26589,117420,29730,65975,239714,0.6,0.39,0.23,0.47,0.22,0.29,0.2,0.22,0.56,0.07,-0.02,
MethodParamPad,2766,143996,3154,89798,239714,0.61,0.39,0.02,0.47,0.21,0.03,0.02,0.03,0.61,0.01,-0.0,
AvoidInlineConditionals,19497,124527,22623,73067,239714,0.6,0.39,0.18,0.46,0.2,0.21,0.15,0.17,0.57,0.05,-0.02,
EqualsHashCode,343,146753,397,92221,239714,0.61,0.39,0.0,0.46,0.2,0.0,0.0,0.0,0.61,0.0,-0.0,
ParameterName,3031,143615,3535,89533,239714,0.61,0.39,0.03,0.46,0.2,0.03,0.02,0.03,0.61,0.01,-0.0,
VariableDeclarationUsageDistance,5756,140526,6624,86808,239714,0.61,0.39,0.05,0.46,0.2,0.06,0.05,0.06,0.6,0.01,-0.01,
ArrayTypeStyle,1252,145680,1470,91312,239714,0.61,0.39,0.01,0.46,0.19,0.01,0.01,0.01,0.61,0.0,-0.0,
ModifierOrder,3938,142482,4668,88626,239714,0.61,0.39,0.04,0.46,0.19,0.04,0.03,0.04,0.61,0.01,-0.0,
NeedBraces,17079,127110,20040,75485,239714,0.6,0.39,0.15,0.46,0.19,0.18,0.14,0.15,0.58,0.04,-0.02,
RightCurly,7342,138388,8762,85222,239714,0.61,0.39,0.07,0.46,0.18,0.08,0.06,0.07,0.6,0.02,-0.01,
EqualsAvoidNull,3029,143400,3750,89535,239714,0.61,0.39,0.03,0.45,0.16,0.03,0.03,0.03,0.61,0.01,-0.0,
Indentation,24475,117154,29996,68089,239714,0.59,0.39,0.23,0.45,0.16,0.26,0.2,0.2,0.56,0.05,-0.04,
ArrayTrailingComma,2387,144180,2970,90177,239714,0.61,0.39,0.02,0.45,0.15,0.03,0.02,0.02,0.61,0.0,-0.0,
CommentsIndentation,4791,141178,5972,87773,239714,0.61,0.39,0.04,0.45,0.15,0.05,0.04,0.05,0.6,0.01,-0.01,
JavadocTagContinuationIndentation,1437,145309,1841,91127,239714,0.61,0.39,0.01,0.44,0.14,0.02,0.01,0.02,0.61,0.0,-0.0,
OverloadMethodsDeclarationOrder,7013,138209,8941,85551,239714,0.61,0.39,0.07,0.44,0.14,0.08,0.06,0.07,0.6,0.01,-0.01,
InterfaceTypeParameterName,35,147103,47,92529,239714,0.61,0.39,0.0,0.43,0.11,0.0,0.0,0.0,0.61,0.0,-0.0,
JavadocPackage,7483,137188,9962,85081,239714,0.6,0.39,0.07,0.43,0.11,0.08,0.07,0.07,0.6,0.01,-0.02,
NoWhitespaceBefore,1430,145254,1896,91134,239714,0.61,0.39,0.01,0.43,0.11,0.02,0.01,0.02,0.61,0.0,-0.0,
EmptyStatement,637,146294,856,91927,239714,0.61,0.39,0.01,0.43,0.1,0.01,0.01,0.01,0.61,0.0,-0.0,
MissingDeprecated,1198,145539,1611,91366,239714,0.61,0.39,0.01,0.43,0.1,0.01,0.01,0.01,0.61,0.0,-0.0,
OperatorWrap,9229,133810,13340,83335,239714,0.6,0.39,0.09,0.41,0.06,0.1,0.09,0.09,0.59,0.01,-0.03,
WhitespaceAfter,13969,126830,20320,78595,239714,0.59,0.39,0.14,0.41,0.06,0.15,0.14,0.12,0.58,0.01,-0.04,
AnnotationLocation,68,147050,100,92496,239714,0.61,0.39,0.0,0.4,0.05,0.0,0.0,0.0,0.61,0.0,-0.0,
InvalidJavadocPosition,1149,145458,1692,91415,239714,0.61,0.39,0.01,0.4,0.05,0.01,0.01,0.01,0.61,0.0,-0.0,
UpperEll,113,146984,166,92451,239714,0.61,0.39,0.0,0.41,0.05,0.0,0.0,0.0,0.61,0.0,-0.0,
CustomImportOrder,125,146956,194,92439,239714,0.61,0.39,0.0,0.39,0.01,0.0,0.0,0.0,0.61,0.0,-0.0,
LeftCurly,10705,129840,17310,81859,239714,0.59,0.39,0.12,0.38,-0.01,0.12,0.12,0.1,0.59,-0.0,-0.04,
AvoidEscapedUnicodeCharacters,1161,145204,1946,91403,239714,0.61,0.39,0.01,0.37,-0.03,0.01,0.01,0.01,0.61,-0.0,-0.01,
LineLength,36070,86911,60239,56494,239714,0.51,0.39,0.4,0.37,-0.03,0.39,0.41,0.24,0.52,-0.02,-0.16,
RedundantImport,241,146725,425,92323,239714,0.61,0.39,0.0,0.36,-0.06,0.0,0.0,0.0,0.61,-0.0,-0.0,
NewlineAtEndOfFile,1925,143579,3571,90639,239714,0.61,0.39,0.02,0.35,-0.09,0.02,0.02,0.02,0.61,-0.0,-0.01,
SeparatorWrap,15830,117788,29362,76734,239714,0.56,0.39,0.19,0.35,-0.09,0.17,0.2,0.13,0.57,-0.02,-0.09,
JavadocVariable,27807,95279,51871,64757,239714,0.51,0.39,0.33,0.35,-0.1,0.3,0.35,0.19,0.54,-0.05,-0.16,
UncommentedMain,562,146075,1075,92002,239714,0.61,0.39,0.01,0.34,-0.11,0.01,0.01,0.01,0.61,-0.0,-0.0,
InterfaceMemberImpliedModifier,2163,142829,4321,90401,239714,0.6,0.39,0.03,0.33,-0.14,0.02,0.03,0.02,0.61,-0.0,-0.01,
MemberName,4057,138974,8176,88507,239714,0.6,0.39,0.05,0.33,-0.14,0.04,0.06,0.04,0.6,-0.01,-0.03,
ImportOrder,23724,97339,49811,68840,239714,0.51,0.39,0.31,0.32,-0.16,0.26,0.34,0.17,0.54,-0.07,-0.18,
MutableException,24,147098,52,92540,239714,0.61,0.39,0.0,0.32,-0.18,0.0,0.0,0.0,0.61,-0.0,-0.0,
DeclarationOrder,18936,105505,41645,73628,239714,0.52,0.39,0.25,0.31,-0.19,0.2,0.28,0.14,0.56,-0.07,-0.15,
PackageName,18,147110,40,92546,239714,0.61,0.39,0.0,0.31,-0.2,0.0,0.0,0.0,0.61,-0.0,-0.0,
SuperFinalize,10,147127,23,92554,239714,0.61,0.39,0.0,0.3,-0.22,0.0,0.0,0.0,0.61,-0.0,-0.0,
InterfaceIsType,61,146993,157,92503,239714,0.61,0.39,0.0,0.28,-0.28,0.0,0.0,0.0,0.61,-0.0,-0.0,
TypeName,401,145767,1383,92163,239714,0.61,0.39,0.01,0.22,-0.42,0.0,0.01,0.0,0.61,-0.0,-0.01,
TypecastParenPad,29,147040,110,92535,239714,0.61,0.39,0.0,0.21,-0.46,0.0,0.0,0.0,0.61,-0.0,-0.0,
JavadocType,1031,142638,4512,91533,239714,0.6,0.39,0.02,0.19,-0.52,0.01,0.03,0.01,0.61,-0.02,-0.02,
ImportControl,22,147031,119,92542,239714,0.61,0.39,0.0,0.16,-0.6,0.0,0.0,0.0,0.61,-0.0,-0.0,
PackageDeclaration,15,147024,126,92549,239714,0.61,0.39,0.0,0.11,-0.72,0.0,0.0,0.0,0.61,-0.0,-0.0,
CovariantEquals,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
NoLineWrap,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
OneTopLevelClass,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
OuterTypeFilename,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
OuterTypeNumber,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
Regexp,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
RegexpOnFilename,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
SuppressWarnings,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
UnnecessarySemicolonInTryWithResources,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,
