feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
MissingJavadocPackage,138,147140,10,92426,239714,0.61,0.39,0.0,0.93,1.41,0.0,0.0,0.0,0.61,0.0,0.0,
EmptyForInitializerPad,52,147141,9,92512,239714,0.61,0.39,0.0,0.85,1.21,0.0,0.0,0.0,0.61,0.0,0.0,
LambdaParameterName,205,147085,65,92359,239714,0.61,0.39,0.0,0.76,0.97,0.0,0.0,0.0,0.61,0.0,0.0,
SuperClone,689,146875,275,91875,239714,0.62,0.39,0.0,0.71,0.85,0.01,0.0,0.01,0.61,0.0,0.0,
RequireThis,232,147048,102,92332,239714,0.61,0.39,0.0,0.69,0.8,0.0,0.0,0.0,0.61,0.0,0.0,
SingleLineJavadoc,441,146944,206,92123,239714,0.61,0.39,0.0,0.68,0.77,0.0,0.0,0.0,0.61,0.0,0.0,
ThrowsCount,59,147119,31,92505,239714,0.61,0.39,0.0,0.66,0.7,0.0,0.0,0.0,0.61,0.0,0.0,
IllegalThrows,34,147132,18,92530,239714,0.61,0.39,0.0,0.65,0.69,0.0,0.0,0.0,0.61,0.0,0.0,
JavadocStyle,23861,132886,14264,68703,239714,0.65,0.39,0.16,0.63,0.62,0.26,0.1,0.22,0.58,0.13,0.07,
MethodTypeParameterName,144,147063,87,92420,239714,0.61,0.39,0.0,0.62,0.61,0.0,0.0,0.0,0.61,0.0,0.0,
IllegalToken,2283,145703,1447,90281,239714,0.62,0.39,0.02,0.61,0.59,0.02,0.01,0.02,0.61,0.01,0.01,
FileLength,2824,145294,1856,89740,239714,0.62,0.39,0.02,0.6,0.56,0.03,0.01,0.03,0.61,0.01,0.01,
GenericWhitespace,705,146653,497,91859,239714,0.61,0.39,0.01,0.59,0.52,0.01,0.0,0.01,0.61,0.0,0.0,
NoFinalizer,48,147116,34,92516,239714,0.61,0.39,0.0,0.59,0.52,0.0,0.0,0.0,0.61,0.0,0.0,
SimplifyBooleanReturn,311,146931,219,92253,239714,0.61,0.39,0.0,0.59,0.52,0.0,0.0,0.0,0.61,0.0,0.0,
AnonInnerLength,6452,142545,4605,86112,239714,0.62,0.39,0.05,0.58,0.51,0.07,0.03,0.07,0.6,0.03,0.01,
EmptyCatchBlock,5358,143290,3860,87206,239714,0.62,0.39,0.04,0.58,0.51,0.06,0.03,0.06,0.61,0.02,0.01,
FallThrough,2065,145645,1505,90499,239714,0.62,0.39,0.01,0.58,0.5,0.02,0.01,0.02,0.61,0.01,0.0,
IllegalType,3791,144378,2772,88773,239714,0.62,0.39,0.03,0.58,0.5,0.04,0.02,0.04,0.61,0.02,0.01,
LocalFinalVariableName,4609,143625,3525,87955,239714,0.62,0.39,0.03,0.57,0.47,0.05,0.02,0.05,0.61,0.02,0.01,
MethodName,2477,145266,1884,90087,239714,0.62,0.39,0.02,0.57,0.47,0.03,0.01,0.03,0.61,0.01,0.0,
AtclauseOrder,16147,134736,12414,76417,239714,0.63,0.39,0.12,0.57,0.46,0.17,0.08,0.15,0.59,0.07,0.03,
NonEmptyAtclauseDescription,8942,140259,6891,83622,239714,0.62,0.39,0.07,0.56,0.46,0.1,0.05,0.09,0.6,0.04,0.01,
TodoComment,3221,144646,2504,89343,239714,0.62,0.39,0.02,0.56,0.46,0.03,0.02,0.03,0.61,0.01,0.0,
CatchParameterName,2404,145221,1929,90160,239714,0.62,0.39,0.02,0.55,0.44,0.03,0.01,0.03,0.61,0.01,0.0,
NestedForDepth,2360,145249,1901,90204,239714,0.62,0.39,0.02,0.55,0.43,0.03,0.01,0.02,0.61,0.01,0.0,
AvoidNestedBlocks,5208,142809,4341,87356,239714,0.62,0.39,0.04,0.55,0.41,0.06,0.03,0.05,0.6,0.02,0.01,
EmptyLineSeparator,35743,117283,29867,56821,239714,0.64,0.39,0.27,0.54,0.41,0.39,0.2,0.29,0.55,0.16,0.04,
JavaNCSS,13169,136131,11019,79395,239714,0.62,0.39,0.1,0.54,0.41,0.14,0.07,0.13,0.59,0.05,0.01,
InnerAssignment,6914,141294,5856,85650,239714,0.62,0.39,0.05,0.54,0.4,0.07,0.04,0.07,0.6,0.03,0.01,
ClassDataAbstractionCoupling,9074,139298,7852,83490,239714,0.62,0.39,0.07,0.54,0.39,0.1,0.05,0.09,0.6,0.04,0.01,
FileTabCharacter,1104,146194,956,91460,239714,0.61,0.39,0.01,0.54,0.39,0.01,0.01,0.01,0.61,0.0,0.0,
ParameterAssignment,9527,138916,8234,83037,239714,0.62,0.39,0.07,0.54,0.39,0.1,0.06,0.09,0.6,0.04,0.01,
TrailingComment,18295,131455,15695,74269,239714,0.62,0.39,0.14,0.54,0.39,0.2,0.11,0.17,0.58,0.07,0.02,
UnnecessarySemicolonInEnumeration,1071,146224,926,91493,239714,0.61,0.39,0.01,0.54,0.39,0.01,0.01,0.01,0.61,0.0,0.0,
BooleanExpressionComplexity,5404,142440,4710,87160,239714,0.62,0.39,0.04,0.53,0.38,0.06,0.03,0.06,0.6,0.02,0.0,
MissingJavadocType,8507,139682,7468,84057,239714,0.62,0.39,0.07,0.53,0.38,0.09,0.05,0.09,0.6,0.03,0.01,
NoClone,1584,145762,1388,90980,239714,0.61,0.39,0.01,0.53,0.38,0.02,0.01,0.02,0.61,0.01,0.0,
HiddenField,23333,126248,20902,69231,239714,0.62,0.39,0.18,0.53,0.37,0.25,0.14,0.21,0.57,0.09,0.02,
ReturnCount,19395,129949,17201,73169,239714,0.62,0.39,0.15,0.53,0.37,0.21,0.12,0.18,0.58,0.08,0.01,
ClassTypeParameterName,153,147012,138,92411,239714,0.61,0.39,0.0,0.53,0.36,0.0,0.0,0.0,0.61,0.0,0.0,
EmptyForIteratorPad,1071,146189,961,91493,239714,0.61,0.39,0.01,0.53,0.36,0.01,0.01,0.01,0.61,0.0,0.0,
ExecutableStatementCount,15805,132790,14360,76759,239714,0.62,0.39,0.13,0.52,0.36,0.17,0.1,0.15,0.59,0.06,0.01,
IllegalCatch,9768,138264,8886,82796,239714,0.62,0.39,0.08,0.52,0.36,0.11,0.06,0.1,0.6,0.04,0.01,
MethodLength,5281,142392,4758,87283,239714,0.62,0.39,0.04,0.53,0.36,0.06,0.03,0.05,0.6,0.02,0.0,
StaticVariableName,2088,145273,1877,90476,239714,0.61,0.39,0.02,0.53,0.36,0.02,0.01,0.02,0.61,0.01,0.0,
ClassMemberImpliedModifier,4056,143413,3737,88508,239714,0.62,0.39,0.03,0.52,0.35,0.04,0.03,0.04,0.61,0.01,0.0,
EmptyBlock,2084,145244,1906,90480,239714,0.61,0.39,0.02,0.52,0.35,0.02,0.01,0.02,0.61,0.01,0.0,
JavadocMethod,18459,130073,17077,74105,239714,0.62,0.39,0.15,0.52,0.35,0.2,0.12,0.17,0.58,0.07,0.01,
LocalVariableName,5217,142329,4821,87347,239714,0.62,0.39,0.04,0.52,0.35,0.06,0.03,0.05,0.6,0.02,0.0,
MissingOverride,305,146868,282,92259,239714,0.61,0.39,0.0,0.52,0.35,0.0,0.0,0.0,0.61,0.0,0.0,
NoWhitespaceAfter,5356,142212,4938,87208,239714,0.62,0.39,0.04,0.52,0.35,0.06,0.03,0.05,0.6,0.02,0.0,
StringLiteralEquality,315,146859,291,92249,239714,0.61,0.39,0.0,0.52,0.35,0.0,0.0,0.0,0.61,0.0,0.0,
DefaultComesLast,1391,145845,1305,91173,239714,0.61,0.39,0.01,0.52,0.34,0.02,0.01,0.01,0.61,0.0,0.0,
NPathComplexity,12998,135017,12133,79566,239714,0.62,0.39,0.1,0.52,0.34,0.14,0.08,0.12,0.59,0.05,0.01,
WriteTag,11266,136619,10531,81298,239714,0.62,0.39,0.09,0.52,0.34,0.12,0.07,0.11,0.59,0.04,0.0,
JavadocParagraph,15358,132656,14494,77206,239714,0.62,0.39,0.12,0.51,0.33,0.17,0.1,0.14,0.59,0.05,0.01,
MethodCount,1551,145692,1458,91013,239714,0.61,0.39,0.01,0.52,0.33,0.02,0.01,0.02,0.61,0.01,0.0,
UnnecessaryParentheses,11333,136450,10700,81231,239714,0.62,0.39,0.09,0.51,0.33,0.12,0.07,0.11,0.59,0.04,0.0,
ExplicitInitialization,8598,138871,8279,83966,239714,0.62,0.39,0.07,0.51,0.32,0.09,0.06,0.09,0.6,0.03,0.0,
OneStatementPerLine,4179,143131,4019,88385,239714,0.61,0.39,0.03,0.51,0.32,0.05,0.03,0.04,0.61,0.01,0.0,
AvoidStarImport,7687,139616,7534,84877,239714,0.61,0.39,0.06,0.51,0.31,0.08,0.05,0.08,0.6,0.03,0.0,
ClassFanOutComplexity,10183,137249,9901,82381,239714,0.62,0.39,0.08,0.51,0.31,0.11,0.07,0.1,0.59,0.03,0.0,
CyclomaticComplexity,17402,130154,16996,75162,239714,0.62,0.39,0.14,0.51,0.31,0.19,0.12,0.16,0.58,0.06,0.0,
MissingCtor,12332,135032,12118,80232,239714,0.61,0.39,0.1,0.5,0.31,0.13,0.08,0.12,0.59,0.04,0.0,
MissingJavadocMethod,31839,115888,31262,60725,239714,0.62,0.39,0.26,0.5,0.31,0.34,0.21,0.26,0.55,0.11,0.0,
NestedIfDepth,17292,130225,16925,75272,239714,0.62,0.39,0.14,0.51,0.31,0.19,0.12,0.16,0.58,0.06,0.0,
NestedTryDepth,765,146407,743,91799,239714,0.61,0.39,0.01,0.51,0.31,0.01,0.01,0.01,0.61,0.0,0.0,
ParameterNumber,3368,143867,3283,89196,239714,0.61,0.39,0.03,0.51,0.31,0.04,0.02,0.04,0.61,0.01,0.0,
MultipleVariableDeclarations,5035,142156,4994,87529,239714,0.61,0.39,0.04,0.5,0.3,0.05,0.03,0.05,0.6,0.02,0.0,
SingleSpaceSeparator,10296,136982,10168,82268,239714,0.61,0.39,0.09,0.5,0.3,0.11,0.07,0.1,0.59,0.03,0.0,
MissingSwitchDefault,5321,141770,5380,87243,239714,0.61,0.39,0.04,0.5,0.29,0.06,0.04,0.05,0.6,0.02,-0.0,
