feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
InterfaceIsType,3,11497,0,11028,22528,0.51,0.49,0.0,1.0,1.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
SuperFinalize,2,11497,0,11029,22528,0.51,0.49,0.0,1.0,1.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
UnnecessarySemicolonInTryWithResources,2,11497,0,11029,22528,0.51,0.49,0.0,1.0,1.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
UnnecessarySemicolonInEnumeration,9,11495,2,11022,22528,0.51,0.49,0.0,0.82,0.67,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
OneTopLevelClass,6,11495,2,11025,22528,0.51,0.49,0.0,0.75,0.53,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
OuterTypeNumber,3,11496,1,11028,22528,0.51,0.49,0.0,0.75,0.53,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
SimplifyBooleanReturn,15,11492,5,11016,22528,0.51,0.49,0.0,0.75,0.53,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
PackageDeclaration,8,11494,3,11023,22528,0.51,0.49,0.0,0.73,0.49,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
EmptyForInitializerPad,2,11496,1,11029,22528,0.51,0.49,0.0,0.67,0.36,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
IllegalThrows,4,11495,2,11027,22528,0.51,0.49,0.0,0.67,0.36,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
HideUtilityClassConstructor,27,11479,18,11004,22528,0.51,0.49,0.0,0.6,0.23,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,
IllegalImport,4,11494,3,11027,22528,0.51,0.49,0.0,0.57,0.17,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
AnnotationUseStyle,45,11462,35,10986,22528,0.51,0.49,0.0,0.56,0.15,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,
UpperEll,9,11490,7,11022,22528,0.51,0.49,0.0,0.56,0.15,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
MissingSwitchDefault,84,11431,66,10947,22528,0.51,0.49,0.01,0.56,0.14,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,
FileLength,10,11489,8,11021,22528,0.51,0.49,0.0,0.56,0.13,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
MethodCount,10,11489,8,11021,22528,0.51,0.49,0.0,0.56,0.13,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
MissingOverride,10,11489,8,11021,22528,0.51,0.49,0.0,0.56,0.13,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
ParameterNumber,97,11416,81,10934,22528,0.51,0.49,0.01,0.54,0.11,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.07,0.0,
SingleLineJavadoc,13,11486,11,11018,22528,0.51,0.49,0.0,0.54,0.11,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
EmptyBlock,71,11436,61,10960,22528,0.51,0.49,0.01,0.54,0.1,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.05,0.0,
ThrowsCount,20,11480,17,11011,22528,0.51,0.49,0.0,0.54,0.1,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,
AvoidEscapedUnicodeCharacters,11,11487,10,11020,22528,0.51,0.49,0.0,0.52,0.07,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
LocalVariableName,85,11419,78,10946,22528,0.51,0.49,0.01,0.52,0.06,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,
ModifierOrder,107,11398,99,10924,22528,0.51,0.49,0.01,0.52,0.06,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.08,0.0,
RedundantModifier,178,11333,164,10853,22528,0.51,0.49,0.02,0.52,0.06,0.02,0.01,0.02,0.51,0.0,0.0,1.0,0.11,0.0,
AbstractClassName,40,11459,38,10991,22528,0.51,0.49,0.0,0.51,0.05,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,
AnnotationLocation,35,11464,33,10996,22528,0.51,0.49,0.0,0.51,0.05,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,
JavadocStyle,271,11239,258,10760,22528,0.51,0.49,0.02,0.51,0.05,0.02,0.02,0.02,0.51,0.0,0.0,1.0,0.16,0.0,
ExplicitInitialization,200,11306,191,10831,22528,0.51,0.49,0.02,0.51,0.04,0.02,0.02,0.02,0.51,0.0,0.0,1.0,0.13,0.0,
FinalClass,51,11448,49,10980,22528,0.51,0.49,0.0,0.51,0.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.04,0.0,
LeftCurly,357,11152,345,10674,22528,0.51,0.49,0.03,0.51,0.04,0.03,0.03,0.03,0.51,0.0,0.0,1.0,0.2,0.0,
NoWhitespaceBefore,174,11329,168,10857,22528,0.51,0.49,0.02,0.51,0.04,0.02,0.01,0.02,0.51,0.0,0.0,1.0,0.11,0.0,
SummaryJavadoc,357,11154,343,10674,22528,0.51,0.49,0.03,0.51,0.04,0.03,0.03,0.03,0.51,0.0,0.0,1.0,0.2,0.0,
UnnecessaryParentheses,235,11272,225,10796,22528,0.51,0.49,0.02,0.51,0.04,0.02,0.02,0.02,0.51,0.0,0.0,1.0,0.14,0.0,
ClassMemberImpliedModifier,56,11442,55,10975,22528,0.51,0.49,0.0,0.5,0.03,0.01,0.0,0.01,0.51,0.0,0.0,1.0,0.04,0.0,
InterfaceMemberImpliedModifier,87,11412,85,10944,22528,0.51,0.49,0.01,0.51,0.03,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,
NestedIfDepth,385,11116,381,10646,22528,0.51,0.49,0.03,0.5,0.03,0.03,0.03,0.03,0.51,0.0,0.0,1.0,0.21,0.0,
BooleanExpressionComplexity,68,11429,68,10963,22528,0.51,0.49,0.01,0.5,0.02,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.05,0.0,
ClassTypeParameterName,2,11495,2,11029,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
EmptyLineSeparator,808,10682,815,10223,22528,0.51,0.49,0.07,0.5,0.02,0.07,0.07,0.07,0.51,0.0,-0.0,1.0,0.37,0.0,
FallThrough,11,11486,11,11020,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
InnerTypeLast,235,11261,236,10796,22528,0.51,0.49,0.02,0.5,0.02,0.02,0.02,0.02,0.51,0.0,-0.0,1.0,0.15,0.0,
InterfaceTypeParameterName,1,11496,1,11030,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
LocalFinalVariableName,27,11470,27,11004,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,
MethodLength,76,11421,76,10955,22528,0.51,0.49,0.01,0.5,0.02,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.06,0.0,
MutableException,1,11496,1,11030,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,
NoClone,7,11490,7,11024,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,
ParameterAssignment,164,11334,163,10867,22528,0.51,0.49,0.01,0.5,0.02,0.01,0.01,0.01,0.51,0.0,0.0,1.0,0.11,0.0,
