feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
SeparatorWrap,-0.02,0.12,0.11595986059221862,1239.0,0.12409998180772748,0.12529597553232177,6729.0,0.81,0.16,0.04,-0.21,0.12,0.03,0.17,0.0625,0.1
MissingJavadocType,-0.04,0.12,0.11406340256099298,3972.0,0.12813635813920365,0.13279098400990375,3996.0,0.5,0.5,0.04,-0.09,0.45,0.04,0.51,0.020000000000000018,0.1
WriteTag,-0.05,0.12,0.11416589047963112,4232.0,0.12936630530287144,0.13382626233369435,3736.0,0.47,0.53,0.04,-0.08,0.49,0.04,0.54,0.018867924528301883,0.1
MissingCtor,-0.04,0.12,0.12309332969250283,2962.0,0.12687804655257143,0.12424275844160391,5006.0,0.61,0.37,0.04,-0.05,0.35,0.04,0.4,0.08108108108108114,0.1
ParenPad,-0.01,0.12,0.10518790006879361,206.0,0.12341044944430693,0.1243585969303636,7762.0,0.93,0.03,0.04,-0.14,0.02,0.01,0.02,-0.33333333333333326,0.1
Indentation,-0.09,0.11,0.12805719068400187,3112.0,0.132023334147439,0.12035178898862267,4856.0,0.6,0.39,0.04,-0.08,0.36,0.04,0.53,0.35897435897435903,0.09
FileTabCharacter,-0.12,0.09,0.13644565107085932,1637.0,0.13083786629681682,0.11927434320137426,6331.0,0.77,0.21,0.04,-0.08,0.19,0.04,0.36,0.7142857142857142,0.06
LeftCurly,0.02,0.13,0.11703920144141701,750.0,0.12243528801540852,0.1245744241121243,7218.0,0.87,0.09,0.03,-0.35,0.06,0.02,0.07,-0.2222222222222221,0.11
AbstractClassName,0.01,0.13,0.0997412246383384,357.0,0.1230587767962339,0.12492280953164729,7611.0,0.91,0.04,0.03,-0.26,0.03,0.02,0.03,-0.25,0.11
InterfaceMemberImpliedModifier,-0.02,0.12,0.1084786219377924,1180.0,0.1244588177464385,0.12635540894945196,6788.0,0.82,0.15,0.03,-0.27,0.11,0.03,0.14,-0.06666666666666654,0.1
SingleLineJavadoc,-0.01,0.11,0.08010614532375587,58.0,0.12332997284785427,0.12416007345165962,7910.0,0.95,0.01,0.03,-0.24,0.01,0.0,0.0,-1.0,0.09
StaticVariableName,-0.02,0.1,0.09766420652455204,90.0,0.12347615041682214,0.12414790756327695,7878.0,0.94,0.01,0.03,-0.26,0.01,0.01,0.01,0.0,0.07
AnnotationUseStyle,-0.02,0.1,0.09855626979243957,108.0,0.12353087937950724,0.12418721066430057,7860.0,0.94,0.01,0.03,-0.39,0.01,0.01,0.01,0.0,0.07
DeclarationOrder,-0.07,0.09,0.11334754096502012,553.0,0.1255264812675139,0.12434816978989227,7415.0,0.89,0.07,0.03,-0.4,0.04,0.02,0.1,0.4285714285714286,0.06
InterfaceIsType,-0.02,0.09,0.10406931973746449,34.0,0.12334201328153305,0.1239676402243752,7934.0,0.95,0.0,0.03,-0.35,0.0,0.0,0.01,,0.06
VariableDeclarationUsageDistance,-0.03,0.07,0.09592233857346313,38.0,0.12344318518352754,0.12397777355527993,7930.0,0.95,0.0,0.03,-0.42,0.0,0.0,0.01,,0.04
AnnotationLocation,0.01,0.13,0.07634949011625464,108.0,0.12311810408576827,0.12442840133656667,7860.0,0.94,0.01,0.02,-0.59,0.01,0.0,0.0,-1.0,0.11
NewlineAtEndOfFile,-0.01,0.12,0.08534963497661882,803.0,0.12381329004211247,0.12748730706415407,7165.0,0.86,0.1,0.02,-0.56,0.04,0.01,0.06,-0.4,0.1
UncommentedMain,-0.09,0.07,0.10006417117483746,325.0,0.12547082826656933,0.12431513371350617,7643.0,0.92,0.04,0.02,-0.52,0.02,0.01,0.08,1.0,0.04
AtclauseOrder,-0.09,0.06,0.07823050113560218,236.0,0.12519415533622485,0.12450240648155954,7732.0,0.93,0.03,0.02,-0.62,0.01,0.01,0.05,0.6666666666666667,0.02
JavadocType,-0.02,0.1,0.09306048501731393,86.0,0.12345292205209663,0.1241772764154118,7882.0,0.94,0.01,0.01,-0.74,0.0,0.0,0.01,0.0,0.07
NestedTryDepth,0.01,0.21,,1.0,0.12319680005881349,0.12390445737922105,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.21
SimplifyBooleanReturn,0.01,0.2,,1.0,0.12319859316968153,0.12390567235679682,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.2
SuperClone,0.01,0.2,,1.0,0.12319859316968154,0.12390567235679659,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.2
PackageName,0.01,0.18,0.023570226039551587,2.0,0.1231931364695187,0.12391249291414572,7966.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.17
FallThrough,0.01,0.17,0.04040610178208844,2.0,0.12319612536279133,0.12391325444162332,7966.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.16
IllegalImport,0.0,0.17,,1.0,0.12320277709504031,0.12390770309540629,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.16
RedundantImport,0.01,0.16,0.08500530898313159,17.0,0.12312269710169718,0.12396081463130863,7951.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.15
MutableException,0.01,0.16,0.07082048825620632,16.0,0.12313214694541523,0.12397570574655471,7952.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.15
AvoidNestedBlocks,0.01,0.15,0.0660607764470659,10.0,0.12316914423687851,0.12395389574035495,7958.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14
JavaNCSS,0.0,0.15,0.13439959163196982,3.0,0.123196819267679,0.12390451761179176,7965.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14
EqualsHashCode,0.0,0.15,0.08249996521690003,5.0,0.12319388280202809,0.12392466177994112,7963.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14
ModifiedControlVariable,0.0,0.15,0.04158536903953251,3.0,0.12319994067133563,0.12392172850031269,7965.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14
BooleanExpressionComplexity,0.0,0.14,0.11089039550795454,5.0,0.12319797003297704,0.12391417916829157,7963.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.12
OneStatementPerLine,-0.0,0.12,0.06823283032659438,7.0,0.12320911965375253,0.12394119029353469,7961.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.1
EmptyBlock,-0.0,0.12,0.05690445030192409,9.0,0.12321510966695144,0.12395762702898606,7959.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.1
SimplifyBooleanExpression,-0.0,0.11,0.10098906191940817,6.0,0.12321914227963726,0.12392108492365438,7962.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.09
ThrowsCount,-0.0,0.11,0.0839907493412252,4.0,0.1232158932196176,0.12392080381447029,7964.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.09
LambdaParameterName,-0.0,0.1,0.11087555379682246,5.0,0.1232199503340607,0.12391397994485036,7963.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.07
EmptyStatement,-0.0,0.1,0.14142135623730953,2.0,0.1232140587224269,0.12390575991144648,7966.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.07
MethodTypeParameterName,-0.0,0.1,,1.0,0.12321114494575784,0.12390838704299781,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.07
GenericWhitespace,-0.01,0.1,0.10626191915704108,22.0,0.12327274661867159,0.12394589258932845,7946.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.07
IllegalThrows,-0.01,0.1,0.05661859467574895,12.0,0.12324538157784733,0.1239727270960451,7956.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.07
InterfaceTypeParameterName,-0.01,0.09,0.07076011535567407,9.0,0.12324436990197718,0.12394595846351636,7959.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.06
ExecutableStatementCount,-0.01,0.09,0.10722999863354618,13.0,0.12326106811589994,0.12392522253058737,7955.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.06
CatchParameterName,-0.02,0.09,0.08260956250732683,27.0,0.12332088727973778,0.12400620539132544,7941.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.06
UnnecessarySemicolonInTryWithResources,-0.0,0.09,0.016317848796612636,2.0,0.12321695564975264,0.12391507955075906,7966.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.06
any-UNNECESSARY CHECKS,-0.02,0.08,0.07052651961680308,18.0,0.1233041803218949,0.12398176446574889,7950.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05
UnnecessarySemicolonInEnumeration,-0.02,0.08,0.07490462878498032,16.0,0.12329541708199039,0.12396753669046154,7952.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05
ClassTypeParameterName,-0.02,0.08,0.06329388519356516,16.0,0.123297182428176,0.12397912093609754,7952.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05
