repo_name,robust_smells_num,random_metric,full_file_name,NPathComplexity,FallThrough,JavadocParagraph,TrailingComment,IllegalImport,AvoidStaticImport,IllegalCatch,ParameterAssignment,UnnecessaryParentheses
wso2/carbon-apimgt,3.0,87,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/internal/APIManagerComponent.java,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,1.0,86,components/apimgt/org.wso2.carbon.apimgt.keymgt/src/main/java/org/wso2/carbon/apimgt/keymgt/handlers/DefaultKeyValidationHandler.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,71.0,84,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/utils/APIUtil.java,11.0,0.0,12.0,22.0,0.0,0.0,11.0,14.0,1.0
wso2/carbon-apimgt,9.0,84,components/apimgt/org.wso2.carbon.apimgt.keymgt/src/main/java/org/wso2/carbon/apimgt/keymgt/listeners/KeyManagerUserOperationListener.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
wso2/carbon-apimgt,1.0,83,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/internal/TenantServiceCreator.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,13.0,82,components/apimgt/org.wso2.carbon.apimgt.rest.api.publisher/src/main/java/org/wso2/carbon/apimgt/rest/api/publisher/impl/ApisApiServiceImpl.java,3.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0
wso2/carbon-apimgt,9.0,76,components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.client/src/main/java/org/wso2/carbon/apimgt/usage/client/APIUsageStatisticsClient.java,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
wso2/carbon-apimgt,14.0,74,components/apimgt/org.wso2.carbon.apimgt.rest.api.publisher/src/main/java/org/wso2/carbon/apimgt/rest/api/publisher/utils/mappings/APIMappingUtil.java,2.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0
wso2/carbon-apimgt,10.0,74,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/APIKeyValidator.java,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0
wso2/carbon-apimgt,28.0,69,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/publishers/WSO2APIPublisher.java,2.0,0.0,0.0,12.0,0.0,0.0,1.0,13.0,0.0
wso2/carbon-apimgt,3.0,69,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/soaptorest/WSDL11SOAPOperationExtractor.java,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
wso2/carbon-apimgt,66.0,68,components/apimgt/org.wso2.carbon.apimgt.hostobjects/src/main/java/org/wso2/carbon/apimgt/hostobjects/APIStoreHostObject.java,20.0,0.0,5.0,5.0,0.0,0.0,31.0,1.0,4.0
wso2/carbon-apimgt,8.0,64,components/sso-hostobject/org.wso2.carbon.hostobjects.sso/src/main/java/org/wso2/carbon/hostobjects/sso/internal/util/Util.java,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0
wso2/carbon-apimgt,53.0,64,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/dao/ApiMgtDAO.java,7.0,0.0,20.0,16.0,0.0,0.0,1.0,8.0,1.0
wso2/carbon-apimgt,1.0,64,components/apimgt/org.wso2.carbon.apimgt.rest.api.util/src/main/java/org/wso2/carbon/apimgt/rest/api/util/interceptors/auth/XACMLAuthenticationInterceptor.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,2.0,63,components/apimgt/org.wso2.carbon.apimgt.keymgt/src/main/java/org/wso2/carbon/apimgt/keymgt/token/AbstractJWTGenerator.java,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
wso2/carbon-apimgt,7.0,60,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/APIGatewayManager.java,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
wso2/carbon-apimgt,1.0,59,components/apimgt/org.wso2.carbon.apimgt.tracing/src/main/java/org/wso2/carbon/apimgt/tracing/internal/TracingServiceComponent.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,117.0,56,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/APIConsumerImpl.java,21.0,0.0,20.0,45.0,0.0,0.0,2.0,19.0,10.0
wso2/carbon-apimgt,10.0,56,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/analytics/APIMgtResponseHandler.java,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0
wso2/carbon-apimgt,2.0,56,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/APIAuthenticationHandler.java,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,5.0,53,components/apimgt/org.wso2.carbon.apimgt.rest.api.store/src/main/java/org/wso2/carbon/apimgt/rest/api/store/impl/ApplicationsApiServiceImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
wso2/carbon-apimgt,2.0,50,components/apimgt/org.wso2.carbon.apimgt.rest.api.store/src/main/java/org/wso2/carbon/apimgt/rest/api/store/impl/TiersApiServiceImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2/carbon-apimgt,3.0,49,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/Utils.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wso2/carbon-apimgt,27.0,48,components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.client/src/main/java/org/wso2/carbon/apimgt/usage/client/impl/APIUsageStatisticsRestClientImpl.java,4.0,0.0,0.0,20.0,0.0,0.0,2.0,1.0,0.0
wso2/carbon-apimgt,22.0,46,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/soaptorest/util/SequenceUtils.java,2.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,7.0
wso2/carbon-apimgt,1.0,46,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/workflow/TenantWorkflowConfigHolder.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,51.0,45,components/sso-hostobject/org.wso2.carbon.hostobjects.sso/src/main/java/org/wso2/carbon/hostobjects/sso/SAMLSSORelyingPartyObject.java,7.0,0.0,16.0,7.0,0.0,0.0,20.0,1.0,0.0
wso2/carbon-apimgt,2.0,42,components/apimgt/org.wso2.carbon.apimgt.api/src/main/java/org/wso2/carbon/apimgt/api/model/URITemplate.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,3.0,40,components/apimgt/org.wso2.carbon.apimgt.keymgt/src/main/java/org/wso2/carbon/apimgt/keymgt/service/APIKeyValidationService.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2/carbon-apimgt,2.0,33,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/executors/APIExecutor.java,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,2.0,31,components/apimgt/org.wso2.carbon.apimgt.rest.api.admin/src/main/java/org/wso2/carbon/apimgt/rest/api/admin/impl/PoliciesApiServiceImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2/carbon-apimgt,7.0,31,components/apimgt/org.wso2.carbon.apimgt.rest.api.dcr/src/main/java/org/wso2/carbon/apimgt/rest/api/dcr/web/impl/RegistrationServiceImpl.java,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
wso2/carbon-apimgt,1.0,29,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/service/APIAuthenticationService.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,2.0,28,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/SAMLGroupIDExtractorImpl.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,1.0,27,components/apimgt/org.wso2.carbon.apimgt.rest.api.admin/src/main/java/org/wso2/carbon/apimgt/rest/api/admin/utils/mappings/throttling/SubscriptionThrottlePolicyMappingUtil.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wso2/carbon-apimgt,3.0,26,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/analytics/APIMgtFaultHandler.java,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,2.0,25,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/CORSRequestHandler.java,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,12.0,22,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/APIManagerConfiguration.java,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,7.0,22,components/apimgt/org.wso2.carbon.apimgt.rest.api.store/src/main/java/org/wso2/carbon/apimgt/rest/api/store/impl/ApisApiServiceImpl.java,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
wso2/carbon-apimgt,1.0,21,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/throttling/ThrottleConditionEvaluator.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wso2/carbon-apimgt,16.0,20,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/definitions/APIDefinitionFromOpenAPISpec.java,1.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0
wso2/carbon-apimgt,6.0,19,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/throttling/ThrottleHandler.java,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
wso2/carbon-apimgt,1.0,19,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/thrift/ThriftKeyValidatorClientPool.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,3.0,19,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/throttling/publisher/DataProcessAndPublishingAgent.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
wso2/carbon-apimgt,81.0,18,components/apimgt/org.wso2.carbon.apimgt.impl/src/main/java/org/wso2/carbon/apimgt/impl/APIProviderImpl.java,21.0,0.0,8.0,21.0,0.0,1.0,18.0,9.0,3.0
wso2/carbon-apimgt,1.0,18,components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.publisher/src/main/java/org/wso2/carbon/apimgt/usage/publisher/internal/UsageComponent.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wso2/carbon-apimgt,3.0,16,components/apimgt/org.wso2.carbon.apimgt.gateway/src/main/java/org/wso2/carbon/apimgt/gateway/handlers/security/oauth/OAuthAuthenticator.java,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
