feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
ImportControl,135,149223,50,111472,260880,0.57,0.43,0.0,0.73,0.71,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.01,0.0,
EmptyLineSeparator,24017,139818,9455,87590,260880,0.63,0.43,0.13,0.72,0.68,0.22,0.06,0.2,0.55,0.13,0.1,0.98,0.55,0.04,
EqualsHashCode,475,148969,304,111132,260880,0.57,0.43,0.0,0.61,0.43,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.03,0.0,
DefaultComesLast,1643,148168,1105,109964,260880,0.57,0.43,0.01,0.6,0.4,0.01,0.01,0.01,0.57,0.01,0.0,0.98,0.08,0.0,
AnnotationLocation,110,149197,76,111497,260880,0.57,0.43,0.0,0.59,0.38,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.01,0.0,
FinalClass,4169,146039,3234,107438,260880,0.58,0.43,0.03,0.56,0.32,0.04,0.02,0.04,0.57,0.01,0.01,0.98,0.19,0.0,
LambdaParameterName,172,149139,134,111435,260880,0.57,0.43,0.0,0.56,0.31,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.01,0.0,
StringLiteralEquality,317,149014,259,111290,260880,0.57,0.43,0.0,0.55,0.29,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.02,0.0,
OneStatementPerLine,4180,145646,3627,107427,260880,0.57,0.43,0.03,0.54,0.25,0.04,0.02,0.04,0.57,0.01,0.0,0.98,0.19,0.0,
AnnotationUseStyle,2126,147387,1886,109481,260880,0.57,0.43,0.02,0.53,0.24,0.02,0.01,0.02,0.57,0.01,0.0,0.98,0.11,0.0,
SimplifyBooleanExpression,900,148476,797,110707,260880,0.57,0.43,0.01,0.53,0.24,0.01,0.01,0.01,0.57,0.0,0.0,0.98,0.06,0.0,
MissingCtor,13628,137101,12172,97979,260880,0.58,0.43,0.1,0.53,0.23,0.12,0.08,0.11,0.56,0.04,0.01,0.98,0.47,0.0,
ParameterAssignment,7600,142467,6806,104007,260880,0.58,0.43,0.06,0.53,0.23,0.07,0.05,0.06,0.56,0.02,0.01,0.98,0.31,0.0,
MethodParamPad,2886,146519,2754,108721,260880,0.57,0.43,0.02,0.51,0.2,0.03,0.02,0.03,0.57,0.01,0.0,0.98,0.15,0.0,
ModifiedControlVariable,1812,147544,1729,109795,260880,0.57,0.43,0.01,0.51,0.2,0.02,0.01,0.02,0.57,0.0,0.0,0.98,0.1,0.0,
DesignForExtension,15005,134562,14711,96602,260880,0.57,0.43,0.11,0.5,0.18,0.13,0.1,0.12,0.56,0.03,0.0,0.98,0.51,0.0,
MissingJavadocType,6838,142556,6717,104769,260880,0.57,0.43,0.05,0.5,0.18,0.06,0.04,0.06,0.56,0.01,0.0,0.98,0.29,0.0,
NoClone,1504,147810,1463,110103,260880,0.57,0.43,0.01,0.51,0.18,0.01,0.01,0.01,0.57,0.0,0.0,0.98,0.09,0.0,
MultipleVariableDeclarations,4889,144355,4918,106718,260880,0.57,0.43,0.04,0.5,0.17,0.04,0.03,0.04,0.57,0.01,-0.0,0.98,0.23,0.0,
MissingSwitchDefault,5178,144023,5250,106429,260880,0.57,0.43,0.04,0.5,0.16,0.05,0.04,0.04,0.57,0.01,-0.0,0.98,0.24,0.0,
UpperEll,142,149130,143,111465,260880,0.57,0.43,0.0,0.5,0.16,0.0,0.0,0.0,0.57,0.0,-0.0,0.98,0.01,0.0,
AnnotationOnSameLine,20428,128090,21183,91179,260880,0.57,0.43,0.16,0.49,0.15,0.18,0.14,0.15,0.55,0.04,-0.01,0.98,0.63,0.0,
AvoidNestedBlocks,4195,144953,4320,107412,260880,0.57,0.43,0.03,0.49,0.15,0.04,0.03,0.04,0.57,0.01,-0.0,0.98,0.21,0.0,
AvoidStaticImport,8596,140435,8838,103011,260880,0.57,0.43,0.07,0.49,0.15,0.08,0.06,0.07,0.56,0.02,-0.0,0.98,0.35,0.0,
JavadocParagraph,12349,136513,12760,99258,260880,0.57,0.43,0.1,0.49,0.15,0.11,0.09,0.1,0.56,0.02,-0.0,0.98,0.46,0.0,
