feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
MutableException,2,12798,0,9728,22528,0.57,0.43,0.0,1.0,1.32,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
EqualsHashCode,68,12788,10,9662,22528,0.57,0.43,0.0,0.87,1.02,0.01,0.0,0.01,0.57,0.01,0.0,0.99,0.03,0.0,
IllegalToken,6,12797,1,9724,22528,0.57,0.43,0.0,0.86,0.98,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
OuterTypeNumber,3,12797,1,9727,22528,0.57,0.43,0.0,0.75,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
SimplifyBooleanReturn,15,12793,5,9715,22528,0.57,0.43,0.0,0.75,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
ArrayTrailingComma,78,12768,30,9652,22528,0.57,0.43,0.0,0.72,0.67,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,
AvoidEscapedUnicodeCharacters,14,12791,7,9716,22528,0.57,0.43,0.0,0.67,0.54,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
DefaultComesLast,2,12797,1,9728,22528,0.57,0.43,0.0,0.67,0.54,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
InterfaceIsType,2,12797,1,9728,22528,0.57,0.43,0.0,0.67,0.54,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
StringLiteralEquality,8,12794,4,9722,22528,0.57,0.43,0.0,0.67,0.54,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
UnnecessarySemicolonInEnumeration,7,12794,4,9723,22528,0.57,0.43,0.0,0.64,0.47,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
OneTopLevelClass,5,12795,3,9725,22528,0.57,0.43,0.0,0.62,0.45,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
RequireThis,5,12795,3,9725,22528,0.57,0.43,0.0,0.62,0.45,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,
MissingDeprecated,107,12728,70,9623,22528,0.57,0.43,0.01,0.6,0.4,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.07,0.0,
AbstractClassName,45,12765,33,9685,22528,0.57,0.43,0.0,0.58,0.34,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,
NoWhitespaceBefore,195,12651,147,9535,22528,0.57,0.43,0.02,0.57,0.32,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.11,0.0,
AnonInnerLength,197,12647,151,9533,22528,0.57,0.43,0.02,0.57,0.31,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.12,0.0,
EmptyCatchBlock,101,12719,79,9629,22528,0.57,0.43,0.01,0.56,0.3,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.07,0.0,
MethodParamPad,55,12755,43,9675,22528,0.57,0.43,0.0,0.56,0.3,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,
MissingJavadocType,216,12628,170,9514,22528,0.57,0.43,0.02,0.56,0.3,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.13,0.0,
NeedBraces,468,12435,363,9262,22528,0.57,0.43,0.04,0.56,0.3,0.05,0.03,0.05,0.56,0.02,0.01,0.99,0.23,0.0,
TrailingComment,438,12455,343,9292,22528,0.57,0.43,0.03,0.56,0.3,0.05,0.03,0.04,0.56,0.02,0.01,0.99,0.22,0.0,
TypeName,5,12794,4,9725,22528,0.57,0.43,0.0,0.56,0.29,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,
WriteTag,313,12549,249,9417,22528,0.57,0.43,0.02,0.56,0.29,0.03,0.02,0.03,0.56,0.01,0.01,0.99,0.17,0.0,
