,hotspot,other,riskfree,decreasing,increasing
FileTabCharacter,0.0018199561499919223,0.0012768134334477065,0.002349707484935077,False,False
SimplifyBooleanReturn,3.2050401351863128e-06,4.320620783914906e-06,8.372276710830004e-06,False,True
AtclauseOrder,0.0002455501568437966,0.0002605820950041715,0.0005712545911021975,False,True
IllegalCatch,0.001336865641971913,0.0011688176521934498,0.0010348670819881522,True,False
JavadocParagraph,0.002157626351840126,0.0020395783466799276,0.00219662340335011,False,False
BooleanExpressionComplexity,0.0001301186431857994,9.828224876100854e-05,8.066612160668231e-05,True,False
OverloadMethodsDeclarationOrder,0.0003127174956784118,0.00035087775927412576,0.00033977807729041636,False,False
ParenPad,0.012825912050351784,0.01832065921593576,0.011837671373537705,False,False
AvoidStarImport,0.001154004978545221,0.0017320178477601446,0.0009804379203101432,False,False
Regexp,inf,inf,8.973256745162868e-05,True,False
MultipleVariableDeclarations,9.38101840133647e-05,9.77365802293446e-05,0.0003144542645527918,False,True
MutableException,1.6948043178947408e-05,1.5890323608984213e-05,4.446770713761608e-06,True,False
VariableDeclarationUsageDistance,0.0008912529041051255,0.0007817934240406647,0.0006691091939890251,True,False
IllegalThrows,0.0001440205395316277,0.00014443730491556852,6.91233320162041e-05,False,False
InnerAssignment,9.707212981178869e-05,0.00011923662115748493,0.0001712994940679539,False,True
JavadocTagContinuationIndentation,0.00038725113501562566,0.0002860916446616838,0.00031278505432538116,False,False
EmptyStatement,2.017341349853722e-05,2.6231478789978283e-05,2.2663369570678805e-05,False,False
ClassFanOutComplexity,0.0007902413835634261,0.0006664286275812498,0.0004433864516786326,True,False
RedundantImport,7.169897784678881e-05,0.00013097447512484,3.0542695249116416e-05,False,False
ModifiedControlVariable,6.128963352198929e-05,4.35950624038389e-05,3.359017675412023e-05,True,False
DefaultComesLast,5.154879490351284e-06,6.406701227610401e-06,3.85486561555848e-06,False,False
LeftCurly,0.0038701792031634926,0.0072203224761944905,0.0078456794888057,False,True
SimplifyBooleanExpression,3.669966998332956e-05,6.55403423279248e-05,0.00010343899136017695,False,True
FallThrough,2.24810778043688e-05,2.0006037473440103e-05,1.1091969116935587e-05,True,False
EmptyForIteratorPad,1.7146428772807622e-05,2.0668711393818456e-05,2.1156842683624813e-05,False,True
StaticVariableName,0.000343532769541836,0.00040447675773347923,0.0009449095698382059,False,True
JavadocStyle,0.0022766308563642672,0.0033733706329578156,0.005075613232151143,False,True
Indentation,0.25264240002748645,0.1672670673240074,0.1917817082568356,False,False
CommentsIndentation,0.0007276555129229372,0.0004826462804664648,0.0005689321912883307,False,False
RightCurly,0.0019163181963719874,0.0011845887617398941,0.0009910433077374825,True,False
ClassDataAbstractionCoupling,0.0006094713122239076,0.0004228107887509969,0.0004172748625516759,True,False
HiddenField,0.008117711938941586,0.009391667610246105,0.00779585340798167,False,False
NestedTryDepth,5.58789677703516e-05,4.427414886778896e-05,2.306068982881259e-05,True,False
NoLineWrap,2.572161879401533e-06,2.2109562766950116e-06,3.989137578374088e-07,True,False
TypecastParenPad,2.8904945240266834e-06,1.1577329818593599e-05,1.2441021190079912e-05,False,True
EmptyForInitializerPad,1.675987959213053e-07,5.4326841109899755e-06,1.4304766821118592e-06,False,False
EmptyCatchBlock,0.00018690111831378483,0.00012757828283653112,0.0001245038064205638,True,False
SingleLineJavadoc,4.93368470297699e-05,0.00011787164017094118,4.409335780012956e-05,False,False
NoClone,1.1979407798856137e-05,1.573890250398099e-05,2.8412361574636146e-05,False,True
FinalClass,0.00022404277638023146,0.0002917253097345345,0.0002607172922272269,False,False
MethodParamPad,0.0001444914277276511,0.00020739954245637063,0.00028069907661616,False,True
MissingDeprecated,0.0001772426047536718,0.00013773257868557356,0.00020207067073779971,False,False
OneStatementPerLine,5.431917131475196e-05,8.993018052889031e-05,9.382806664409284e-05,False,True
InvalidJavadocPosition,8.540837503614893e-05,0.00010953438857591657,0.00011462266055276625,False,True
SuperClone,7.4672380001475845e-06,9.320596049095232e-06,1.8906878012587574e-05,False,True
AnnotationOnSameLine,0.03933123493142062,0.03942388589779008,0.038701204769819704,False,False
InterfaceMemberImpliedModifier,0.006639221469265088,0.014317189582208992,0.015525178792391263,False,True
JavadocPackage,inf,inf,0.00187842451895604,True,False
AbbreviationAsWordInName,0.0001991570654871482,0.00028930036489036324,0.0004305630450007018,False,True
InterfaceIsType,1.1829943377774698e-05,2.6985345223293996e-05,6.575935466766274e-05,False,True
VisibilityModifier,0.004205488871716875,0.004017411380995783,0.004556313085281035,False,False
OuterTypeFilename,6.267136701919311e-07,1.004490074910883e-06,2.545240740548068e-06,False,True
MissingCtor,0.004187283415610195,0.0044189166730184025,0.005318091856445059,False,True
CustomImportOrder,5.9926217597079266e-05,0.0002578868751410586,0.00016533092938351767,False,False
ConstantName,0.0010709612134852785,0.001289379220178734,0.0020004406350945187,False,True
AvoidEscapedUnicodeCharacters,0.0001184472572425889,4.193738131999674e-05,0.00013290466700785863,False,False
CatchParameterName,0.00013523217670636,0.00010610986182127855,0.00010957087786308211,False,False
