feature,monotonicity
AbstractClassName,True
AnnotationOnSameLine,True
AnonInnerLength,True
ArrayTrailingComma,True
ArrayTypeStyle,True
AvoidInlineConditionals,True
AvoidNestedBlocks,True
AvoidStaticImport,True
BooleanExpressionComplexity,True
CatchParameterName,True
ClassDataAbstractionCoupling,True
ClassFanOutComplexity,True
ClassMemberImpliedModifier,True
ClassTypeParameterName,True
CommentsIndentation,True
ConstantName,True
CyclomaticComplexity,True
DeclarationOrder,True
DesignForExtension,True
EmptyBlock,True
EmptyCatchBlock,True
EmptyForIteratorPad,True
EmptyLineSeparator,True
EmptyStatement,True
EqualsAvoidNull,True
EqualsHashCode,True
ExecutableStatementCount,True
ExplicitInitialization,True
FallThrough,True
FileLength,True
FinalClass,True
FinalLocalVariable,True
FinalParameters,True
GenericWhitespace,True
HiddenField,True
IllegalCatch,True
IllegalThrows,True
IllegalType,True
ImportOrder,True
InnerAssignment,True
InnerTypeLast,True
InvalidJavadocPosition,True
JavaNCSS,True
JavadocMethod,True
JavadocParagraph,True
JavadocStyle,True
JavadocTagContinuationIndentation,True
JavadocVariable,True
LineLength,True
LocalVariableName,True
MagicNumber,True
MethodLength,True
MethodName,True
MethodParamPad,True
MissingJavadocPackage,True
ModifiedControlVariable,True
MultipleStringLiterals,True
MultipleVariableDeclarations,True
NPathComplexity,True
NestedIfDepth,True
NestedTryDepth,True
NoLineWrap,True
NoWhitespaceAfter,True
NoWhitespaceBefore,True
NonEmptyAtclauseDescription,True
OneTopLevelClass,True
OperatorWrap,True
OuterTypeNumber,True
OverloadMethodsDeclarationOrder,True
ParameterAssignment,True
ParameterNumber,True
RedundantModifier,True
RegexpOnFilename,True
RequireThis,True
ReturnCount,True
RightCurly,True
SeparatorWrap,True
SingleSpaceSeparator,True
SummaryJavadoc,True
SuppressWarnings,True
TodoComment,True
TrailingComment,True
TypeName,True
TypecastParenPad,True
UnnecessaryParentheses,True
VariableDeclarationUsageDistance,True
VisibilityModifier,True
WhitespaceAfter,True
WhitespaceAround,True
any-Annotation,True
any-Class Design,True
any-Coding,True
any-Header,True
any-Illegal,True
any-Metrics,True
any-Misc,True
any-Size Violation,True
any-Whitespace,True
random_metric,True
same_day_duration_avg,True
AbbreviationAsWordInName,False
AnnotationLocation,False
AnnotationUseStyle,False
AtclauseOrder,False
AvoidEscapedUnicodeCharacters,False
AvoidStarImport,False
CovariantEquals,False
CustomImportOrder,False
DefaultComesLast,False
EmptyForInitializerPad,False
FileTabCharacter,False
HideUtilityClassConstructor,False
IllegalImport,False
IllegalToken,False
ImportControl,False
Indentation,False
InterfaceIsType,False
InterfaceMemberImpliedModifier,False
InterfaceTypeParameterName,False
JavadocPackage,False
JavadocType,False
LambdaParameterName,False
LeftCurly,False
LocalFinalVariableName,False
MemberName,False
MethodCount,False
MethodTypeParameterName,False
MissingCtor,False
MissingDeprecated,False
MissingJavadocMethod,False
MissingJavadocType,False
MissingOverride,False
MissingSwitchDefault,False
ModifierOrder,False
MutableException,False
NeedBraces,False
NestedForDepth,False
NewlineAtEndOfFile,False
NoClone,False
NoFinalizer,False
OneStatementPerLine,False
OuterTypeFilename,False
PackageDeclaration,False
PackageName,False
ParameterName,False
ParenPad,False
RedundantImport,False
Regexp,False
SimplifyBooleanExpression,False
SimplifyBooleanReturn,False
SingleLineJavadoc,False
StaticVariableName,False
StringLiteralEquality,False
SuperClone,False
SuperFinalize,False
ThrowsCount,False
UncommentedMain,False
UnnecessarySemicolonInEnumeration,False
UnnecessarySemicolonInTryWithResources,False
UnusedImports,False
UpperEll,False
WriteTag,False
any-Block,False
any-Import,False
any-JavaDoc Comments,False
any-Modifier,False
any-Naming Conventions,False
any-Regexp,False
any-Unnecessary,False
avg_coupling_code_size_cut,False
prev_touch_ago,False
