Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_random_metric,cond_mean_diff_random_metric,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
0,CovariantEquals,6.0,24660.0,9.0,8360.0,33035.0,0.75,0.25,0.0,0.4,0.58,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,0,11496,1,11031,22528,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.0,0.0,,55.33333333333334,5.3297916351344545,False,0.008083508341019516,0.0,10,0,0,131815,0,129065,260880,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,6,2.0,12508.0,5.0,4019.0,16534.0,0.76,0.24,0.0,0.29,0.17,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,146,0.0,6376.0,0.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,0,3.0,6111.0,5.0,1946.0,8065.0,0.76,0.24,0.0,0.38,0.55,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,
1,NoFinalizer,12.0,24647.0,22.0,8354.0,33035.0,0.75,0.25,0.0,0.35,0.39,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,1,11491,6,11030,22528,0.51,0.49,0.0,0.14,-0.71,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.0,0.0,,55.529411764705884,5.525870066507005,True,0.053841306188009724,0.13,40,6,29,131791,24,129036,260880,0.51,0.49,0.0,0.55,0.11,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,141,1.0,12507.0,6.0,4020.0,16534.0,0.76,0.24,0.0,0.14,-0.41,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.01,0.0,,3,2.0,6376.0,0.0,2058.0,8436.0,0.76,0.24,0.0,1.0,3.1,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,2,9.0,6100.0,16.0,1940.0,8065.0,0.76,0.24,0.0,0.36,0.49,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.03,0.0,
2,MethodTypeParameterName,36.0,24599.0,70.0,8330.0,33035.0,0.75,0.25,0.0,0.34,0.34,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,,2,11490,7,11029,22528,0.51,0.49,0.0,0.22,-0.55,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.01,0.0,,52.679245283018865,2.675703584819985,False,0.028513009532479983,0.040000000000000036,112,5,174,131744,71,128891,260880,0.51,0.49,0.0,0.71,0.44,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,11,11.0,12485.0,28.0,4010.0,16534.0,0.76,0.24,0.0,0.28,0.16,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.02,0.0,,138,0.0,6375.0,1.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.0,0.0,,4,21.0,6071.0,45.0,1928.0,8065.0,0.76,0.24,0.01,0.32,0.32,0.01,0.01,0.01,0.75,0.0,-0.0,0.8,0.07,0.0,
3,SuperClone,28.0,24614.0,55.0,8338.0,33035.0,0.75,0.25,0.0,0.34,0.33,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,,10,11487,10,11021,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,51.79518072289157,1.7916390246926852,False,0.012091954042029052,0.2,80,20,617,131473,342,128448,260880,0.51,0.49,0.0,0.64,0.3,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.04,0.0,,10,11.0,12485.0,28.0,4010.0,16534.0,0.76,0.24,0.0,0.28,0.16,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.02,0.0,,4,1.0,6376.0,0.0,2059.0,8436.0,0.76,0.24,0.0,1.0,3.1,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,3,15.0,6088.0,28.0,1934.0,8065.0,0.76,0.24,0.01,0.35,0.44,0.01,0.0,0.01,0.76,0.0,-0.0,0.8,0.05,0.0,
4,SuperFinalize,5.0,24659.0,10.0,8361.0,33035.0,0.75,0.25,0.0,0.33,0.32,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,2,11497,0,11029,22528,0.51,0.49,0.0,1.0,1.04,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,59.53333333333333,9.529791635134453,True,0.036086203113642135,0.06000000000000005,16,1,24,131803,12,129041,260880,0.51,0.49,0.0,0.67,0.35,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,37,1.0,12510.0,3.0,4020.0,16534.0,0.76,0.24,0.0,0.25,0.03,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.0,0.0,,0,1.0,6376.0,0.0,2059.0,8436.0,0.76,0.24,0.0,1.0,3.1,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,6,3.0,6109.0,7.0,1946.0,8065.0,0.76,0.24,0.0,0.3,0.24,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,
5,Regexp,1.0,24667.0,2.0,8365.0,33035.0,0.75,0.25,0.0,0.33,0.32,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.0,0.0,,0,11497,0,11031,22528,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,61.33333333333334,11.329791635134455,True,-0.00511864737356087,0.0,2,0,0,131815,0,129065,260880,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,145,0.0,12513.0,0.0,4021.0,16534.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,22,1.0,6374.0,2.0,2059.0,8436.0,0.76,0.24,0.0,0.33,0.37,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.0,0.0,,148,0.0,6116.0,0.0,1949.0,8065.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,
6,NoLineWrap,4.0,24660.0,9.0,8362.0,33035.0,0.75,0.25,0.0,0.31,0.21,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,1,11494,3,11030,22528,0.51,0.49,0.0,0.25,-0.49,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.0,0.0,,52.92307692307693,2.9195352248780395,False,0.004941802995296936,0.2,16,4,0,131815,0,129065,260880,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,144,0.0,12511.0,2.0,4021.0,16534.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.0,0.0,,150,0.0,6376.0,0.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,1,4.0,6109.0,7.0,1945.0,8065.0,0.76,0.24,0.0,0.36,0.5,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,
7,NoClone,55.0,24540.0,129.0,8311.0,33035.0,0.74,0.25,0.01,0.3,0.18,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,,7,11490,7,11024,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,52.57608695652174,2.5725452583228616,True,0.7677465470874713,0.06999999999999995,156,11,1813,130661,1154,127252,260880,0.51,0.49,0.01,0.61,0.24,0.01,0.01,0.01,0.51,0.01,0.0,1.0,0.09,0.0,,2,21.0,12468.0,45.0,4000.0,16534.0,0.76,0.24,0.0,0.32,0.31,0.01,0.0,0.01,0.75,0.0,-0.0,0.8,0.04,0.0,,12,2.0,6373.0,3.0,2058.0,8436.0,0.76,0.24,0.0,0.4,0.64,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,14,30.0,6033.0,83.0,1919.0,8065.0,0.75,0.24,0.01,0.27,0.1,0.02,0.01,0.01,0.75,0.0,-0.01,0.8,0.11,0.0,
8,ThrowsCount,46.0,24560.0,109.0,8320.0,33035.0,0.74,0.25,0.0,0.3,0.17,0.01,0.0,0.01,0.74,0.0,-0.0,0.82,0.04,0.0,,20,11480,17,11011,22528,0.51,0.49,0.0,0.54,0.1,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.02,0.0,,53.01935483870968,3.0158131405107937,False,0.024737331786509567,0.16000000000000006,150,28,28,131767,48,129037,260880,0.51,0.49,0.0,0.37,-0.26,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.0,0.0,,0,22.0,12477.0,36.0,3999.0,16534.0,0.76,0.24,0.0,0.38,0.56,0.01,0.0,0.01,0.76,0.0,-0.0,0.8,0.03,0.0,,7,2.0,6374.0,2.0,2058.0,8436.0,0.76,0.24,0.0,0.5,1.05,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.01,0.0,,82,22.0,6045.0,71.0,1927.0,8065.0,0.75,0.24,0.01,0.24,-0.02,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.09,0.0,
9,UnnecessarySemicolonInEnumeration,49.0,24550.0,119.0,8317.0,33035.0,0.74,0.25,0.01,0.29,0.15,0.01,0.0,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,,9,11495,2,11022,22528,0.51,0.49,0.0,0.82,0.67,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,50.63690476190475,0.6333630637058789,True,0.015035136921525603,0.07999999999999996,110,10,811,130677,1138,128254,260880,0.5,0.49,0.01,0.42,-0.16,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.06,0.0,,25,22.0,12452.0,61.0,3999.0,16534.0,0.75,0.24,0.01,0.27,0.09,0.01,0.0,0.01,0.75,0.0,-0.0,0.8,0.05,0.0,,27,4.0,6366.0,10.0,2056.0,8436.0,0.76,0.24,0.0,0.29,0.17,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.02,0.0,,22,18.0,6063.0,53.0,1931.0,8065.0,0.75,0.24,0.01,0.25,0.05,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.07,0.0,
