Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_random_metric,cond_mean_diff_random_metric,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
10,IllegalImport,7.0,24652.0,17.0,8359.0,33035.0,0.75,0.25,0.0,0.29,0.15,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,4,11494,3,11027,22528,0.51,0.49,0.0,0.57,0.17,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,51.58333333333334,1.5797916351344554,False,0.010871394765520131,0.33,12,6,113,131608,207,128952,260880,0.5,0.49,0.0,0.35,-0.29,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.01,0.0,,7,2.0,12508.0,5.0,4019.0,16534.0,0.76,0.24,0.0,0.29,0.17,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,20,1.0,6374.0,2.0,2059.0,8436.0,0.76,0.24,0.0,0.33,0.37,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.0,0.0,,125,3.0,6105.0,11.0,1946.0,8065.0,0.76,0.24,0.0,0.21,-0.11,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.02,0.0,
11,ClassTypeParameterName,33.0,24588.0,81.0,8333.0,33035.0,0.75,0.25,0.0,0.29,0.14,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,,2,11495,2,11029,22528,0.51,0.49,0.0,0.5,0.02,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,53.46491228070175,3.461370582502873,False,0.018854944385801143,0.020000000000000014,92,2,133,131713,102,128932,260880,0.51,0.49,0.0,0.57,0.14,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,13,16.0,12470.0,43.0,4005.0,16534.0,0.76,0.24,0.0,0.27,0.12,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.03,0.0,,13,4.0,6370.0,6.0,2056.0,8436.0,0.76,0.24,0.0,0.4,0.64,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,136,9.0,6080.0,36.0,1940.0,8065.0,0.75,0.24,0.01,0.2,-0.17,0.0,0.01,0.0,0.76,-0.0,-0.0,0.8,0.05,0.0,
12,EmptyForInitializerPad,4.0,24659.0,10.0,8362.0,33035.0,0.75,0.25,0.0,0.29,0.13,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,,2,11496,1,11029,22528,0.51,0.49,0.0,0.67,0.36,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,57.714285714285715,7.710744016086835,False,0.01510955890918564,0.5,3,3,43,131796,19,129022,260880,0.51,0.49,0.0,0.69,0.4,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,39,1.0,12510.0,3.0,4020.0,16534.0,0.76,0.24,0.0,0.25,0.03,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.0,0.0,,132,0.0,6376.0,0.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,135,2.0,6108.0,8.0,1947.0,8065.0,0.76,0.24,0.0,0.2,-0.17,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.01,0.0,
13,IllegalToken,54.0,24530.0,139.0,8312.0,33035.0,0.74,0.25,0.01,0.28,0.1,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,,3,11493,4,11028,22528,0.51,0.49,0.0,0.43,-0.12,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.0,0.0,,51.678756476683944,1.6752147784850564,False,0.14292391043611907,0.030000000000000027,173,6,1538,129698,2117,127527,260880,0.5,0.49,0.01,0.42,-0.15,0.01,0.02,0.01,0.51,-0.0,-0.0,1.0,0.11,0.0,,109,7.0,12489.0,24.0,4014.0,16534.0,0.76,0.24,0.0,0.23,-0.07,0.0,0.0,0.0,0.76,-0.0,-0.0,0.8,0.02,0.0,,143,0.0,6376.0,0.0,2060.0,8436.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,15,43.0,5997.0,119.0,1906.0,8065.0,0.75,0.24,0.02,0.27,0.1,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.14,0.0,
14,EqualsHashCode,37.0,24573.0,96.0,8329.0,33035.0,0.74,0.25,0.0,0.28,0.1,0.0,0.0,0.0,0.74,0.0,-0.0,0.82,0.04,0.0,,37,11456,41,10994,22528,0.51,0.49,0.0,0.47,-0.03,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.03,0.0,,52.70676691729322,2.703225219094349,True,0.02870061175912528,0.37,132,78,445,131481,334,128620,260880,0.51,0.49,0.0,0.57,0.15,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.03,0.0,,59,11.0,12479.0,34.0,4010.0,16534.0,0.76,0.24,0.0,0.24,0.01,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.03,0.0,,29,2.0,6371.0,5.0,2058.0,8436.0,0.76,0.24,0.0,0.29,0.17,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.01,0.0,,11,22.0,6057.0,59.0,1927.0,8065.0,0.75,0.24,0.01,0.27,0.12,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.08,0.0,
15,JavadocType,230.0,24070.0,599.0,8136.0,33035.0,0.74,0.25,0.03,0.28,0.1,0.03,0.02,0.03,0.73,0.0,-0.01,0.82,0.17,0.0,,14,11474,23,11017,22528,0.51,0.49,0.0,0.38,-0.23,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.02,0.0,,51.40048250904705,1.3969408108481645,True,0.02616085565414151,0.06000000000000005,490,30,4270,128071,3744,124795,260880,0.51,0.49,0.03,0.53,0.08,0.03,0.03,0.03,0.5,0.0,0.0,1.0,0.2,0.0,,26,109.0,12205.0,308.0,3912.0,16534.0,0.74,0.24,0.03,0.26,0.07,0.03,0.02,0.03,0.74,0.0,-0.02,0.8,0.17,0.0,,106,21.0,6305.0,71.0,2039.0,8436.0,0.75,0.24,0.01,0.23,-0.07,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.09,0.0,,9,90.0,5886.0,230.0,1859.0,8065.0,0.74,0.24,0.04,0.28,0.16,0.05,0.04,0.04,0.74,0.0,-0.02,0.8,0.24,0.0,
16,SingleLineJavadoc,121.0,24351.0,318.0,8245.0,33035.0,0.74,0.25,0.01,0.28,0.09,0.01,0.01,0.01,0.74,0.0,-0.01,0.82,0.1,0.0,,13,11486,11,11018,22528,0.51,0.49,0.0,0.54,0.11,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.01,0.0,,50.70842824601367,0.7048865478147874,False,0.037038551659952734,0.040000000000000036,369,15,298,131421,394,128767,260880,0.5,0.49,0.0,0.43,-0.13,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.03,0.0,,12,42.0,12405.0,108.0,3979.0,16534.0,0.75,0.24,0.01,0.28,0.15,0.01,0.01,0.01,0.75,0.0,-0.01,0.8,0.07,0.0,,74,15.0,6330.0,46.0,2045.0,8436.0,0.75,0.24,0.01,0.25,0.01,0.01,0.01,0.01,0.75,0.0,-0.0,0.8,0.06,0.0,,23,58.0,5946.0,170.0,1891.0,8065.0,0.74,0.24,0.03,0.25,0.05,0.03,0.03,0.03,0.74,0.0,-0.02,0.8,0.19,0.0,
17,GenericWhitespace,73.0,24478.0,191.0,8293.0,33035.0,0.74,0.25,0.01,0.28,0.09,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.07,0.0,,40,11448,49,10991,22528,0.51,0.49,0.0,0.45,-0.08,0.0,0.0,0.0,0.51,-0.0,-0.0,1.0,0.04,0.0,,51.21212121212121,1.2085795139223308,False,0.02156877204991316,0.25,219,73,685,131180,635,128380,260880,0.51,0.49,0.01,0.52,0.05,0.01,0.0,0.01,0.51,0.0,0.0,1.0,0.05,0.0,,18,27.0,12440.0,73.0,3994.0,16534.0,0.75,0.24,0.01,0.27,0.11,0.01,0.01,0.01,0.75,0.0,-0.0,0.8,0.05,0.0,,28,6.0,6361.0,15.0,2054.0,8436.0,0.75,0.24,0.0,0.29,0.17,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.03,0.0,,26,36.0,6009.0,107.0,1913.0,8065.0,0.75,0.24,0.02,0.25,0.04,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.13,0.0,
18,PackageName,24.0,24606.0,63.0,8342.0,33035.0,0.75,0.25,0.0,0.28,0.09,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,,0,11497,0,11031,22528,0.51,0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,54.89655172413793,4.8930100259390485,False,0.004636186208283284,0.0,34,0,35,131792,23,129030,260880,0.51,0.49,0.0,0.6,0.22,0.0,0.0,0.0,0.51,0.0,0.0,1.0,0.0,0.0,,8,13.0,12480.0,33.0,4008.0,16534.0,0.76,0.24,0.0,0.28,0.16,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.03,0.0,,2,2.0,6376.0,0.0,2058.0,8436.0,0.76,0.24,0.0,1.0,3.1,0.0,0.0,0.0,0.76,0.0,0.0,0.8,0.0,0.0,,131,8.0,6085.0,31.0,1941.0,8065.0,0.76,0.24,0.0,0.21,-0.15,0.0,0.01,0.0,0.76,-0.0,-0.0,0.8,0.04,0.0,
19,AtclauseOrder,445.0,23466.0,1203.0,7921.0,33035.0,0.72,0.25,0.05,0.27,0.07,0.05,0.05,0.05,0.72,0.0,-0.03,0.82,0.29,0.0,,116,11371,126,10915,22528,0.51,0.49,0.01,0.48,-0.02,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.09,0.0,,50.26031553398058,0.25677383578170065,False,0.06231678866446801,0.29000000000000004,523,209,3918,126938,4877,125147,260880,0.5,0.49,0.03,0.45,-0.1,0.03,0.04,0.03,0.5,-0.01,-0.01,1.0,0.21,0.0,,23,186.0,11999.0,514.0,3835.0,16534.0,0.74,0.24,0.04,0.27,0.09,0.05,0.04,0.04,0.74,0.0,-0.03,0.8,0.25,0.0,,40,95.0,6119.0,257.0,1965.0,8436.0,0.74,0.24,0.04,0.27,0.11,0.05,0.04,0.04,0.73,0.0,-0.03,0.8,0.25,0.0,,24,151.0,5671.0,445.0,1798.0,8065.0,0.72,0.24,0.07,0.25,0.05,0.08,0.07,0.06,0.72,0.0,-0.05,0.8,0.38,0.0,
20,JavadocTagContinuationIndentation,397.0,23598.0,1071.0,7969.0,33035.0,0.73,0.25,0.04,0.27,0.07,0.05,0.04,0.04,0.72,0.0,-0.03,0.82,0.26,0.0,,69,11414,83,10962,22528,0.51,0.49,0.01,0.45,-0.07,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.06,0.0,,50.669618528610364,0.6660768304114768,False,0.10453554383611106,0.08999999999999997,1084,109,1956,130326,1489,127109,260880,0.51,0.49,0.01,0.57,0.15,0.02,0.01,0.01,0.51,0.0,0.0,1.0,0.1,0.0,,4,152.0,12154.0,359.0,3869.0,16534.0,0.74,0.24,0.03,0.3,0.22,0.04,0.03,0.03,0.74,0.0,-0.02,0.8,0.2,0.0,,41,15.0,6335.0,41.0,2045.0,8436.0,0.75,0.24,0.01,0.27,0.1,0.01,0.01,0.01,0.75,0.0,-0.0,0.8,0.06,0.0,,101,212.0,5427.0,689.0,1737.0,8065.0,0.7,0.24,0.11,0.24,-0.03,0.11,0.11,0.08,0.7,-0.0,-0.08,0.8,0.51,0.0,
21,EmptyCatchBlock,290.0,23875.0,794.0,8076.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.21,0.0,,75,11392,105,10956,22528,0.51,0.49,0.01,0.42,-0.15,0.01,0.01,0.01,0.51,-0.0,-0.0,1.0,0.07,0.0,,50.618081180811814,0.6145394826129262,True,0.1149158892609308,0.09999999999999998,933,103,3684,128232,3583,125381,260880,0.51,0.49,0.03,0.51,0.02,0.03,0.03,0.03,0.5,0.0,0.0,1.0,0.18,0.0,,3,85.0,12316.0,197.0,3936.0,16534.0,0.75,0.24,0.02,0.3,0.24,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.12,0.0,,10,5.0,6369.0,7.0,2055.0,8436.0,0.76,0.24,0.0,0.42,0.71,0.0,0.0,0.0,0.76,0.0,-0.0,0.8,0.02,0.0,,56,191.0,5517.0,599.0,1758.0,8065.0,0.71,0.24,0.1,0.24,0.0,0.1,0.1,0.07,0.71,0.0,-0.07,0.8,0.46,0.0,
