feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
ImportControl,135,188004,50,72691,260880,0.72,0.28,0.0,0.73,1.61,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
MutableException,66,188025,29,72760,260880,0.72,0.28,0.0,0.69,1.49,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.0,0.0,
AnnotationLocation,119,187987,67,72707,260880,0.72,0.28,0.0,0.64,1.29,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
DefaultComesLast,1655,186961,1093,71171,260880,0.72,0.28,0.01,0.6,1.16,0.02,0.01,0.02,0.72,0.01,0.0,0.85,0.08,0.0,
MethodTypeParameterName,144,187953,101,72682,260880,0.72,0.28,0.0,0.59,1.11,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
MissingOverride,314,187836,218,72512,260880,0.72,0.28,0.0,0.59,1.11,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.02,0.0,
OneStatementPerLine,4502,184749,3305,68324,260880,0.73,0.28,0.03,0.58,1.07,0.06,0.02,0.06,0.71,0.03,0.01,0.85,0.19,0.01,
AnnotationUseStyle,2303,186345,1709,70523,260880,0.72,0.28,0.02,0.57,1.06,0.03,0.01,0.03,0.71,0.01,0.0,0.85,0.11,0.0,
ModifiedControlVariable,2041,186554,1500,70785,260880,0.72,0.28,0.01,0.58,1.06,0.03,0.01,0.03,0.71,0.01,0.0,0.85,0.1,0.0,
LambdaParameterName,175,187923,131,72651,260880,0.72,0.28,0.0,0.57,1.05,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
EqualsHashCode,426,187701,353,72400,260880,0.72,0.28,0.0,0.55,0.96,0.01,0.0,0.01,0.72,0.0,0.0,0.85,0.03,0.0,
SimplifyBooleanExpression,913,187270,784,71913,260880,0.72,0.28,0.01,0.54,0.93,0.01,0.0,0.01,0.72,0.0,0.0,0.85,0.06,0.0,
ParameterAssignment,7680,181328,6726,65146,260880,0.72,0.28,0.06,0.53,0.91,0.11,0.04,0.1,0.7,0.04,0.01,0.85,0.31,0.01,
UpperEll,151,187920,134,72675,260880,0.72,0.28,0.0,0.53,0.9,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
MethodParamPad,2951,185365,2689,69875,260880,0.72,0.28,0.02,0.52,0.87,0.04,0.01,0.04,0.71,0.01,0.0,0.85,0.15,0.0,
MissingCtor,13354,175608,12446,59472,260880,0.72,0.28,0.1,0.52,0.85,0.18,0.07,0.16,0.68,0.07,0.0,0.85,0.47,0.02,
EmptyBlock,1929,186223,1831,70897,260880,0.72,0.28,0.01,0.51,0.84,0.03,0.01,0.03,0.71,0.01,0.0,0.85,0.11,0.0,
BooleanExpressionComplexity,5144,182886,5168,67682,260880,0.72,0.28,0.04,0.5,0.79,0.07,0.03,0.07,0.7,0.02,-0.0,0.85,0.24,0.01,
IllegalImport,160,187894,160,72666,260880,0.72,0.28,0.0,0.5,0.79,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.01,0.0,
RightCurly,4291,183740,4314,68535,260880,0.72,0.28,0.03,0.5,0.79,0.06,0.02,0.06,0.71,0.02,-0.0,0.85,0.21,0.01,
AnonInnerLength,5480,182484,5570,67346,260880,0.72,0.28,0.04,0.5,0.78,0.08,0.03,0.07,0.7,0.03,-0.0,0.85,0.25,0.01,
MultipleVariableDeclarations,4883,183130,4924,67943,260880,0.72,0.28,0.04,0.5,0.78,0.07,0.03,0.06,0.7,0.02,-0.0,0.85,0.23,0.01,
AvoidNestedBlocks,4205,183744,4310,68621,260880,0.72,0.28,0.03,0.49,0.77,0.06,0.02,0.05,0.71,0.02,-0.0,0.85,0.21,0.01,
EmptyCatchBlock,3584,184371,3683,69242,260880,0.72,0.28,0.03,0.49,0.77,0.05,0.02,0.05,0.71,0.02,-0.0,0.85,0.18,0.0,
AvoidStaticImport,8558,179178,8876,64268,260880,0.72,0.28,0.07,0.49,0.76,0.12,0.05,0.1,0.69,0.04,-0.0,0.85,0.35,0.01,
OperatorWrap,9724,177998,10056,63102,260880,0.72,0.28,0.08,0.49,0.76,0.13,0.05,0.12,0.69,0.05,-0.0,0.85,0.39,0.01,
UnnecessaryParentheses,9168,178607,9447,63658,260880,0.72,0.28,0.07,0.49,0.76,0.13,0.05,0.11,0.69,0.04,-0.0,0.85,0.37,0.01,
FinalParameters,6369,181368,6686,66457,260880,0.72,0.28,0.05,0.49,0.75,0.09,0.04,0.08,0.7,0.03,-0.0,0.85,0.29,0.01,
EmptyForIteratorPad,1029,186969,1085,71797,260880,0.72,0.28,0.01,0.49,0.74,0.01,0.01,0.01,0.72,0.0,-0.0,0.85,0.07,0.0,
NPathComplexity,10415,176987,11067,62411,260880,0.72,0.28,0.08,0.48,0.74,0.14,0.06,0.12,0.68,0.05,-0.0,0.85,0.41,0.01,
MissingSwitchDefault,5050,182676,5378,67776,260880,0.72,0.28,0.04,0.48,0.73,0.07,0.03,0.06,0.7,0.02,-0.0,0.85,0.24,0.01,
InnerTypeLast,7507,179883,8171,65319,260880,0.72,0.28,0.06,0.48,0.72,0.1,0.04,0.09,0.69,0.03,-0.0,0.85,0.33,0.01,
NoWhitespaceBefore,1881,186020,2034,70945,260880,0.72,0.28,0.02,0.48,0.72,0.03,0.01,0.03,0.71,0.01,-0.0,0.85,0.11,0.0,
ParenPad,3674,184091,3963,69152,260880,0.72,0.28,0.03,0.48,0.72,0.05,0.02,0.05,0.71,0.02,-0.0,0.85,0.19,0.0,
AvoidEscapedUnicodeCharacters,1494,186422,1632,71332,260880,0.72,0.28,0.01,0.48,0.71,0.02,0.01,0.02,0.72,0.01,-0.0,0.85,0.09,0.0,
RequireThis,184,187853,201,72642,260880,0.72,0.28,0.0,0.48,0.71,0.0,0.0,0.0,0.72,0.0,-0.0,0.85,0.02,0.0,
NeedBraces,8787,178356,9698,64039,260880,0.72,0.28,0.07,0.48,0.7,0.12,0.05,0.11,0.69,0.04,-0.0,0.85,0.37,0.01,
CatchParameterName,1845,185994,2060,70981,260880,0.72,0.28,0.01,0.47,0.69,0.03,0.01,0.02,0.71,0.01,-0.0,0.85,0.11,0.0,
FallThrough,1634,186230,1824,71192,260880,0.72,0.28,0.01,0.47,0.69,0.02,0.01,0.02,0.71,0.01,-0.0,0.85,0.1,0.0,
ClassFanOutComplexity,10460,176220,11834,62366,260880,0.72,0.28,0.09,0.47,0.68,0.14,0.06,0.12,0.68,0.05,-0.01,0.85,0.42,0.01,
NestedTryDepth,751,187205,849,72075,260880,0.72,0.28,0.01,0.47,0.68,0.01,0.0,0.01,0.72,0.0,-0.0,0.85,0.05,0.0,
ArrayTrailingComma,2836,184807,3247,69990,260880,0.72,0.28,0.02,0.47,0.67,0.04,0.02,0.04,0.71,0.01,-0.0,0.85,0.16,0.0,
MissingJavadocType,6326,180825,7229,66500,260880,0.72,0.28,0.05,0.47,0.67,0.09,0.04,0.08,0.7,0.03,-0.0,0.85,0.29,0.01,
NestedForDepth,1834,185962,2092,70992,260880,0.72,0.28,0.02,0.47,0.67,0.03,0.01,0.02,0.71,0.01,-0.0,0.85,0.11,0.0,
WhitespaceAfter,10234,176396,11658,62592,260880,0.72,0.28,0.08,0.47,0.67,0.14,0.06,0.12,0.68,0.05,-0.01,0.85,0.42,0.01,
ClassMemberImpliedModifier,4094,183298,4756,68732,260880,0.72,0.28,0.03,0.46,0.66,0.06,0.03,0.05,0.71,0.02,-0.0,0.85,0.21,0.0,
NoClone,1376,186463,1591,71450,260880,0.72,0.28,0.01,0.46,0.66,0.02,0.01,0.02,0.72,0.01,-0.0,0.85,0.09,0.0,
VisibilityModifier,12446,173678,14376,60380,260880,0.71,0.28,0.1,0.46,0.66,0.17,0.08,0.14,0.68,0.06,-0.01,0.85,0.48,0.01,
InterfaceIsType,129,187903,151,72697,260880,0.72,0.28,0.0,0.46,0.65,0.0,0.0,0.0,0.72,0.0,-0.0,0.85,0.01,0.0,
ParameterNumber,3554,183908,4146,69272,260880,0.72,0.28,0.03,0.46,0.65,0.05,0.02,0.05,0.71,0.02,-0.0,0.85,0.19,0.0,
SimplifyBooleanReturn,243,187771,283,72583,260880,0.72,0.28,0.0,0.46,0.65,0.0,0.0,0.0,0.72,0.0,-0.0,0.85,0.02,0.0,
StringLiteralEquality,265,187743,311,72561,260880,0.72,0.28,0.0,0.46,0.65,0.0,0.0,0.0,0.72,0.0,-0.0,0.85,0.02,0.0,
ClassDataAbstractionCoupling,8640,177850,10204,64186,260880,0.71,0.28,0.07,0.46,0.64,0.12,0.05,0.1,0.69,0.04,-0.01,0.85,0.37,0.01,
AvoidStarImport,4759,182353,5701,68067,260880,0.72,0.28,0.04,0.45,0.63,0.07,0.03,0.06,0.7,0.02,-0.01,0.85,0.24,0.0,
Indentation,6240,180620,7434,66586,260880,0.72,0.28,0.05,0.46,0.63,0.09,0.04,0.08,0.7,0.03,-0.01,0.85,0.3,0.01,
ModifierOrder,3394,183981,4073,69432,260880,0.72,0.28,0.03,0.45,0.63,0.05,0.02,0.04,0.71,0.01,-0.0,0.85,0.19,0.0,
FinalLocalVariable,7678,178794,9260,65148,260880,0.71,0.28,0.06,0.45,0.62,0.11,0.05,0.09,0.69,0.03,-0.01,0.85,0.35,0.01,
InnerAssignment,5554,181362,6692,67272,260880,0.72,0.28,0.05,0.45,0.62,0.08,0.04,0.07,0.7,0.02,-0.01,0.85,0.27,0.0,
NestedIfDepth,10251,175640,12414,62575,260880,0.71,0.28,0.09,0.45,0.62,0.14,0.07,0.12,0.68,0.04,-0.01,0.85,0.43,0.01,
