feature,Pearson
prev_touch_ago_cmp,1.0
same_day_duration_avg_cmp,0.17535949167692172
avg_coupling_code_size_cut_cmp,0.15296311330660975
file_ccp_cmp,0.12041334095080183
DesignForExtension_cmp,0.051997364005312546
MissingCtor_cmp,0.04735519239503566
UncommentedMain_cmp,0.033047632148089465
OuterTypeNumber_cmp,0.02724411665740326
OneTopLevelClass_cmp,0.02724411665740326
FinalClass_cmp,0.023206935240445148
JavadocParagraph_cmp,0.01946561078714432
StringLiteralEquality_cmp,0.019063073488827277
HideUtilityClassConstructor_cmp,0.014809063046846855
LambdaParameterName_cmp,0.01363489279271982
NewlineAtEndOfFile_cmp,0.011995096283695966
PackageName_cmp,0.011673072347017468
AnnotationLocation_cmp,0.011028409757263276
DefaultComesLast_cmp,0.010741915891377712
MissingJavadocPackage_cmp,0.00943112601691372
AbstractClassName_cmp,0.0063212840254778255
FinalParameters_cmp,0.005315185263402816
UpperEll_cmp,0.0043408209814439535
EqualsHashCode_cmp,0.004340530908136389
AvoidStaticImport_cmp,0.003690145594963241
PackageDeclaration_cmp,0.002828624036202264
ParameterName_cmp,0.0027345563051434903
TypecastParenPad_cmp,0.002491221573692983
SummaryJavadoc_cmp,0.002338954347071071
MultipleVariableDeclarations_cmp,0.002009031934018691
MissingOverride_cmp,0.0015758501695659246
RedundantModifier_cmp,0.001490311342806155
MutableException_cmp,9.039100668482648e-05
NoFinalizer_cmp,1.0793443666810438e-05
ImportControl_cmp,-5.602779371443042e-05
MethodParamPad_cmp,-0.00022416812476218264
TypeName_cmp,-0.00038191113168426795
InterfaceMemberImpliedModifier_cmp,-0.001094712270598375
SuperFinalize_cmp,-0.0012862466798082295
EmptyForInitializerPad_cmp,-0.0026013890762898615
FallThrough_cmp,-0.002808322367375329
ArrayTrailingComma_cmp,-0.003156926938387793
IllegalThrows_cmp,-0.004434039732945243
AvoidEscapedUnicodeCharacters_cmp,-0.004894121251380515
RedundantImport_cmp,-0.00522196983646319
JavadocStyle_cmp,-0.005842066791712448
NoClone_cmp,-0.006040210675254765
JavadocType_cmp,-0.006103825760293188
MissingJavadocType_cmp,-0.006807139618020951
JavadocTagContinuationIndentation_cmp,-0.007110229132288133
EmptyStatement_cmp,-0.007128315325904706
InterfaceIsType_cmp,-0.007732031544509654
CustomImportOrder_cmp,-0.008103630849480225
InterfaceTypeParameterName_cmp,-0.008110727885973237
MethodName_cmp,-0.008377530485545
MemberName_cmp,-0.008418927150130113
AnnotationUseStyle_cmp,-0.008545336247479135
random_metric_cmp,-0.008830342575775064
ClassMemberImpliedModifier_cmp,-0.009212432005900276
ThrowsCount_cmp,-0.009818452317115174
SimplifyBooleanReturn_cmp,-0.010256562103786511
