feature,Pearson
CustomImportOrder_cmp,-0.01585647859724483
DefaultComesLast_cmp,-0.016034518877753434
MutableException_cmp,-0.016876911655240485
IllegalToken_cmp,-0.01762774867246338
AtclauseOrder_cmp,-0.018399070440307173
EqualsAvoidNull_cmp,-0.019697316630188633
SeparatorWrap_cmp,-0.026369575181426644
EmptyLineSeparator_cmp,-0.029815910211468736
NoWhitespaceAfter_cmp,-0.03342235278779988
JavadocParagraph_cmp,-0.03494179187891803
OuterTypeFilename_cmp,
NoLineWrap_cmp,
Regexp_cmp,
UnnecessarySemicolonInTryWithResources_cmp,
SuppressWarnings_cmp,
RegexpOnFilename_cmp,
CovariantEquals_cmp,
