Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_avg_coupling_size,cond_mean_diff_avg_coupling_size,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
10,ArrayTypeStyle,172.0,24511.0,408.0,7944.0,33035.0,0.75,0.25,0.02,0.3,0.21,0.02,0.02,0.02,0.75,0.0,-0.01,0.8,0.13,0.0,,20,12843,28,9637,22528,0.57,0.43,0.0,0.42,-0.03,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,,277.8394432875517,82.32808438990634,False,0.03923584630972978,0.09999999999999998,392,44,943,147570,1703,110664,260880,0.57,0.43,0.01,0.36,-0.17,0.01,0.01,0.01,0.57,-0.0,-0.01,0.98,0.08,0.0,,4,81.0,12813.0,100.0,3540.0,16534.0,0.78,0.22,0.01,0.45,1.04,0.02,0.01,0.02,0.77,0.01,-0.0,0.76,0.09,0.0,,23,10.0,5129.0,10.0,3287.0,8436.0,0.61,0.39,0.0,0.5,0.28,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.02,0.0,,7,81.0,6569.0,298.0,1117.0,8065.0,0.82,0.15,0.05,0.21,0.44,0.07,0.04,0.05,0.82,0.01,-0.03,0.61,0.27,0.0,
11,LocalVariableName,367.0,23962.0,957.0,7749.0,33035.0,0.74,0.25,0.04,0.28,0.13,0.05,0.04,0.04,0.73,0.0,-0.02,0.8,0.24,0.0,,72,12780,91,9585,22528,0.57,0.43,0.01,0.44,0.03,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.06,0.0,,207.06244327498004,11.551084377334659,False,0.3365727565228753,0.07999999999999996,1105,90,3695,144421,4852,107912,260880,0.57,0.43,0.03,0.43,0.01,0.03,0.03,0.03,0.57,0.0,-0.01,0.98,0.21,0.0,,14,110.0,12655.0,258.0,3511.0,16534.0,0.77,0.22,0.02,0.3,0.36,0.03,0.02,0.03,0.77,0.0,-0.01,0.76,0.15,0.0,,1,92.0,5136.0,3.0,3205.0,8436.0,0.62,0.39,0.01,0.97,1.48,0.03,0.0,0.03,0.61,0.02,0.02,0.97,0.09,0.01,,16,165.0,6171.0,696.0,1033.0,8065.0,0.79,0.15,0.11,0.19,0.29,0.14,0.1,0.09,0.78,0.01,-0.08,0.61,0.49,0.0,
12,HideUtilityClassConstructor,574.0,23426.0,1493.0,7542.0,33035.0,0.73,0.25,0.06,0.28,0.13,0.07,0.06,0.06,0.72,0.01,-0.04,0.8,0.34,0.0,,22,12848,23,9635,22528,0.57,0.43,0.0,0.49,0.14,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.02,0.0,,207.90788465331062,12.396525755665266,False,0.007796491200354697,0.030000000000000027,1379,44,4240,142548,6725,107367,260880,0.56,0.43,0.04,0.39,-0.1,0.04,0.05,0.04,0.57,-0.01,-0.02,0.98,0.25,0.0,,34,234.0,12182.0,731.0,3387.0,16534.0,0.75,0.22,0.06,0.24,0.11,0.06,0.06,0.05,0.75,0.0,-0.04,0.76,0.32,0.0,,33,271.0,4821.0,318.0,3026.0,8436.0,0.6,0.39,0.07,0.46,0.18,0.08,0.06,0.07,0.59,0.02,-0.01,0.97,0.37,0.0,,98,69.0,6423.0,444.0,1129.0,8065.0,0.8,0.15,0.06,0.13,-0.09,0.06,0.06,0.04,0.81,-0.0,-0.05,0.61,0.34,0.0,
13,MissingCtor,3503.0,15647.0,9272.0,4613.0,33035.0,0.58,0.25,0.39,0.27,0.12,0.43,0.37,0.2,0.56,0.04,-0.23,0.8,0.96,0.0,,177,12585,286,9480,22528,0.57,0.43,0.02,0.38,-0.11,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.14,0.0,,235.65392179196152,40.142562894316136,True,0.07281957616457735,0.030000000000000027,9004,324,13628,137101,12172,97979,260880,0.58,0.43,0.1,0.53,0.23,0.12,0.08,0.11,0.56,0.04,0.01,0.98,0.47,0.0,,28,1624.0,8328.0,4585.0,1997.0,16534.0,0.6,0.22,0.38,0.26,0.19,0.45,0.36,0.2,0.57,0.06,-0.23,0.76,0.95,0.0,,43,1369.0,3312.0,1827.0,1928.0,8436.0,0.55,0.39,0.38,0.43,0.1,0.42,0.36,0.27,0.53,0.05,-0.09,0.97,0.96,0.0,,56,510.0,4007.0,2860.0,688.0,8065.0,0.56,0.15,0.42,0.15,0.02,0.43,0.42,0.13,0.56,0.0,-0.34,0.61,0.98,0.0,
14,InvalidJavadocPosition,235.0,24270.0,649.0,7881.0,33035.0,0.74,0.25,0.03,0.27,0.08,0.03,0.03,0.03,0.74,0.0,-0.02,0.8,0.18,0.0,,60,12780,91,9597,22528,0.57,0.43,0.01,0.4,-0.07,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,,198.51087052971766,2.9995116320723128,False,0.07236980867762867,0.16000000000000006,646,125,826,147634,1639,110781,260880,0.57,0.43,0.01,0.34,-0.22,0.01,0.01,0.01,0.57,-0.0,-0.01,0.98,0.08,0.0,,10,93.0,12748.0,165.0,3528.0,16534.0,0.78,0.22,0.02,0.36,0.65,0.03,0.01,0.02,0.77,0.01,-0.01,0.76,0.12,0.0,,10,32.0,5127.0,12.0,3265.0,8436.0,0.61,0.39,0.01,0.73,0.86,0.01,0.0,0.01,0.61,0.01,0.0,0.97,0.05,0.0,,20,110.0,6395.0,472.0,1088.0,8065.0,0.81,0.15,0.07,0.19,0.27,0.09,0.07,0.07,0.8,0.01,-0.05,0.61,0.37,0.0,
15,RequireThis,12.0,24884.0,35.0,8104.0,33035.0,0.75,0.25,0.0,0.26,0.04,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.02,0.0,,2,12865,6,9655,22528,0.57,0.43,0.0,0.25,-0.42,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,117.89110530895235,-77.62025358869302,False,0.048233006646089316,0.13,48,7,180,149068,205,111427,260880,0.57,0.43,0.0,0.47,0.09,0.0,0.0,0.0,0.57,0.0,-0.0,0.98,0.02,0.0,,111,1.0,12908.0,5.0,3620.0,16534.0,0.78,0.22,0.0,0.17,-0.24,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.0,0.0,,125,0.0,5139.0,0.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.0,0.0,,2,11.0,6837.0,30.0,1187.0,8065.0,0.85,0.15,0.01,0.27,0.81,0.01,0.0,0.01,0.85,0.0,-0.0,0.61,0.05,0.0,
16,MissingJavadocType,3942.0,13224.0,11695.0,4174.0,33035.0,0.52,0.25,0.47,0.25,0.03,0.49,0.47,0.2,0.51,0.01,-0.31,0.8,1.0,0.0,,139,12624,247,9518,22528,0.57,0.43,0.02,0.36,-0.16,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.13,0.0,,200.07507465119457,4.5637157535491895,False,0.34731741106510805,0.030000000000000027,9612,269,6838,142556,6717,104769,260880,0.57,0.43,0.05,0.5,0.18,0.06,0.04,0.06,0.56,0.01,0.0,0.98,0.29,0.0,,56,1719.0,6821.0,6092.0,1902.0,16534.0,0.52,0.22,0.47,0.22,0.0,0.47,0.47,0.18,0.52,0.0,-0.34,0.76,1.0,0.0,,50,1722.0,2531.0,2608.0,1575.0,8436.0,0.5,0.39,0.51,0.4,0.02,0.52,0.51,0.29,0.5,0.01,-0.17,0.97,1.0,0.0,,87,501.0,3872.0,2995.0,697.0,8065.0,0.54,0.15,0.43,0.14,-0.04,0.42,0.44,0.12,0.55,-0.01,-0.36,0.61,0.99,0.0,
17,DesignForExtension,5370.0,8775.0,16144.0,2746.0,33035.0,0.43,0.25,0.65,0.25,0.02,0.66,0.65,0.22,0.42,0.01,-0.43,0.8,0.93,0.0,,549,12050,821,9108,22528,0.56,0.43,0.06,0.4,-0.07,0.06,0.06,0.05,0.56,-0.01,-0.02,0.99,0.33,0.0,,209.9920046811434,14.480645783498035,True,0.22003924989396173,0.020000000000000014,14737,229,15005,134562,14711,96602,260880,0.57,0.43,0.11,0.5,0.18,0.13,0.1,0.12,0.56,0.03,0.0,0.98,0.51,0.0,,43,2685.0,4140.0,8773.0,936.0,16534.0,0.41,0.22,0.69,0.23,0.07,0.74,0.68,0.22,0.39,0.05,-0.47,0.76,0.89,0.0,,57,1765.0,2327.0,2812.0,1532.0,8436.0,0.49,0.39,0.54,0.39,-0.01,0.54,0.55,0.29,0.49,-0.01,-0.2,0.97,0.99,0.0,,34,920.0,2308.0,4559.0,278.0,8065.0,0.4,0.15,0.68,0.17,0.13,0.77,0.66,0.16,0.37,0.07,-0.53,0.61,0.91,0.0,
18,MissingJavadocPackage,1.0,24916.0,3.0,8115.0,33035.0,0.75,0.25,0.0,0.25,0.02,0.0,0.0,0.0,0.75,0.0,-0.0,0.8,0.0,0.0,,0,12871,0,9657,22528,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,149.25,-46.26135889764538,False,-0.003168739943070995,0.0,2,0,36,149161,112,111571,260880,0.57,0.43,0.0,0.24,-0.43,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.01,0.0,,148,0.0,12912.0,1.0,3621.0,16534.0,0.78,0.22,0.0,0.0,-1.0,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.0,0.0,,85,1.0,5137.0,2.0,3296.0,8436.0,0.61,0.39,0.0,0.33,-0.15,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.0,0.0,,147,0.0,6867.0,0.0,1198.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.61,0.0,0.0,
19,JavadocPackage,1339.0,20907.0,4012.0,6777.0,33035.0,0.67,0.25,0.16,0.25,0.02,0.16,0.16,0.11,0.67,0.0,-0.11,0.8,0.64,0.0,,100,12689,182,9557,22528,0.57,0.43,0.01,0.35,-0.17,0.01,0.01,0.01,0.57,-0.0,-0.01,0.99,0.1,0.0,,196.39008039012256,0.8787214924771831,True,-0.027666017782257742,0.07999999999999996,3195,288,7966,137416,11857,103641,260880,0.56,0.43,0.08,0.4,-0.06,0.07,0.08,0.06,0.56,-0.01,-0.03,0.98,0.39,0.0,,68,589.0,10748.0,2165.0,3032.0,16534.0,0.69,0.22,0.17,0.21,-0.02,0.16,0.17,0.1,0.69,-0.0,-0.12,0.76,0.65,0.0,,74,589.0,4061.0,1078.0,2708.0,8436.0,0.55,0.39,0.2,0.35,-0.1,0.18,0.21,0.13,0.57,-0.03,-0.1,0.97,0.72,0.0,,28,161.0,6098.0,769.0,1037.0,8065.0,0.78,0.15,0.12,0.17,0.17,0.13,0.11,0.08,0.77,0.01,-0.09,0.61,0.52,0.0,
