Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_avg_coupling_size,cond_mean_diff_avg_coupling_size,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
20,ImportControl,8111.0,11.0,24908.0,5.0,33035.0,0.25,0.25,1.0,0.25,-0.0,1.0,1.0,0.25,0.25,-0.0,-0.67,0.8,0.01,0.0,,0,12871,0,9657,22528,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,195.46825843564068,-0.043100462004673545,False,0.003363275860675513,0.0,22046,0,135,149223,50,111472,260880,0.57,0.43,0.0,0.73,0.71,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.01,0.0,,58,3618.0,5.0,12908.0,3.0,16534.0,0.22,0.22,1.0,0.22,-0.0,1.0,1.0,0.22,0.22,-0.0,-0.72,0.76,0.01,0.0,,54,3296.0,3.0,5136.0,1.0,8436.0,0.39,0.39,1.0,0.39,0.0,1.0,1.0,0.39,0.39,0.0,-0.36,0.97,0.01,0.0,,73,1197.0,3.0,6864.0,1.0,8065.0,0.15,0.15,1.0,0.15,-0.0,1.0,1.0,0.15,0.15,-0.0,-0.83,0.61,0.01,0.0,
21,WriteTag,4431.0,11234.0,13685.0,3685.0,33035.0,0.47,0.25,0.55,0.24,-0.0,0.55,0.55,0.2,0.48,-0.0,-0.37,0.8,0.99,0.0,,215,12524,347,9442,22528,0.57,0.43,0.02,0.38,-0.11,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.17,0.0,,195.61737039042282,0.10601149277741227,False,0.3292940083179429,0.020000000000000014,11441,290,5322,141666,7607,106285,260880,0.56,0.43,0.05,0.41,-0.04,0.05,0.05,0.04,0.57,-0.0,-0.02,0.98,0.28,0.0,,67,1890.0,5961.0,6952.0,1731.0,16534.0,0.47,0.22,0.53,0.21,-0.02,0.52,0.54,0.18,0.48,-0.01,-0.39,0.76,1.0,0.0,,47,1868.0,2414.0,2725.0,1429.0,8436.0,0.51,0.39,0.54,0.41,0.04,0.57,0.53,0.31,0.49,0.04,-0.17,0.97,0.99,0.0,,81,673.0,2859.0,4008.0,525.0,8065.0,0.44,0.15,0.58,0.14,-0.03,0.56,0.58,0.13,0.44,-0.01,-0.49,0.61,0.98,0.0,
22,MissingJavadocMethod,5690.0,7231.0,17688.0,2426.0,33035.0,0.39,0.25,0.71,0.24,-0.01,0.7,0.71,0.22,0.39,-0.01,-0.48,0.8,0.87,0.0,,639,11929,942,9018,22528,0.56,0.43,0.07,0.4,-0.06,0.07,0.07,0.06,0.56,-0.01,-0.02,0.99,0.37,0.0,,199.42827082884983,3.916911931204481,False,0.7103871201738242,0.020000000000000014,15748,304,21856,126635,22638,89751,260880,0.57,0.43,0.17,0.49,0.15,0.2,0.15,0.16,0.55,0.04,-0.01,0.98,0.66,0.0,,51,2591.0,3758.0,9155.0,1030.0,16534.0,0.38,0.22,0.71,0.22,0.01,0.72,0.71,0.2,0.38,0.01,-0.51,0.76,0.87,0.0,,58,2090.0,1692.0,3447.0,1207.0,8436.0,0.45,0.39,0.66,0.38,-0.03,0.63,0.67,0.31,0.47,-0.04,-0.26,0.97,0.93,0.0,,36,1009.0,1781.0,5086.0,189.0,8065.0,0.35,0.15,0.76,0.17,0.11,0.84,0.74,0.16,0.32,0.08,-0.59,0.61,0.8,0.01,
23,CatchParameterName,293.0,24012.0,907.0,7823.0,33035.0,0.74,0.25,0.04,0.24,-0.01,0.04,0.04,0.03,0.74,-0.0,-0.02,0.8,0.23,0.0,,45,12802,69,9612,22528,0.57,0.43,0.01,0.39,-0.08,0.0,0.01,0.0,0.57,-0.0,-0.0,0.99,0.05,0.0,,199.14264242622914,3.6312835285837366,False,0.16560410270862422,0.06999999999999995,917,70,1820,147188,2085,109787,260880,0.57,0.43,0.01,0.47,0.09,0.02,0.01,0.02,0.57,0.0,-0.0,0.98,0.11,0.0,,11,113.0,12686.0,227.0,3508.0,16534.0,0.77,0.22,0.02,0.33,0.52,0.03,0.02,0.03,0.77,0.01,-0.01,0.76,0.14,0.0,,4,62.0,5125.0,14.0,3235.0,8436.0,0.61,0.39,0.01,0.82,1.09,0.02,0.0,0.02,0.61,0.01,0.01,0.97,0.07,0.0,,60,118.0,6201.0,666.0,1080.0,8065.0,0.78,0.15,0.1,0.15,0.01,0.1,0.1,0.06,0.78,0.0,-0.08,0.61,0.46,0.0,
24,NoWhitespaceAfter,451.0,23514.0,1405.0,7665.0,33035.0,0.73,0.25,0.06,0.24,-0.01,0.06,0.06,0.05,0.73,-0.0,-0.04,0.8,0.31,0.0,,113,12748,123,9544,22528,0.57,0.43,0.01,0.48,0.12,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.08,0.0,,237.50356398065296,41.992205083007605,False,0.30838732209943065,0.09999999999999998,1342,150,3933,143559,5714,107674,260880,0.57,0.43,0.04,0.41,-0.05,0.04,0.04,0.03,0.57,-0.0,-0.01,0.98,0.23,0.0,,16,199.0,12440.0,473.0,3422.0,16534.0,0.76,0.22,0.04,0.3,0.35,0.05,0.04,0.05,0.76,0.01,-0.02,0.76,0.25,0.0,,18,41.0,5104.0,35.0,3256.0,8436.0,0.61,0.39,0.01,0.54,0.38,0.01,0.01,0.01,0.61,0.0,0.0,0.97,0.07,0.0,,19,211.0,5970.0,897.0,987.0,8065.0,0.77,0.15,0.14,0.19,0.28,0.18,0.13,0.1,0.75,0.02,-0.1,0.61,0.58,0.0,
25,ConstantName,1226.0,20978.0,3941.0,6890.0,33035.0,0.67,0.25,0.16,0.24,-0.03,0.15,0.16,0.1,0.67,-0.0,-0.11,0.8,0.63,0.0,,87,12708,163,9570,22528,0.57,0.43,0.01,0.35,-0.19,0.01,0.01,0.01,0.57,-0.0,-0.01,0.99,0.09,0.0,,176.84370224288102,-18.667656654764386,False,0.31412025189219456,0.040000000000000036,3571,155,4735,142900,6373,106872,260880,0.57,0.43,0.04,0.43,-0.0,0.04,0.04,0.04,0.57,-0.0,-0.01,0.98,0.25,0.0,,24,678.0,11074.0,1839.0,2943.0,16534.0,0.71,0.22,0.15,0.27,0.23,0.19,0.14,0.12,0.7,0.02,-0.09,0.76,0.62,0.0,,34,147.0,4967.0,172.0,3150.0,8436.0,0.61,0.39,0.04,0.46,0.18,0.04,0.03,0.04,0.6,0.01,-0.0,0.97,0.23,0.0,,30,401.0,4937.0,1930.0,797.0,8065.0,0.66,0.15,0.29,0.17,0.16,0.33,0.28,0.13,0.65,0.02,-0.22,0.61,0.87,0.0,
26,FinalParameters,6479.0,4210.0,20709.0,1637.0,33035.0,0.32,0.25,0.82,0.24,-0.03,0.8,0.83,0.22,0.34,-0.04,-0.57,0.8,0.67,0.0,,728,11834,1037,8929,22528,0.56,0.43,0.08,0.41,-0.04,0.08,0.08,0.07,0.56,-0.0,-0.02,0.99,0.4,0.0,,192.949204096267,-2.562154801378369,False,0.8195777064038515,0.010000000000000007,18463,99,5839,142057,7216,105768,260880,0.57,0.43,0.05,0.45,0.05,0.05,0.05,0.05,0.56,0.0,-0.01,0.98,0.29,0.0,,53,3133.0,1897.0,11016.0,488.0,16534.0,0.3,0.22,0.86,0.22,0.01,0.87,0.85,0.21,0.3,0.01,-0.61,0.76,0.6,0.0,,56,2220.0,1696.0,3443.0,1077.0,8436.0,0.46,0.39,0.67,0.39,0.0,0.67,0.67,0.33,0.46,0.0,-0.24,0.97,0.91,0.0,,54,1126.0,617.0,6250.0,72.0,8065.0,0.22,0.15,0.91,0.15,0.03,0.94,0.91,0.15,0.21,0.04,-0.75,0.61,0.42,0.0,
27,InterfaceMemberImpliedModifier,741.0,22553.0,2366.0,7375.0,33035.0,0.71,0.25,0.09,0.24,-0.03,0.09,0.09,0.07,0.71,-0.0,-0.07,0.8,0.45,0.0,,54,12753,118,9603,22528,0.57,0.43,0.01,0.31,-0.27,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,,198.2865973608565,2.7752384632111387,False,0.3380423122842905,0.040000000000000036,2128,82,2875,144695,4578,108732,260880,0.57,0.43,0.03,0.39,-0.1,0.03,0.03,0.02,0.57,-0.0,-0.01,0.98,0.19,0.0,,55,230.0,12092.0,821.0,3391.0,16534.0,0.75,0.22,0.06,0.22,-0.0,0.06,0.06,0.05,0.75,-0.0,-0.05,0.76,0.34,0.0,,78,419.0,4325.0,814.0,2878.0,8436.0,0.56,0.39,0.15,0.34,-0.13,0.13,0.16,0.1,0.58,-0.03,-0.08,0.97,0.6,0.0,,118,92.0,6136.0,731.0,1106.0,8065.0,0.77,0.15,0.1,0.11,-0.25,0.08,0.11,0.05,0.78,-0.01,-0.09,0.61,0.48,0.0,
28,LineLength,7350.0,1066.0,23853.0,766.0,33035.0,0.25,0.25,0.94,0.24,-0.04,0.91,0.96,0.23,0.27,-0.07,-0.66,0.8,0.31,0.01,,1207,11382,1489,8450,22528,0.56,0.43,0.12,0.45,0.04,0.12,0.12,0.11,0.55,0.01,-0.02,0.99,0.53,0.0,,188.61595972275208,-6.895399174893272,False,0.8469621108431062,0.0,21151,36,2710,125142,24131,108897,260880,0.49,0.43,0.1,0.1,-0.76,0.02,0.16,0.02,0.56,-0.12,-0.14,0.98,0.48,0.04,,64,3505.0,201.0,12712.0,116.0,16534.0,0.22,0.22,0.98,0.22,-0.01,0.97,0.98,0.21,0.23,-0.02,-0.71,0.76,0.14,0.0,,61,2652.0,825.0,4314.0,645.0,8436.0,0.41,0.39,0.83,0.38,-0.03,0.8,0.84,0.35,0.43,-0.04,-0.32,0.97,0.67,0.0,,69,1193.0,40.0,6827.0,5.0,8065.0,0.15,0.15,0.99,0.15,0.0,1.0,0.99,0.15,0.15,0.0,-0.82,0.61,0.05,0.0,
29,JavadocTagContinuationIndentation,344.0,23795.0,1124.0,7772.0,33035.0,0.73,0.25,0.04,0.23,-0.05,0.04,0.05,0.04,0.73,-0.0,-0.03,0.8,0.26,0.0,,73,12792,79,9584,22528,0.57,0.43,0.01,0.48,0.12,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.06,0.0,,255.97725575746952,60.46589685982414,False,0.10453554383611106,0.09999999999999998,983,106,1441,147269,2004,110166,260880,0.57,0.43,0.01,0.42,-0.02,0.01,0.01,0.01,0.57,-0.0,-0.0,0.98,0.1,0.0,,22,141.0,12543.0,370.0,3480.0,16534.0,0.77,0.22,0.03,0.28,0.26,0.04,0.03,0.04,0.76,0.0,-0.02,0.76,0.2,0.0,,32,26.0,5109.0,30.0,3271.0,8436.0,0.61,0.39,0.01,0.46,0.19,0.01,0.01,0.01,0.61,0.0,-0.0,0.97,0.06,0.0,,14,177.0,6143.0,724.0,1021.0,8065.0,0.78,0.15,0.11,0.2,0.32,0.15,0.11,0.09,0.77,0.01,-0.08,0.61,0.51,0.0,
30,FileTabCharacter,1903.0,18691.0,6228.0,6213.0,33035.0,0.62,0.25,0.25,0.23,-0.05,0.23,0.25,0.13,0.63,-0.01,-0.17,0.8,0.81,0.0,,291,12646,225,9366,22528,0.57,0.43,0.02,0.56,0.32,0.03,0.02,0.03,0.57,0.01,0.01,0.99,0.16,0.0,,282.8255242057473,87.31416530810196,False,0.035991950926579176,0.07999999999999996,4879,449,629,147930,1343,110978,260880,0.57,0.43,0.01,0.32,-0.25,0.01,0.01,0.01,0.57,-0.0,-0.0,0.98,0.06,0.0,,95,762.0,9636.0,3277.0,2859.0,16534.0,0.63,0.22,0.24,0.19,-0.14,0.21,0.25,0.11,0.64,-0.02,-0.19,0.76,0.8,0.0,,67,667.0,3988.0,1151.0,2630.0,8436.0,0.55,0.39,0.22,0.37,-0.06,0.2,0.22,0.15,0.56,-0.02,-0.09,0.97,0.75,0.0,,8,474.0,5067.0,1800.0,724.0,8065.0,0.69,0.15,0.28,0.21,0.4,0.4,0.26,0.16,0.65,0.05,-0.19,0.61,0.86,0.01,
31,Indentation,3961.0,11797.0,13122.0,4155.0,33035.0,0.48,0.25,0.52,0.23,-0.06,0.49,0.53,0.19,0.49,-0.03,-0.37,0.8,1.0,0.0,,775,12022,849,8882,22528,0.57,0.43,0.07,0.48,0.11,0.08,0.07,0.07,0.56,0.01,-0.01,0.99,0.37,0.0,,214.96556789487641,19.454208997231035,False,0.8727437772372528,0.040000000000000036,10655,455,6314,141913,7360,105293,260880,0.57,0.43,0.05,0.46,0.08,0.06,0.05,0.05,0.56,0.01,-0.01,0.98,0.3,0.0,,61,1764.0,6511.0,6402.0,1857.0,16534.0,0.5,0.22,0.49,0.22,-0.01,0.49,0.5,0.18,0.5,-0.01,-0.36,0.76,1.0,0.0,,55,1387.0,2974.0,2165.0,1910.0,8436.0,0.52,0.39,0.42,0.39,-0.0,0.42,0.42,0.25,0.52,-0.0,-0.15,0.97,0.98,0.0,,59,810.0,2312.0,4555.0,388.0,8065.0,0.39,0.15,0.67,0.15,0.02,0.68,0.66,0.14,0.38,0.01,-0.55,0.61,0.92,0.0,
32,SummaryJavadoc,2868.0,15329.0,9590.0,5248.0,33035.0,0.55,0.25,0.38,0.23,-0.06,0.35,0.38,0.16,0.56,-0.02,-0.27,0.8,0.96,0.0,,317,12488,383,9340,22528,0.57,0.43,0.03,0.45,0.06,0.03,0.03,0.03,0.57,0.0,-0.01,0.99,0.2,0.0,,186.9234944386531,-8.587864458992271,False,0.6216150369114319,0.020000000000000014,9143,226,5986,137223,12050,105621,260880,0.55,0.43,0.07,0.33,-0.22,0.05,0.08,0.05,0.56,-0.02,-0.04,0.98,0.36,0.0,,42,1366.0,8473.0,4440.0,2255.0,16534.0,0.6,0.22,0.35,0.24,0.07,0.38,0.34,0.17,0.58,0.02,-0.24,0.76,0.94,0.0,,77,708.0,3813.0,1326.0,2589.0,8436.0,0.54,0.39,0.24,0.35,-0.11,0.21,0.26,0.15,0.56,-0.04,-0.12,0.97,0.8,0.0,,31,794.0,3043.0,3824.0,404.0,8065.0,0.48,0.15,0.57,0.17,0.16,0.66,0.56,0.16,0.45,0.06,-0.44,0.61,0.98,0.0,
33,JavadocVariable,6100.0,4488.0,20431.0,2016.0,33035.0,0.32,0.25,0.8,0.23,-0.06,0.75,0.82,0.21,0.35,-0.07,-0.58,0.8,0.72,0.0,,672,11804,1067,8985,22528,0.55,0.43,0.08,0.39,-0.1,0.07,0.08,0.06,0.56,-0.01,-0.03,0.99,0.39,0.0,,182.37023178536185,-13.141127112283499,False,0.22214572838819288,0.010000000000000007,18195,147,10961,112662,36611,100646,260880,0.47,0.43,0.18,0.23,-0.46,0.1,0.25,0.07,0.55,-0.13,-0.17,0.98,0.69,0.03,,60,3073.0,1874.0,11039.0,548.0,16534.0,0.3,0.22,0.85,0.22,-0.01,0.85,0.85,0.21,0.3,-0.01,-0.62,0.76,0.6,0.0,,62,1875.0,2010.0,3129.0,1422.0,8436.0,0.46,0.39,0.59,0.37,-0.04,0.57,0.61,0.29,0.48,-0.04,-0.24,0.97,0.97,0.0,,51,1152.0,604.0,6263.0,46.0,8065.0,0.22,0.15,0.92,0.16,0.05,0.96,0.91,0.15,0.21,0.06,-0.74,0.61,0.4,0.0,
34,AnnotationOnSameLine,5911.0,4971.0,19948.0,2205.0,33035.0,0.33,0.25,0.78,0.23,-0.07,0.73,0.8,0.21,0.36,-0.08,-0.56,0.8,0.76,0.0,,848,11874,997,8809,22528,0.56,0.43,0.08,0.46,0.07,0.09,0.08,0.08,0.56,0.01,-0.01,0.99,0.41,0.0,,187.11704248236583,-8.394316415279548,False,0.7714119782226878,0.010000000000000007,18082,109,20428,128090,21183,91179,260880,0.57,0.43,0.16,0.49,0.15,0.18,0.14,0.15,0.55,0.04,-0.01,0.98,0.63,0.0,,66,2859.0,2406.0,10507.0,762.0,16534.0,0.32,0.22,0.81,0.21,-0.02,0.79,0.81,0.2,0.33,-0.03,-0.59,0.76,0.7,0.0,,66,2000.0,1735.0,3404.0,1297.0,8436.0,0.44,0.39,0.64,0.37,-0.05,0.61,0.66,0.3,0.47,-0.06,-0.27,0.97,0.94,0.0,,71,1052.0,830.0,6037.0,146.0,8065.0,0.23,0.15,0.88,0.15,-0.0,0.88,0.88,0.15,0.23,-0.0,-0.73,0.61,0.53,0.0,
35,RedundantImport,29.0,24821.0,98.0,8087.0,33035.0,0.75,0.25,0.0,0.23,-0.07,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.04,0.0,,8,12856,15,9649,22528,0.57,0.43,0.0,0.35,-0.19,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,,184.06817600519986,-11.443182892445547,False,0.0060874251963769005,0.08999999999999997,247,23,232,148919,354,111375,260880,0.57,0.43,0.0,0.4,-0.07,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.02,0.0,,114,11.0,12855.0,58.0,3610.0,16534.0,0.78,0.22,0.0,0.16,-0.27,0.0,0.0,0.0,0.78,-0.0,-0.0,0.76,0.04,0.0,,64,6.0,5129.0,10.0,3291.0,8436.0,0.61,0.39,0.0,0.38,-0.04,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.02,0.0,,1,12.0,6837.0,30.0,1186.0,8065.0,0.85,0.15,0.01,0.29,0.92,0.01,0.0,0.01,0.85,0.0,-0.0,0.61,0.05,0.0,
36,ClassTypeParameterName,26.0,24831.0,88.0,8090.0,33035.0,0.75,0.25,0.0,0.23,-0.07,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.03,0.0,,0,12867,4,9657,22528,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,250.55774783074924,55.046388933103856,False,0.018854944385801143,0.020000000000000014,94,2,83,149121,152,111524,260880,0.57,0.43,0.0,0.35,-0.17,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.01,0.0,,52,13.0,12867.0,46.0,3608.0,16534.0,0.78,0.22,0.0,0.22,0.01,0.0,0.0,0.0,0.78,0.0,-0.0,0.76,0.03,0.0,,24,5.0,5134.0,5.0,3292.0,8436.0,0.61,0.39,0.0,0.5,0.28,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.01,0.0,,25,8.0,6830.0,37.0,1190.0,8065.0,0.85,0.15,0.01,0.18,0.2,0.01,0.01,0.01,0.85,0.0,-0.0,0.61,0.05,0.0,
37,NonEmptyAtclauseDescription,669.0,22659.0,2260.0,7447.0,33035.0,0.71,0.25,0.09,0.23,-0.07,0.08,0.09,0.06,0.71,-0.0,-0.06,0.8,0.43,0.0,,138,12725,146,9519,22528,0.57,0.43,0.01,0.49,0.13,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.1,0.0,,186.81443888151162,-8.69692001613376,False,0.08240482693938697,0.06000000000000005,2531,162,5713,142567,6706,105894,260880,0.57,0.43,0.05,0.46,0.08,0.05,0.04,0.05,0.57,0.01,-0.01,0.98,0.28,0.0,,21,304.0,12126.0,787.0,3317.0,16534.0,0.75,0.22,0.07,0.28,0.27,0.08,0.06,0.07,0.74,0.01,-0.04,0.76,0.35,0.0,,20,89.0,5062.0,77.0,3208.0,8436.0,0.61,0.39,0.02,0.54,0.37,0.03,0.01,0.03,0.6,0.01,0.0,0.97,0.14,0.0,,38,276.0,5471.0,1396.0,922.0,8065.0,0.71,0.15,0.21,0.17,0.11,0.23,0.2,0.11,0.71,0.01,-0.16,0.61,0.74,0.0,
38,JavadocStyle,2093.0,17881.0,7038.0,6023.0,33035.0,0.6,0.25,0.28,0.23,-0.07,0.26,0.28,0.14,0.61,-0.01,-0.2,0.8,0.85,0.0,,231,12573,298,9426,22528,0.57,0.43,0.02,0.44,0.02,0.02,0.02,0.02,0.57,0.0,-0.01,0.99,0.16,0.0,,182.84923760665689,-12.662121290988527,False,0.6717958353158313,0.030000000000000027,7008,182,7812,140582,8691,103795,260880,0.57,0.43,0.06,0.47,0.11,0.07,0.06,0.06,0.56,0.01,-0.01,0.98,0.34,0.0,,48,927.0,9749.0,3164.0,2694.0,16534.0,0.65,0.22,0.25,0.23,0.03,0.26,0.25,0.14,0.64,0.01,-0.17,0.76,0.81,0.0,,44,600.0,4320.0,819.0,2697.0,8436.0,0.58,0.39,0.17,0.42,0.08,0.18,0.16,0.15,0.57,0.02,-0.04,0.97,0.65,0.0,,52,566.0,3812.0,3055.0,632.0,8065.0,0.54,0.15,0.45,0.16,0.05,0.47,0.44,0.13,0.54,0.01,-0.36,0.61,0.99,0.0,
39,EmptyLineSeparator,4979.0,7791.0,17128.0,3137.0,33035.0,0.39,0.25,0.67,0.23,-0.08,0.61,0.69,0.2,0.41,-0.07,-0.49,0.8,0.92,0.0,,726,11974,897,8931,22528,0.56,0.43,0.07,0.45,0.04,0.08,0.07,0.07,0.56,0.0,-0.01,0.99,0.37,0.0,,179.64751284054822,-15.863846057097163,False,0.4322770440716645,0.020000000000000014,15414,250,24017,139818,9455,87590,260880,0.63,0.43,0.13,0.72,0.68,0.22,0.06,0.2,0.55,0.13,0.1,0.98,0.55,0.04,,62,2498.0,3856.0,9057.0,1123.0,16534.0,0.38,0.22,0.7,0.22,-0.01,0.69,0.7,0.2,0.39,-0.01,-0.51,0.76,0.88,0.0,,46,1438.0,3081.0,2058.0,1859.0,8436.0,0.54,0.39,0.41,0.41,0.05,0.44,0.4,0.27,0.52,0.03,-0.12,0.97,0.98,0.0,,67,1043.0,854.0,6013.0,155.0,8065.0,0.24,0.15,0.87,0.15,-0.0,0.87,0.88,0.14,0.24,-0.01,-0.72,0.61,0.54,0.0,
40,UpperEll,25.0,24833.0,86.0,8091.0,33035.0,0.75,0.25,0.0,0.23,-0.08,0.0,0.0,0.0,0.75,-0.0,-0.0,0.8,0.03,0.0,,2,12857,14,9655,22528,0.57,0.43,0.0,0.12,-0.71,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,,244.06700717340286,48.555648275757505,False,0.031561128540052004,0.17000000000000004,81,17,142,149130,143,111465,260880,0.57,0.43,0.0,0.5,0.16,0.0,0.0,0.0,0.57,0.0,-0.0,0.98,0.01,0.0,,12,11.0,12889.0,24.0,3610.0,16534.0,0.78,0.22,0.0,0.31,0.44,0.0,0.0,0.0,0.78,0.0,-0.0,0.76,0.02,0.0,,138,0.0,5139.0,0.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.0,0.0,,23,14.0,6805.0,62.0,1184.0,8065.0,0.85,0.15,0.01,0.18,0.24,0.01,0.01,0.01,0.84,0.0,-0.01,0.61,0.08,0.0,
41,AbstractClassName,477.0,23277.0,1642.0,7639.0,33035.0,0.72,0.25,0.06,0.23,-0.08,0.06,0.07,0.05,0.72,-0.0,-0.05,0.8,0.34,0.0,,38,12831,40,9619,22528,0.57,0.43,0.0,0.49,0.14,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,,155.70782994450926,-39.80352895313615,False,0.04251504939169385,0.030000000000000027,1460,39,4935,143490,5783,106672,260880,0.57,0.43,0.04,0.46,0.08,0.04,0.04,0.04,0.57,0.0,-0.01,0.98,0.25,0.0,,54,209.0,12171.0,742.0,3412.0,16534.0,0.75,0.22,0.06,0.22,0.0,0.06,0.06,0.05,0.75,0.0,-0.04,0.76,0.32,0.0,,42,150.0,4941.0,198.0,3147.0,8436.0,0.6,0.39,0.04,0.43,0.1,0.05,0.04,0.04,0.6,0.01,-0.01,0.97,0.25,0.0,,84,118.0,6165.0,702.0,1080.0,8065.0,0.78,0.15,0.1,0.14,-0.03,0.1,0.1,0.06,0.78,-0.0,-0.09,0.61,0.47,0.0,
42,MultipleVariableDeclarations,257.0,24022.0,897.0,7859.0,33035.0,0.73,0.25,0.03,0.22,-0.09,0.03,0.04,0.03,0.74,-0.0,-0.03,0.8,0.22,0.0,,54,12811,60,9603,22528,0.57,0.43,0.01,0.47,0.11,0.01,0.0,0.01,0.57,0.0,-0.0,0.99,0.05,0.0,,165.38097406220868,-30.130384835436697,False,0.09511458873994967,0.07999999999999996,821,70,4889,144355,4918,106718,260880,0.57,0.43,0.04,0.5,0.17,0.04,0.03,0.04,0.57,0.01,-0.0,0.98,0.23,0.0,,17,107.0,12644.0,269.0,3514.0,16534.0,0.77,0.22,0.02,0.28,0.3,0.03,0.02,0.03,0.77,0.0,-0.01,0.76,0.16,0.0,,82,4.0,5131.0,8.0,3293.0,8436.0,0.61,0.39,0.0,0.33,-0.15,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.02,0.0,,18,146.0,6247.0,620.0,1052.0,8065.0,0.79,0.15,0.09,0.19,0.28,0.12,0.09,0.08,0.78,0.01,-0.07,0.61,0.45,0.0,
