,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
2,OverloadMethodsDeclarationOrder,148,10707,172,11027,22054,0.49,0.51,0.01,0.46,-0.09,0.01,0.02,0.01,0.49,-0.0,-0.03,
105,FallThrough,10,10867,12,11165,22054,0.49,0.51,0.0,0.45,-0.1,0.0,0.0,0.0,0.49,-0.0,-0.03,
98,PackageDeclaration,5,10873,6,11170,22054,0.49,0.51,0.0,0.45,-0.1,0.0,0.0,0.0,0.49,-0.0,-0.03,
41,ParenPad,249,10584,295,10926,22054,0.49,0.51,0.02,0.46,-0.1,0.02,0.03,0.02,0.49,-0.0,-0.03,
134,FinalClass,43,10827,52,11132,22054,0.49,0.51,0.0,0.45,-0.11,0.0,0.0,0.0,0.49,-0.0,-0.03,
10,BooleanExpressionComplexity,60,10804,75,11115,22054,0.49,0.51,0.01,0.44,-0.12,0.01,0.01,0.01,0.49,-0.0,-0.03,
49,CatchParameterName,50,10815,64,11125,22054,0.49,0.51,0.01,0.44,-0.13,0.0,0.01,0.0,0.49,-0.0,-0.03,
137,EqualsAvoidNull,96,10757,122,11079,22054,0.49,0.51,0.01,0.44,-0.13,0.01,0.01,0.01,0.49,-0.0,-0.03,
35,NonEmptyAtclauseDescription,125,10721,158,11050,22054,0.49,0.51,0.01,0.44,-0.13,0.01,0.01,0.01,0.49,-0.0,-0.03,
16,SingleLineJavadoc,11,10865,14,11164,22054,0.49,0.51,0.0,0.44,-0.13,0.0,0.0,0.0,0.49,-0.0,-0.03,
50,NestedTryDepth,21,10852,27,11154,22054,0.49,0.51,0.0,0.44,-0.14,0.0,0.0,0.0,0.49,-0.0,-0.03,
77,AvoidStarImport,181,10642,237,10994,22054,0.49,0.51,0.02,0.43,-0.15,0.02,0.02,0.02,0.49,-0.01,-0.03,
