feature,monotonicity
AbstractClassName,True
AnnotationOnSameLine,True
AnnotationUseStyle,True
CustomImportOrder,True
EqualsHashCode,True
IllegalImport,True
ImportControl,True
MissingJavadocType,True
NewlineAtEndOfFile,True
PackageDeclaration,True
PackageName,True
RedundantImport,True
RegexpOnFilename,True
SuppressWarnings,True
any-Annotation,True
any-Header,True
any-Import,True
any-JavaDoc Comments,True
avg_coupling_code_size_cut,True
prev_touch_ago,True
random_metric,True
AbbreviationAsWordInName,False
AnnotationLocation,False
AnonInnerLength,False
ArrayTrailingComma,False
ArrayTypeStyle,False
AtclauseOrder,False
AvoidEscapedUnicodeCharacters,False
AvoidInlineConditionals,False
AvoidNestedBlocks,False
AvoidStarImport,False
AvoidStaticImport,False
BooleanExpressionComplexity,False
CatchParameterName,False
ClassDataAbstractionCoupling,False
ClassFanOutComplexity,False
ClassMemberImpliedModifier,False
ClassTypeParameterName,False
CommentsIndentation,False
ConstantName,False
CovariantEquals,False
CyclomaticComplexity,False
DeclarationOrder,False
DefaultComesLast,False
DesignForExtension,False
EmptyBlock,False
EmptyCatchBlock,False
EmptyForInitializerPad,False
EmptyForIteratorPad,False
EmptyLineSeparator,False
EmptyStatement,False
EqualsAvoidNull,False
ExecutableStatementCount,False
ExplicitInitialization,False
FallThrough,False
FileLength,False
FileTabCharacter,False
FinalClass,False
FinalLocalVariable,False
FinalParameters,False
GenericWhitespace,False
HiddenField,False
HideUtilityClassConstructor,False
IllegalCatch,False
IllegalThrows,False
IllegalToken,False
IllegalType,False
ImportOrder,False
Indentation,False
InnerAssignment,False
InnerTypeLast,False
InterfaceIsType,False
InterfaceMemberImpliedModifier,False
InterfaceTypeParameterName,False
InvalidJavadocPosition,False
JavaNCSS,False
JavadocMethod,False
JavadocPackage,False
JavadocParagraph,False
JavadocStyle,False
JavadocTagContinuationIndentation,False
JavadocType,False
JavadocVariable,False
LambdaParameterName,False
LeftCurly,False
LineLength,False
LocalFinalVariableName,False
LocalVariableName,False
MagicNumber,False
MemberName,False
MethodCount,False
MethodLength,False
MethodName,False
MethodParamPad,False
MethodTypeParameterName,False
MissingCtor,False
MissingDeprecated,False
MissingJavadocMethod,False
MissingJavadocPackage,False
MissingOverride,False
MissingSwitchDefault,False
ModifiedControlVariable,False
ModifierOrder,False
MultipleStringLiterals,False
MultipleVariableDeclarations,False
MutableException,False
NPathComplexity,False
NeedBraces,False
NestedForDepth,False
NestedIfDepth,False
NestedTryDepth,False
NoClone,False
NoFinalizer,False
NoLineWrap,False
NoWhitespaceAfter,False
NoWhitespaceBefore,False
NonEmptyAtclauseDescription,False
OneStatementPerLine,False
OneTopLevelClass,False
OperatorWrap,False
OuterTypeFilename,False
OuterTypeNumber,False
OverloadMethodsDeclarationOrder,False
ParameterAssignment,False
ParameterName,False
ParameterNumber,False
ParenPad,False
RedundantModifier,False
Regexp,False
RequireThis,False
ReturnCount,False
RightCurly,False
SeparatorWrap,False
SimplifyBooleanExpression,False
SimplifyBooleanReturn,False
SingleLineJavadoc,False
SingleSpaceSeparator,False
StaticVariableName,False
StringLiteralEquality,False
SummaryJavadoc,False
SuperClone,False
SuperFinalize,False
ThrowsCount,False
TodoComment,False
TrailingComment,False
TypeName,False
TypecastParenPad,False
UncommentedMain,False
UnnecessaryParentheses,False
UnnecessarySemicolonInEnumeration,False
UnnecessarySemicolonInTryWithResources,False
UnusedImports,False
UpperEll,False
VariableDeclarationUsageDistance,False
VisibilityModifier,False
WhitespaceAfter,False
WhitespaceAround,False
WriteTag,False
any-Block,False
any-Class Design,False
any-Coding,False
any-Illegal,False
any-Metrics,False
any-Misc,False
any-Modifier,False
any-Naming Conventions,False
any-Regexp,False
any-Size Violation,False
any-Unnecessary,False
any-Whitespace,False
same_day_duration_avg,False
