feature,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP,cochange_Unnamed: 0,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_comment,monotonicity,Unnamed: 0,line_pearson,removal_probability,true_positives,false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_comment,control_medium_Pearson,control_medium_positive_corrective_rate_avg,control_medium_positive_corrective_rate_std,control_medium_positive_files_num,control_medium_negative_corrective_rate_avg,control_medium_negative_corrective_rate_std,control_medium_negative_files_num,control_medium_accuracy,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_Jaccard,control_medium_prob_in_reduced_risk,control_medium_lift_in_reduced_risk,control_medium_CCP,control_short_Pearson,control_short_positive_corrective_rate_avg,control_short_positive_corrective_rate_std,control_short_positive_files_num,control_short_negative_corrective_rate_avg,control_short_negative_corrective_rate_std,control_short_negative_files_num,control_short_accuracy,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_Jaccard,control_short_prob_in_reduced_risk,control_short_lift_in_reduced_risk,control_short_CCP,control_long_Pearson,control_long_positive_corrective_rate_avg,control_long_positive_corrective_rate_std,control_long_positive_files_num,control_long_negative_corrective_rate_avg,control_long_negative_corrective_rate_std,control_long_negative_files_num,control_long_accuracy,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_Jaccard,control_long_prob_in_reduced_risk,control_long_lift_in_reduced_risk,control_long_CCP
MissingJavadocPackage,0.02,0.34,0.2487003253955488,6.0,0.15980011232064695,0.14613674627920134,31681.0,0.9,0.0,0.33,2.36,0.0,0.0,0.0,,0.37,26,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,,True,136,-0.003168739943070995,0.0,2,0,138,147140,10,92426,239714,0.61,0.39,0.0,0.93,1.41,0.0,0.0,0.0,0.61,0.0,0.0,,0.01,0.3,,1.0,0.15841436879268248,0.1472524956201296,15806.0,0.9,0.0,0.0,-1.0,0.0,0.0,0.0,,0.32,0.05,0.35,0.2772383651501197,5.0,0.12306792144286315,0.12365709912860462,7963.0,0.95,0.0,0.4,7.85,0.01,0.01,0.0,,0.39,,,,,0.19953740986400087,0.15449954887173226,7912.0,0.85,0.0,0.0,-1.0,0.0,0.0,0.0,,
Regexp,0.01,0.25,0.2261573006905755,3.0,0.15982566511747046,0.14617042663017568,31684.0,0.9,0.0,0.33,2.36,0.0,0.0,0.0,,0.26,84,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,,True,0,-0.00511864737356087,0.0,2,0,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,,,,,,0.15842332594022518,0.14725214371987114,15807.0,0.9,0.0,0.0,-1.0,0.0,0.0,0.0,,,0.02,0.25,0.2261573006905755,3.0,0.1231611894037708,0.1238486522102622,7965.0,0.95,0.0,0.33,6.38,0.0,0.0,0.0,,0.26,,,,,0.19953740986400087,0.15449954887173226,7912.0,0.85,0.0,0.0,-1.0,0.0,0.0,0.0,,
OuterTypeNumber,0.03,0.25,0.1643987851810272,58.0,0.1596697234302645,0.14609402860579732,31629.0,0.9,0.0,0.29,1.96,0.01,0.01,0.0,,0.26,149,2,10877,2,11173,22054,0.49,0.51,0.0,0.5,-0.01,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,127,0.009812212757915464,0.06999999999999995,55,4,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,,0.04,0.3,0.18612069098920397,22.0,0.15822390656635335,0.14710116469159748,15785.0,0.9,0.0,0.41,2.97,0.01,0.01,0.0,,0.32,0.03,0.33,0.18856180831641264,2.0,0.12315547641428395,0.12385366447753066,7966.0,0.95,0.0,0.5,10.07,0.0,0.0,0.0,,0.36,0.0,0.21,0.14067381276518864,34.0,0.1994888032635165,0.15456289348091626,7878.0,0.85,0.0,0.21,0.41,0.01,0.01,0.0,,0.21
OneTopLevelClass,0.03,0.25,0.1643987851810272,58.0,0.1596697234302645,0.14609402860579732,31629.0,0.9,0.0,0.29,1.96,0.01,0.01,0.0,,0.26,56,3,10875,4,11172,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,128,0.0063907604571294425,0.06999999999999995,55,4,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,,0.04,0.3,0.18612069098920397,22.0,0.15822390656635335,0.14710116469159748,15785.0,0.9,0.0,0.41,2.97,0.01,0.01,0.0,,0.32,0.03,0.33,0.18856180831641264,2.0,0.12315547641428395,0.12385366447753066,7966.0,0.95,0.0,0.5,10.07,0.0,0.0,0.0,,0.36,0.0,0.21,0.14067381276518864,34.0,0.1994888032635165,0.15456289348091626,7878.0,0.85,0.0,0.21,0.41,0.01,0.01,0.0,,0.21
EmptyForIteratorPad,0.06,0.24,0.17884866771148802,345.0,0.15898171882477766,0.1455511646377979,31342.0,0.89,0.01,0.21,1.08,0.02,0.02,0.01,0.0,0.25,32,12,10859,20,11163,22054,0.49,0.51,0.0,0.38,-0.26,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,120,0.06592639147064032,0.08999999999999997,282,29,1071,146189,961,91493,239714,0.61,0.39,0.01,0.53,0.36,0.01,0.01,0.01,0.61,0.0,0.0,,0.02,0.2,0.18955561503956211,90.0,0.15816214101412066,0.1469418388743496,15717.0,0.89,0.01,0.21,1.05,0.01,0.01,0.01,0.0,0.2,-0.01,0.08,0.1014837636888817,4.0,0.12323179268930914,0.12391188115464348,7964.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.05,0.06,0.25,0.1734250250429906,251.0,0.19782700223336333,0.15355275216957925,7661.0,0.84,0.03,0.21,0.42,0.05,0.04,0.01,-0.6666666666666666,0.26
SuperClone,0.02,0.21,0.1572327998671387,80.0,0.15971699660526004,0.14613214515878073,31607.0,0.9,0.0,0.21,1.14,0.01,0.01,0.0,,0.21,141,17,10876,3,11158,22054,0.49,0.51,0.0,0.85,0.68,0.0,0.0,0.0,0.49,0.0,-0.03,,True,119,0.012091954042029052,0.2,78,20,689,146875,275,91875,239714,0.62,0.39,0.0,0.71,0.85,0.01,0.0,0.01,0.61,0.0,0.0,,0.01,0.2,0.1619044413304508,37.0,0.1583171766903841,0.1472053442340576,15770.0,0.9,0.0,0.19,0.84,0.0,0.0,0.0,,0.2,0.01,0.2,,1.0,0.12319859316968156,0.1239056723567966,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.2,0.0,0.21,0.156868345087418,42.0,0.19949047566867464,0.15449558587965934,7870.0,0.85,0.01,0.24,0.64,0.01,0.01,0.0,-1.0,0.21
NestedTryDepth,0.06,0.24,0.17886496237373828,420.0,0.1587718662178584,0.14539915999480027,31267.0,0.89,0.01,0.2,1.07,0.03,0.02,0.01,0.0,0.25,50,21,10852,27,11154,22054,0.49,0.51,0.0,0.44,-0.14,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,116,0.09311845760583204,0.06999999999999995,380,30,765,146407,743,91799,239714,0.61,0.39,0.01,0.51,0.31,0.01,0.01,0.01,0.61,0.0,0.0,,0.02,0.19,0.1390945551658584,98.0,0.15822768103674284,0.14728484155229069,15709.0,0.89,0.01,0.19,0.88,0.01,0.01,0.0,-1.0,0.19,0.01,0.21,,1.0,0.12319680005881348,0.12390445737922105,7967.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.21,0.07,0.25,0.1872350620268322,321.0,0.19723519872997333,0.15254820071829214,7591.0,0.83,0.04,0.21,0.43,0.06,0.05,0.03,-0.25,0.26
JavadocTagContinuationIndentation,0.09,0.22,0.1703499021917215,1322.0,0.1571892485462111,0.14445726149970425,30365.0,0.88,0.04,0.2,1.01,0.08,0.06,0.03,-0.25,0.22,111,78,10807,72,11097,22054,0.49,0.51,0.01,0.52,0.03,0.01,0.01,0.01,0.49,0.0,-0.03,,True,101,0.10453554383611106,0.09999999999999998,983,106,1437,145309,1841,91127,239714,0.61,0.39,0.01,0.44,0.14,0.02,0.01,0.02,0.61,0.0,-0.0,,0.04,0.2,0.1691042606224671,393.0,0.15745866655233193,0.14653105197736013,15414.0,0.88,0.02,0.19,0.8,0.04,0.04,0.02,0.0,0.2,0.02,0.15,0.17768444252205048,41.0,0.12305074485771675,0.12355843223070398,7927.0,0.95,0.01,0.2,3.32,0.02,0.02,0.01,0.0,0.14,0.08,0.23,0.16880447168688606,888.0,0.19512534045859345,0.15203922955806304,7024.0,0.79,0.11,0.2,0.41,0.16,0.1,0.08,-0.2727272727272727,0.24
FileLength,0.09,0.24,0.1749049742443336,791.0,0.1578149049819034,0.14480761384847934,30896.0,0.89,0.02,0.19,0.95,0.05,0.04,0.01,-0.5,0.25,38,8,10870,9,11167,22054,0.49,0.51,0.0,0.47,-0.07,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,110,0.443836830531701,0.020000000000000014,862,17,2824,145294,1856,89740,239714,0.62,0.39,0.02,0.6,0.56,0.03,0.01,0.03,0.61,0.01,0.01,,,,,,0.15842332594022518,0.14725214371987114,15807.0,0.9,0.0,0.0,-1.0,0.0,0.0,0.0,,,,,,,0.12320823190045843,0.123900883307329,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,,0.08,0.24,0.1749049742443336,791.0,0.1951872769837234,0.15145412596999855,7121.0,0.79,0.1,0.19,0.33,0.13,0.09,0.07,-0.29999999999999993,0.25
AvoidNestedBlocks,0.06,0.21,0.16797190058727954,852.0,0.15831832497239862,0.1452377973614336,30835.0,0.88,0.03,0.19,0.91,0.05,0.04,0.02,-0.3333333333333333,0.21,87,36,10842,37,11139,22054,0.49,0.51,0.0,0.49,-0.03,0.0,0.0,0.0,0.49,-0.0,-0.03,,False,68,0.5807526267633798,0.06000000000000005,756,46,5208,142809,4341,87356,239714,0.62,0.39,0.04,0.55,0.41,0.06,0.03,0.05,0.6,0.02,0.01,,0.03,0.2,0.1616463473152177,193.0,0.1579028309668182,0.14699562620793225,15614.0,0.89,0.01,0.19,0.81,0.02,0.02,0.01,0.0,0.2,0.01,0.15,0.0660607764470659,10.0,0.12316914423687852,0.12395389574035495,7958.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14,0.04,0.22,0.17061147001996066,649.0,0.19772417705784576,0.15285908664668008,7263.0,0.8,0.08,0.19,0.32,0.11,0.07,0.07,-0.12499999999999988,0.22
