feature,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP,cochange_Unnamed: 0,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_comment,monotonicity,Unnamed: 0,line_pearson,removal_probability,true_positives,false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_comment,control_medium_Pearson,control_medium_positive_corrective_rate_avg,control_medium_positive_corrective_rate_std,control_medium_positive_files_num,control_medium_negative_corrective_rate_avg,control_medium_negative_corrective_rate_std,control_medium_negative_files_num,control_medium_accuracy,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_Jaccard,control_medium_prob_in_reduced_risk,control_medium_lift_in_reduced_risk,control_medium_CCP,control_short_Pearson,control_short_positive_corrective_rate_avg,control_short_positive_corrective_rate_std,control_short_positive_files_num,control_short_negative_corrective_rate_avg,control_short_negative_corrective_rate_std,control_short_negative_files_num,control_short_accuracy,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_Jaccard,control_short_prob_in_reduced_risk,control_short_lift_in_reduced_risk,control_short_CCP,control_long_Pearson,control_long_positive_corrective_rate_avg,control_long_positive_corrective_rate_std,control_long_positive_files_num,control_long_negative_corrective_rate_avg,control_long_negative_corrective_rate_std,control_long_negative_files_num,control_long_accuracy,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_Jaccard,control_long_prob_in_reduced_risk,control_long_lift_in_reduced_risk,control_long_CCP
ModifiedControlVariable,0.05,0.22,0.16293473493799032,458.0,0.15902148445780145,0.14576328923397552,31229.0,0.89,0.01,0.18,0.83,0.03,0.02,0.01,0.0,0.22,91,22,10850,29,11153,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,108,0.0705572182552125,0.08999999999999997,449,43,1710,145252,1898,90854,239714,0.61,0.39,0.02,0.47,0.23,0.02,0.01,0.02,0.61,0.0,-0.0,,0.01,0.18,0.14796008583401574,97.0,0.15827735433682286,0.14724070241335788,15710.0,0.89,0.01,0.14,0.4,0.01,0.01,0.0,-1.0,0.17,0.0,0.15,0.04158536903953251,3.0,0.12319994067133565,0.12392172850031268,7965.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14,0.04,0.22,0.16629875626134305,358.0,0.1983395782438729,0.15382667929370716,7554.0,0.83,0.05,0.19,0.32,0.06,0.05,0.04,-0.20000000000000007,0.22
RequireThis,0.02,0.25,0.14552315065619276,46.0,0.15970467438482835,0.1461408840472698,31641.0,0.9,0.0,0.17,0.75,0.0,0.0,0.0,,0.26,92,5,10876,3,11170,22054,0.49,0.51,0.0,0.62,0.23,0.0,0.0,0.0,0.49,0.0,-0.03,,True,147,0.048233006646089316,0.13,48,7,232,147048,102,92332,239714,0.61,0.39,0.0,0.69,0.8,0.0,0.0,0.0,0.61,0.0,0.0,,0.01,0.24,0.11999471203334512,6.0,0.1583919170025919,0.14725580545056885,15801.0,0.9,0.0,0.17,0.62,0.0,0.0,0.0,,0.25,,,,,0.12320823190045843,0.123900883307329,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,,0.02,0.25,0.1502617476286218,40.0,0.19928121568467552,0.15448805216847827,7872.0,0.85,0.01,0.18,0.2,0.01,0.01,0.0,-1.0,0.26
MethodLength,0.1,0.21,0.1611064529609953,1972.0,0.15617454244297194,0.14439168952061554,29715.0,0.86,0.06,0.17,0.73,0.11,0.07,0.04,-0.3333333333333333,0.21,66,78,10805,74,11097,22054,0.49,0.51,0.01,0.51,0.01,0.01,0.01,0.01,0.49,0.0,-0.03,,True,32,0.3238528755431664,0.05000000000000005,1888,106,5281,142392,4758,87283,239714,0.62,0.39,0.04,0.53,0.36,0.06,0.03,0.05,0.6,0.02,0.0,,0.01,0.17,0.13855659240294235,237.0,0.15818957684156873,0.14737236706932744,15570.0,0.89,0.01,0.12,0.15,0.02,0.02,0.01,0.0,0.16,,,,,0.12320823190045843,0.123900883307329,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,,0.07,0.22,0.1631756363367669,1735.0,0.19362014335228087,0.15146102290535854,6177.0,0.71,0.22,0.18,0.23,0.27,0.12,0.19,-0.13636363636363635,0.22
BooleanExpressionComplexity,0.09,0.21,0.16118070539029458,1586.0,0.15693850944953686,0.14476914419161266,30101.0,0.87,0.05,0.17,0.67,0.08,0.06,0.03,-0.4,0.21,10,60,10804,75,11115,22054,0.49,0.51,0.01,0.44,-0.12,0.01,0.01,0.01,0.49,-0.0,-0.03,,True,100,0.15952947116741875,0.06000000000000005,1460,90,5404,142440,4710,87160,239714,0.62,0.39,0.04,0.53,0.38,0.06,0.03,0.06,0.6,0.02,0.0,,0.02,0.17,0.14207028751305129,320.0,0.15810401861826553,0.14734463097770506,15487.0,0.88,0.02,0.12,0.21,0.02,0.02,0.01,-0.5,0.16,0.0,0.14,0.11089039550795454,5.0,0.12319797003297706,0.12391417916829155,7963.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.12,0.07,0.23,0.16422361630830534,1261.0,0.19462091433274006,0.15210121708609972,6651.0,0.75,0.16,0.18,0.21,0.19,0.1,0.12,-0.25,0.24
AnonInnerLength,0.09,0.21,0.15911994028727774,2223.0,0.15619505487167998,0.14450501102143695,29464.0,0.85,0.07,0.17,0.67,0.12,0.07,0.05,-0.2857142857142857,0.21,54,193,10715,164,10982,22054,0.49,0.51,0.02,0.54,0.07,0.02,0.02,0.02,0.49,0.0,-0.02,,True,58,0.18645568811973384,0.08999999999999997,2012,210,6452,142545,4605,86112,239714,0.62,0.39,0.05,0.58,0.51,0.07,0.03,0.07,0.6,0.03,0.01,,0.02,0.17,0.14619264096472845,724.0,0.15764334534878832,0.14726252866635375,15083.0,0.86,0.05,0.13,0.29,0.06,0.04,0.04,-0.20000000000000007,0.16,0.01,0.14,0.14282960196133052,22.0,0.1231565999476158,0.12385092017742395,7946.0,0.95,0.0,0.09,1.01,0.01,0.01,0.0,,0.12,0.08,0.23,0.16261325499780516,1477.0,0.1935966084941523,0.15196867988798993,6435.0,0.74,0.19,0.18,0.25,0.23,0.11,0.15,-0.21052631578947367,0.24
InnerAssignment,0.06,0.21,0.1752312585043583,1037.0,0.15821649328694354,0.14481999537487464,30650.0,0.88,0.03,0.17,0.7,0.06,0.04,0.03,0.0,0.21,93,38,10829,50,11137,22054,0.49,0.51,0.0,0.43,-0.15,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,73,0.11586953706161,0.06000000000000005,905,55,6914,141294,5856,85650,239714,0.62,0.39,0.05,0.54,0.4,0.07,0.04,0.07,0.6,0.03,0.01,,-0.0,0.16,0.14780882438839646,255.0,0.15842418067427502,0.14724776834254089,15552.0,0.88,0.02,0.12,0.14,0.02,0.02,0.02,0.0,0.15,-0.02,0.07,0.1083534361046831,21.0,0.12333652336631068,0.12392015138879607,7947.0,0.95,0.0,0.05,0.05,0.0,0.0,0.01,,0.04,0.06,0.23,0.18037615844987054,761.0,0.1965273822132045,0.15118913694058242,7151.0,0.79,0.1,0.19,0.3,0.12,0.08,0.08,-0.20000000000000007,0.24
CovariantEquals,0.0,0.18,0.13811763797080734,12.0,0.15982519233736922,0.1461813986739733,31675.0,0.9,0.0,0.17,0.68,0.0,0.0,0.0,,0.17,128,0,10878,1,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,-0.0,-0.03,,True,107,0.008083508341019516,0.0,9,0,0,147150,0,92564,239714,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,0.0,0.0,,0.01,0.24,0.16875393671397002,4.0,0.15840195434826998,0.14724629362152875,15803.0,0.9,0.0,0.5,3.85,0.0,0.0,0.0,,0.25,,,,,0.12320823190045843,0.123900883307329,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,,-0.01,0.15,0.1213103815608092,8.0,0.19958422203160736,0.1545285456245431,7904.0,0.85,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14
NPathComplexity,0.15,0.21,0.15731987035315045,5550.0,0.14959620914090713,0.14160549742246606,26137.0,0.78,0.18,0.16,0.63,0.29,0.12,0.11,-0.3888888888888888,0.21,100,254,10653,226,10921,22054,0.49,0.51,0.02,0.53,0.04,0.02,0.02,0.02,0.49,0.0,-0.02,,True,23,0.4066225607834967,0.05000000000000005,4934,252,12998,135017,12133,79566,239714,0.62,0.39,0.1,0.52,0.34,0.14,0.08,0.12,0.59,0.05,0.01,,0.06,0.19,0.15181704830597958,1610.0,0.15527951065495552,0.14639993379544866,14197.0,0.82,0.1,0.15,0.41,0.14,0.08,0.08,-0.20000000000000007,0.19,0.02,0.22,0.1161117582125329,8.0,0.1231101162206264,0.12387660207900718,7960.0,0.95,0.0,0.25,4.53,0.01,0.01,0.0,,0.22,0.11,0.22,0.1587504437661856,3932.0,0.1822955729727085,0.14819662275221146,3980.0,0.52,0.5,0.17,0.16,0.57,0.15,0.41,-0.18000000000000005,0.22
EmptyBlock,0.05,0.21,0.15001454106945114,803.0,0.1586308986897003,0.1458827959015608,30884.0,0.88,0.03,0.16,0.62,0.04,0.03,0.01,-0.6666666666666666,0.21,126,73,10823,56,11102,22054,0.49,0.51,0.01,0.57,0.12,0.01,0.01,0.01,0.49,0.0,-0.02,,False,96,0.5361055294269682,0.13,687,104,2084,145244,1906,90480,239714,0.61,0.39,0.02,0.52,0.35,0.02,0.01,0.02,0.61,0.01,0.0,,0.01,0.18,0.14163670187505034,187.0,0.15819102543477384,0.14730695447297545,15620.0,0.89,0.01,0.14,0.35,0.02,0.01,0.01,0.0,0.17,-0.0,0.12,0.056904450301924085,9.0,0.12321510966695146,0.12395762702898605,7959.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.1,0.03,0.22,0.15204524262081945,607.0,0.19815794661224748,0.15463179836191288,7305.0,0.8,0.08,0.17,0.17,0.09,0.06,0.06,-0.25,0.22
ClassDataAbstractionCoupling,0.15,0.21,0.15745775451699945,6154.0,0.14884186510081646,0.1411416338410872,25533.0,0.77,0.19,0.16,0.58,0.31,0.12,0.12,-0.368421052631579,0.21,103,130,10745,134,11045,22054,0.49,0.51,0.01,0.49,-0.03,0.01,0.01,0.01,0.49,-0.0,-0.03,,True,64,0.2270697427029375,0.040000000000000036,5739,255,9074,139298,7852,83490,239714,0.62,0.39,0.07,0.54,0.39,0.1,0.05,0.09,0.6,0.04,0.01,,0.07,0.19,0.15236017809572688,1822.0,0.1547349989881436,0.14617599601156742,13985.0,0.81,0.12,0.14,0.37,0.16,0.08,0.09,-0.25,0.19,0.01,0.14,0.13608746532470614,27.0,0.12316245229457667,0.12386431583447467,7941.0,0.95,0.0,0.04,-0.18,0.0,0.0,0.0,,0.12,0.1,0.21,0.15894349972370153,4305.0,0.18252768148012272,0.14724905200600574,3607.0,0.49,0.54,0.16,0.12,0.61,0.15,0.47,-0.12962962962962976,0.21
JavaNCSS,0.13,0.2,0.15722141100606116,4809.0,0.15181539096396654,0.14263737002210594,26878.0,0.8,0.15,0.16,0.61,0.24,0.11,0.1,-0.3333333333333333,0.2,34,206,10690,189,10969,22054,0.49,0.51,0.02,0.52,0.03,0.02,0.02,0.02,0.49,0.0,-0.02,,True,29,0.4583635533765757,0.05000000000000005,4371,217,13169,136131,11019,79395,239714,0.62,0.39,0.1,0.54,0.41,0.14,0.07,0.13,0.59,0.05,0.01,,0.05,0.18,0.14769773753249846,1193.0,0.15642269233280692,0.14704054051502555,14614.0,0.84,0.08,0.14,0.35,0.1,0.06,0.05,-0.375,0.17,0.0,0.15,0.13439959163196982,3.0,0.123196819267679,0.12390451761179175,7965.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,0.14,0.07,0.21,0.15963779083796314,3613.0,0.18917659621095312,0.14927842609376402,4299.0,0.55,0.46,0.17,0.14,0.52,0.14,0.41,-0.10869565217391307,0.21
UnnecessaryParentheses,0.12,0.2,0.16285096784269446,4014.0,0.1534071811298585,0.14246118873479474,27673.0,0.82,0.13,0.16,0.65,0.21,0.1,0.09,-0.3076923076923077,0.2,28,251,10670,209,10924,22054,0.5,0.51,0.02,0.55,0.08,0.02,0.02,0.02,0.49,0.0,-0.02,,False,17,0.4866900768947269,0.07999999999999996,3107,272,11333,136450,10700,81231,239714,0.62,0.39,0.09,0.51,0.33,0.12,0.07,0.11,0.59,0.04,0.0,,0.06,0.19,0.16514324808708886,1360.0,0.1556825642933414,0.1451605641936087,14447.0,0.84,0.09,0.16,0.52,0.13,0.08,0.08,-0.11111111111111104,0.19,0.03,0.15,0.16459504140397874,87.0,0.12285875775434958,0.12334529586171335,7881.0,0.95,0.01,0.09,1.04,0.02,0.02,0.01,0.0,0.14,0.07,0.21,0.16057939831918328,2567.0,0.19229954110360714,0.1509743744770751,5345.0,0.64,0.32,0.17,0.16,0.38,0.13,0.29,-0.09375000000000012,0.21
OperatorWrap,0.13,0.2,0.16178776718277152,5108.0,0.15150515059975392,0.14147231948704092,26579.0,0.79,0.16,0.16,0.6,0.26,0.11,0.12,-0.25,0.2,75,315,10556,323,10860,22054,0.49,0.51,0.03,0.49,-0.03,0.03,0.03,0.03,0.49,-0.0,-0.03,,True,46,0.2483670175194274,0.06000000000000005,4302,283,9229,133810,13340,83335,239714,0.6,0.39,0.09,0.41,0.06,0.1,0.09,0.09,0.59,0.01,-0.03,,0.07,0.19,0.1577185212450386,2062.0,0.15425015651884147,0.14516406869271364,13745.0,0.8,0.13,0.14,0.4,0.18,0.09,0.11,-0.15384615384615385,0.19,-0.02,0.11,0.11721066838668565,288.0,0.12365791612588635,0.1241294537022464,7680.0,0.92,0.04,0.05,0.08,0.04,0.02,0.04,0.0,0.09,0.12,0.23,0.16391282254647618,2758.0,0.18567989922249145,0.1473774328644515,5154.0,0.63,0.35,0.18,0.25,0.43,0.15,0.28,-0.19999999999999984,0.24
ReturnCount,0.18,0.2,0.15982692776796378,9627.0,0.14206745342952934,0.1360404435008463,22060.0,0.69,0.3,0.16,0.58,0.48,0.13,0.2,-0.3333333333333333,0.2,0,359,10529,350,10816,22054,0.49,0.51,0.03,0.51,-0.0,0.03,0.03,0.03,0.49,-0.0,-0.03,,True,28,0.5683202399651038,0.040000000000000036,7822,286,19395,129949,17201,73169,239714,0.62,0.39,0.15,0.53,0.37,0.21,0.12,0.18,0.58,0.08,0.01,,0.11,0.19,0.15851593159343166,4060.0,0.1490770347671853,0.14196743866597905,11747.0,0.71,0.26,0.15,0.41,0.36,0.12,0.2,-0.23076923076923075,0.19,0.06,0.16,0.1637062846432002,292.0,0.12180830367510866,0.12192570361872596,7676.0,0.93,0.04,0.13,1.8,0.1,0.06,0.03,-0.25,0.15,0.14,0.21,0.15921168660648705,5275.0,0.16981401449951197,0.13998537077189702,2637.0,0.41,0.67,0.17,0.14,0.76,0.16,0.55,-0.17910447761194026,0.21
StringLiteralEquality,0.01,0.2,0.13675024513293085,77.0,0.15973922844259095,0.14618867123436746,31610.0,0.9,0.0,0.16,0.57,0.0,0.0,0.0,,0.2,127,10,10873,6,11165,22054,0.49,0.51,0.0,0.62,0.23,0.0,0.0,0.0,0.49,0.0,-0.03,,True,92,0.016116796082896696,0.16000000000000006,71,14,315,146859,291,92249,239714,0.61,0.39,0.0,0.52,0.35,0.0,0.0,0.0,0.61,0.0,0.0,,0.01,0.21,0.17500257488719795,21.0,0.15834941790115648,0.1472043646189642,15786.0,0.9,0.0,0.24,1.31,0.0,0.0,0.0,,0.21,,,,,0.12320823190045843,0.123900883307329,7968.0,0.95,0.0,0.0,-1.0,0.0,0.0,0.0,,,-0.0,0.19,0.12075749263913226,56.0,0.19958374596486936,0.15471870593603596,7856.0,0.85,0.01,0.12,-0.14,0.01,0.01,0.0,-1.0,0.19
