feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
OneTopLevelClass,288,142113,20,118459,260880,0.55,0.46,0.0,0.94,1.05,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
OuterTypeNumber,288,142113,20,118459,260880,0.55,0.46,0.0,0.94,1.05,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
MutableException,87,142125,8,118660,260880,0.55,0.46,0.0,0.92,1.01,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
MissingJavadocPackage,131,142116,17,118616,260880,0.55,0.46,0.0,0.89,0.94,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
ClassTypeParameterName,175,142073,60,118572,260880,0.55,0.46,0.0,0.74,0.64,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
InterfaceTypeParameterName,62,142110,23,118685,260880,0.54,0.46,0.0,0.73,0.6,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
SuperClone,656,141830,303,118091,260880,0.55,0.46,0.0,0.68,0.5,0.01,0.0,0.01,0.54,0.0,0.0,0.99,0.04,0.0,
NoFinalizer,36,142116,17,118711,260880,0.54,0.46,0.0,0.68,0.49,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
PackageDeclaration,124,142072,61,118623,260880,0.55,0.46,0.0,0.67,0.47,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
CustomImportOrder,233,142012,121,118514,260880,0.55,0.46,0.0,0.66,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
EmptyLineSeparator,21634,130295,11838,97113,260880,0.58,0.46,0.13,0.65,0.42,0.18,0.08,0.17,0.53,0.09,0.07,0.99,0.55,0.02,
SuperFinalize,23,142120,13,118724,260880,0.54,0.46,0.0,0.64,0.4,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
InterfaceIsType,175,142028,105,118572,260880,0.55,0.46,0.0,0.62,0.37,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
IllegalToken,2262,140740,1393,116485,260880,0.55,0.46,0.01,0.62,0.36,0.02,0.01,0.02,0.54,0.01,0.01,0.99,0.11,0.0,
JavadocType,4907,139026,3107,113840,260880,0.55,0.46,0.03,0.61,0.35,0.04,0.02,0.04,0.54,0.02,0.01,0.99,0.2,0.0,
ThrowsCount,46,142103,30,118701,260880,0.54,0.46,0.0,0.61,0.33,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
NonEmptyAtclauseDescription,7447,137161,4972,111300,260880,0.55,0.46,0.05,0.6,0.32,0.06,0.03,0.06,0.54,0.03,0.02,0.99,0.28,0.0,
JavadocTagContinuationIndentation,2055,140743,1390,116692,260880,0.55,0.46,0.01,0.6,0.31,0.02,0.01,0.02,0.54,0.01,0.0,0.99,0.1,0.0,
UpperEll,168,142016,117,118579,260880,0.55,0.46,0.0,0.59,0.3,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
ArrayTypeStyle,1546,141033,1100,117201,260880,0.55,0.46,0.01,0.58,0.28,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.08,0.0,
RedundantModifier,8776,135818,6315,109971,260880,0.55,0.46,0.06,0.58,0.28,0.07,0.04,0.07,0.54,0.03,0.02,0.99,0.32,0.0,
AvoidEscapedUnicodeCharacters,1788,140795,1338,116959,260880,0.55,0.46,0.01,0.57,0.26,0.02,0.01,0.01,0.54,0.01,0.0,0.99,0.09,0.0,
FallThrough,1980,140655,1478,116767,260880,0.55,0.46,0.01,0.57,0.26,0.02,0.01,0.02,0.54,0.01,0.0,0.99,0.1,0.0,
GenericWhitespace,760,141573,560,117987,260880,0.55,0.46,0.01,0.58,0.26,0.01,0.0,0.01,0.54,0.0,0.0,0.99,0.05,0.0,
MethodCount,1857,140746,1387,116890,260880,0.55,0.46,0.01,0.57,0.26,0.02,0.01,0.02,0.54,0.01,0.0,0.99,0.1,0.0,
IllegalImport,182,141995,138,118565,260880,0.54,0.46,0.0,0.57,0.25,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
UncommentedMain,1580,140906,1227,117167,260880,0.55,0.46,0.01,0.56,0.24,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.09,0.0,
AvoidStarImport,5870,137543,4590,112877,260880,0.55,0.46,0.04,0.56,0.23,0.05,0.03,0.05,0.54,0.02,0.01,0.99,0.24,0.0,
MissingJavadocMethod,24894,122533,19600,93853,260880,0.57,0.46,0.17,0.56,0.23,0.21,0.14,0.18,0.53,0.07,0.04,0.99,0.66,0.01,
MultipleVariableDeclarations,5484,137810,4323,113263,260880,0.55,0.46,0.04,0.56,0.23,0.05,0.03,0.04,0.54,0.01,0.01,0.99,0.23,0.0,
LocalFinalVariableName,4044,138905,3228,114703,260880,0.55,0.46,0.03,0.56,0.22,0.03,0.02,0.03,0.54,0.01,0.01,0.99,0.18,0.0,
ParameterNumber,4265,138698,3435,114482,260880,0.55,0.46,0.03,0.55,0.22,0.04,0.02,0.03,0.54,0.01,0.01,0.99,0.19,0.0,
EmptyCatchBlock,4003,138869,3264,114744,260880,0.55,0.46,0.03,0.55,0.21,0.03,0.02,0.03,0.54,0.01,0.01,0.99,0.18,0.0,
InterfaceMemberImpliedModifier,4093,138773,3360,114654,260880,0.55,0.46,0.03,0.55,0.21,0.03,0.02,0.03,0.54,0.01,0.01,0.99,0.19,0.0,
AvoidStaticImport,9541,134240,7893,109206,260880,0.55,0.46,0.07,0.55,0.2,0.08,0.06,0.08,0.54,0.02,0.01,0.99,0.35,0.0,
DesignForExtension,16200,128617,13516,102547,260880,0.56,0.46,0.11,0.55,0.2,0.14,0.1,0.12,0.53,0.04,0.02,0.99,0.51,0.0,
MemberName,7262,136111,6022,111485,260880,0.55,0.46,0.05,0.55,0.2,0.06,0.04,0.06,0.54,0.02,0.01,0.99,0.29,0.0,
TypecastParenPad,75,142069,64,118672,260880,0.54,0.46,0.0,0.54,0.19,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
HideUtilityClassConstructor,5887,137055,5078,112860,260880,0.55,0.46,0.04,0.54,0.18,0.05,0.04,0.05,0.54,0.01,0.01,0.99,0.25,0.0,
RedundantImport,315,141862,271,118432,260880,0.54,0.46,0.0,0.54,0.18,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.02,0.0,
WriteTag,6973,136177,5956,111774,260880,0.55,0.46,0.05,0.54,0.18,0.06,0.04,0.06,0.54,0.02,0.01,0.99,0.28,0.0,
ClassMemberImpliedModifier,4723,138006,4127,114024,260880,0.55,0.46,0.03,0.53,0.17,0.04,0.03,0.04,0.54,0.01,0.0,0.99,0.21,0.0,
DefaultComesLast,1463,140848,1285,117284,260880,0.55,0.46,0.01,0.53,0.17,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.08,0.0,
IllegalThrows,52,142087,46,118695,260880,0.54,0.46,0.0,0.53,0.17,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
MissingOverride,284,141885,248,118463,260880,0.54,0.46,0.0,0.53,0.17,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.02,0.0,
NestedTryDepth,854,141387,746,117893,260880,0.55,0.46,0.01,0.53,0.17,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.05,0.0,
AbstractClassName,5658,137073,5060,113089,260880,0.55,0.46,0.04,0.53,0.16,0.05,0.04,0.05,0.54,0.01,0.0,0.99,0.25,0.0,
ConstantName,5874,136899,5234,112873,260880,0.55,0.46,0.04,0.53,0.16,0.05,0.04,0.05,0.54,0.01,0.0,0.99,0.25,0.0,
LambdaParameterName,161,141988,145,118586,260880,0.54,0.46,0.0,0.53,0.16,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
ModifiedControlVariable,1873,140465,1668,116874,260880,0.55,0.46,0.01,0.53,0.16,0.02,0.01,0.02,0.54,0.0,0.0,0.99,0.1,0.0,
SimplifyBooleanExpression,895,141331,802,117852,260880,0.55,0.46,0.01,0.53,0.16,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.06,0.0,
JavadocParagraph,13147,130171,11962,105600,260880,0.55,0.46,0.1,0.52,0.15,0.11,0.08,0.1,0.54,0.02,0.01,0.99,0.46,0.0,
JavadocStyle,8618,134248,7885,110129,260880,0.55,0.46,0.06,0.52,0.15,0.07,0.06,0.07,0.54,0.02,0.01,0.99,0.34,0.0,
AnnotationOnSameLine,21566,122088,20045,97181,260880,0.55,0.46,0.16,0.52,0.14,0.18,0.14,0.16,0.53,0.04,0.01,0.99,0.63,0.0,
FileLength,2532,139765,2368,116215,260880,0.55,0.46,0.02,0.52,0.14,0.02,0.02,0.02,0.54,0.0,0.0,0.99,0.13,0.0,
InnerTypeLast,8155,134610,7523,110592,260880,0.55,0.46,0.06,0.52,0.14,0.07,0.05,0.06,0.54,0.01,0.0,0.99,0.33,0.0,
FinalParameters,6705,135783,6350,112042,260880,0.55,0.46,0.05,0.51,0.13,0.06,0.04,0.05,0.54,0.01,0.0,0.99,0.29,0.0,
JavadocMethod,13775,129135,12998,104972,260880,0.55,0.46,0.1,0.51,0.13,0.12,0.09,0.1,0.54,0.02,0.01,0.99,0.48,0.0,
MethodTypeParameterName,126,142014,119,118621,260880,0.54,0.46,0.0,0.51,0.13,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,
NestedForDepth,2014,140221,1912,116733,260880,0.55,0.46,0.02,0.51,0.13,0.02,0.01,0.02,0.54,0.0,0.0,0.99,0.11,0.0,
AnnotationUseStyle,2044,140165,1968,116703,260880,0.55,0.46,0.02,0.51,0.12,0.02,0.01,0.02,0.54,0.0,0.0,0.99,0.11,0.0,
AnonInnerLength,5655,136738,5395,113092,260880,0.55,0.46,0.04,0.51,0.12,0.05,0.04,0.05,0.54,0.01,0.0,0.99,0.25,0.0,
BooleanExpressionComplexity,5274,137095,5038,113473,260880,0.55,0.46,0.04,0.51,0.12,0.04,0.04,0.04,0.54,0.01,0.0,0.99,0.24,0.0,
MissingCtor,13122,129455,12678,105625,260880,0.55,0.46,0.1,0.51,0.12,0.11,0.09,0.1,0.54,0.02,0.0,0.99,0.47,0.0,
WhitespaceAround,11728,130880,11253,107019,260880,0.55,0.46,0.09,0.51,0.12,0.1,0.08,0.09,0.54,0.02,0.0,0.99,0.43,0.0,
AbbreviationAsWordInName,2775,139411,2722,115972,260880,0.55,0.46,0.02,0.5,0.11,0.02,0.02,0.02,0.54,0.0,0.0,0.99,0.15,0.0,
CommentsIndentation,5027,137219,4914,113720,260880,0.55,0.46,0.04,0.51,0.11,0.04,0.03,0.04,0.54,0.01,0.0,0.99,0.23,0.0,
FinalClass,3726,138456,3677,115021,260880,0.55,0.46,0.03,0.5,0.11,0.03,0.03,0.03,0.54,0.01,0.0,0.99,0.19,0.0,
LeftCurly,7635,134641,7492,111112,260880,0.55,0.46,0.06,0.5,0.11,0.06,0.05,0.06,0.54,0.01,0.0,0.99,0.32,0.0,
SummaryJavadoc,9085,133182,8951,109662,260880,0.55,0.46,0.07,0.5,0.11,0.08,0.06,0.07,0.54,0.01,0.0,0.99,0.36,0.0,
EmptyForInitializerPad,31,142102,31,118716,260880,0.54,0.46,0.0,0.5,0.1,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.0,0.0,
EmptyForIteratorPad,1061,141080,1053,117686,260880,0.54,0.46,0.01,0.5,0.1,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.07,0.0,
FileTabCharacter,986,141147,986,117761,260880,0.54,0.46,0.01,0.5,0.1,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.06,0.0,
