feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
EmptyForInitializerPad,51,165834,11,94984,260880,0.64,0.36,0.0,0.82,1.26,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.0,0.0,
LambdaParameterName,225,165764,81,94810,260880,0.64,0.36,0.0,0.74,1.02,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.01,0.0,
IllegalThrows,69,165816,29,94966,260880,0.64,0.36,0.0,0.7,0.93,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.0,0.0,
SingleLineJavadoc,478,165631,214,94557,260880,0.64,0.36,0.0,0.69,0.9,0.01,0.0,0.01,0.63,0.0,0.0,0.95,0.03,0.0,
SuperClone,664,165550,295,94371,260880,0.64,0.36,0.0,0.69,0.9,0.01,0.0,0.01,0.63,0.0,0.0,0.95,0.04,0.0,
NonEmptyAtclauseDescription,8256,161682,4163,86779,260880,0.65,0.36,0.05,0.66,0.82,0.09,0.03,0.08,0.62,0.05,0.02,0.95,0.28,0.01,
MethodTypeParameterName,159,165759,86,94876,260880,0.64,0.36,0.0,0.65,0.78,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.01,0.0,
EmptyLineSeparator,21299,153672,12173,73736,260880,0.67,0.36,0.13,0.64,0.75,0.22,0.07,0.2,0.6,0.12,0.06,0.95,0.55,0.03,
EmptyCatchBlock,4464,163042,2803,90571,260880,0.64,0.36,0.03,0.61,0.69,0.05,0.02,0.05,0.63,0.02,0.01,0.95,0.18,0.01,
ThrowsCount,46,165815,30,94989,260880,0.64,0.36,0.0,0.61,0.66,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.0,0.0,
GenericWhitespace,789,165314,531,94246,260880,0.64,0.36,0.01,0.6,0.64,0.01,0.0,0.01,0.63,0.0,0.0,0.95,0.05,0.0,
