feature,monotonicity
AtclauseOrder,True
EmptyForInitializerPad,True
FileTabCharacter,True
Indentation,True
InterfaceTypeParameterName,True
LeftCurly,True
MissingJavadocPackage,True
MutableException,True
OneTopLevelClass,True
OuterTypeNumber,True
RegexpOnFilename,True
SuperFinalize,True
SuppressWarnings,True
TypeName,True
TypecastParenPad,True
any-Header,True
any-Import,True
avg_coupling_code_size_cut,True
prev_touch_ago,True
random_metric,True
AbbreviationAsWordInName,False
AbstractClassName,False
AnnotationLocation,False
AnnotationOnSameLine,False
AnnotationUseStyle,False
AnonInnerLength,False
ArrayTrailingComma,False
ArrayTypeStyle,False
AvoidEscapedUnicodeCharacters,False
AvoidInlineConditionals,False
AvoidNestedBlocks,False
AvoidStarImport,False
AvoidStaticImport,False
BooleanExpressionComplexity,False
CatchParameterName,False
ClassDataAbstractionCoupling,False
ClassFanOutComplexity,False
ClassMemberImpliedModifier,False
ClassTypeParameterName,False
CommentsIndentation,False
ConstantName,False
CovariantEquals,False
CustomImportOrder,False
CyclomaticComplexity,False
DeclarationOrder,False
DefaultComesLast,False
DesignForExtension,False
EmptyBlock,False
EmptyCatchBlock,False
EmptyForIteratorPad,False
EmptyLineSeparator,False
EmptyStatement,False
EqualsAvoidNull,False
EqualsHashCode,False
ExecutableStatementCount,False
ExplicitInitialization,False
FallThrough,False
FileLength,False
FinalClass,False
FinalLocalVariable,False
FinalParameters,False
GenericWhitespace,False
HiddenField,False
HideUtilityClassConstructor,False
IllegalCatch,False
IllegalImport,False
IllegalThrows,False
IllegalToken,False
IllegalType,False
ImportControl,False
ImportOrder,False
InnerAssignment,False
InnerTypeLast,False
InterfaceIsType,False
InterfaceMemberImpliedModifier,False
InvalidJavadocPosition,False
JavaNCSS,False
JavadocMethod,False
JavadocPackage,False
JavadocParagraph,False
JavadocStyle,False
JavadocTagContinuationIndentation,False
JavadocType,False
JavadocVariable,False
LambdaParameterName,False
LineLength,False
LocalFinalVariableName,False
LocalVariableName,False
MagicNumber,False
MemberName,False
MethodCount,False
MethodLength,False
MethodName,False
MethodParamPad,False
MethodTypeParameterName,False
MissingCtor,False
MissingDeprecated,False
MissingJavadocMethod,False
MissingJavadocType,False
MissingOverride,False
MissingSwitchDefault,False
ModifiedControlVariable,False
ModifierOrder,False
MultipleStringLiterals,False
MultipleVariableDeclarations,False
NPathComplexity,False
NeedBraces,False
NestedForDepth,False
NestedIfDepth,False
NestedTryDepth,False
NewlineAtEndOfFile,False
NoClone,False
NoFinalizer,False
NoLineWrap,False
NoWhitespaceAfter,False
NoWhitespaceBefore,False
NonEmptyAtclauseDescription,False
OneStatementPerLine,False
OperatorWrap,False
OuterTypeFilename,False
OverloadMethodsDeclarationOrder,False
PackageDeclaration,False
PackageName,False
ParameterAssignment,False
ParameterName,False
ParameterNumber,False
ParenPad,False
RedundantImport,False
RedundantModifier,False
Regexp,False
RequireThis,False
ReturnCount,False
RightCurly,False
SeparatorWrap,False
SimplifyBooleanExpression,False
SimplifyBooleanReturn,False
SingleLineJavadoc,False
SingleSpaceSeparator,False
StaticVariableName,False
StringLiteralEquality,False
SummaryJavadoc,False
SuperClone,False
ThrowsCount,False
TodoComment,False
TrailingComment,False
UncommentedMain,False
UnnecessaryParentheses,False
UnnecessarySemicolonInEnumeration,False
UnnecessarySemicolonInTryWithResources,False
UnusedImports,False
UpperEll,False
VariableDeclarationUsageDistance,False
VisibilityModifier,False
WhitespaceAfter,False
WhitespaceAround,False
WriteTag,False
any-Annotation,False
any-Block,False
any-Class Design,False
any-Coding,False
any-Illegal,False
any-JavaDoc Comments,False
any-Metrics,False
any-Misc,False
any-Modifier,False
any-Naming Conventions,False
any-Regexp,False
any-Size Violation,False
any-Unnecessary,False
any-Whitespace,False
same_day_duration_avg,False
