repo_name,year,Sum_of_Smells,file,MethodLength,NPathComplexity,AvoidInlineConditionals,NestedIfDepth,VisibilityModifier,ccp
BBVA/mirrorgate,2018,1209.0,11,0.0,0.0,5.0,0.0,1.0,0.3887872340425532
Bernardo-MG/tabletop-dice-java,2018,90.0,2,0.0,0.0,0.0,0.0,0.0,0.043384615384615376
Bernardo-MG/tabletop-dice-java,2019,189.0,7,0.0,0.0,0.0,0.0,0.0,0.07344954128440366
Betalord/BHBot,2019,7363.0,3,5.0,11.0,65.0,73.0,66.0,0.31995561357702346
BiBiServ/bibigrid,2017,1965.0,9,4.0,5.0,1.0,57.0,0.0,0.3847951807228915
BiBiServ/bibigrid,2018,3187.0,29,2.0,10.0,41.0,30.0,8.0,0.4003881578947368
BiBiServ/bibigrid,2019,2027.0,14,0.0,4.0,39.0,4.0,9.0,0.404345
BiglySoftware/BiglyBT,2017,85639.0,16,54.0,56.0,200.0,650.0,48.0,0.2634793814432989
BiglySoftware/BiglyBT,2018,136073.0,28,89.0,113.0,319.0,1107.0,133.0,0.17870697012802275
BiglySoftware/BiglyBT,2019,199813.0,43,143.0,159.0,488.0,1594.0,262.0,0.24598735244519396
BjerknesClimateDataCentre/QuinCe,2017,14651.0,48,5.0,12.0,2.0,28.0,10.0,0.07167661691542287
BjerknesClimateDataCentre/QuinCe,2018,9781.0,26,0.0,2.0,0.0,13.0,5.0,0.15800868055555553
BjerknesClimateDataCentre/QuinCe,2019,10697.0,24,1.0,7.0,0.0,42.0,5.0,0.2301638418079096
BorderTech/wcomponents,2017,11734.0,57,2.0,5.0,78.0,12.0,0.0,0.4042729885057471
BorderTech/wcomponents,2018,1600.0,6,0.0,2.0,3.0,4.0,0.0,0.2275223880597015
BrassGoggledCoders/SteamAgeRevolution,2017,144.0,2,0.0,0.0,0.0,0.0,8.0,0.14729368029739778
BrassGoggledCoders/SteamAgeRevolution,2018,43.0,1,0.0,0.0,0.0,0.0,3.0,0.2331181102362205
BrassGoggledCoders/SteamAgeRevolution,2019,2702.0,37,1.0,3.0,1.0,12.0,45.0,0.16473442622950818
BrightSpots/rcv,2017,1938.0,6,2.0,5.0,7.0,2.0,40.0,0.0920842105263158
BrightSpots/rcv,2018,1969.0,7,2.0,5.0,7.0,2.0,40.0,0.21278787878787875
BrightSpots/rcv,2019,3288.0,12,1.0,4.0,13.0,9.0,5.0,0.24615916955017295
BrunoEberhard/minimal-j,2017,5247.0,22,0.0,1.0,6.0,0.0,0.0,0.10492371475953566
BrunoEberhard/minimal-j,2018,5546.0,14,0.0,4.0,14.0,1.0,3.0,0.18633707865168536
BrunoEberhard/minimal-j,2019,3809.0,7,0.0,3.0,14.0,7.0,2.0,0.16376371308016874
CCI-MIT/XCoLab,2017,6726.0,77,1.0,4.0,22.0,7.0,11.0,0.319548353909465
CCI-MIT/XCoLab,2018,13218.0,133,2.0,17.0,56.0,28.0,14.0,0.24150854700854696
CCI-MIT/XCoLab,2019,9875.0,131,0.0,11.0,46.0,33.0,10.0,0.4003467336683417
CESNET/perun,2017,82785.0,42,22.0,63.0,27.0,466.0,17.0,0.3515560538116592
CESNET/perun,2018,102471.0,59,21.0,73.0,50.0,436.0,18.0,0.36287794432548176
CESNET/perun,2019,138337.0,152,22.0,128.0,59.0,511.0,59.0,0.30892687385740397
CenturyLinkCloud/mdw,2018,4506.0,10,0.0,14.0,33.0,53.0,8.0,0.14867018469656992
CenturyLinkCloud/mdw,2019,21189.0,46,3.0,55.0,183.0,288.0,34.0,0.12387221396731055
CloudSlang/cs-actions,2017,20895.0,260,0.0,8.0,79.0,14.0,2.0,0.09219742489270384
CloudSlang/cs-actions,2018,2076.0,11,0.0,0.0,1.0,0.0,0.0,0.0577176724137931
CloudSlang/cs-actions,2019,2158.0,18,0.0,3.0,3.0,7.0,0.0,0.059953878406708586
CloudSlang/score,2019,2445.0,7,0.0,0.0,2.0,10.0,5.0,0.12905982905982905
Cognifide/AET,2017,1241.0,9,0.0,0.0,0.0,0.0,0.0,0.21225905292479108
Cognifide/AET,2018,12470.0,159,0.0,1.0,16.0,1.0,14.0,0.15947154471544714
Cognifide/AET,2019,2937.0,23,0.0,0.0,4.0,0.0,0.0,0.04607441860465116
Cognifide/APM,2018,1044.0,8,0.0,0.0,3.0,0.0,0.0,0.21384259259259256
Cognifide/APM,2019,1898.0,18,0.0,0.0,5.0,0.0,1.0,0.3160342465753425
CognizantOneDevOps/Insights,2017,408.0,1,0.0,0.0,0.0,0.0,0.0,0.11515151515151514
CognizantOneDevOps/Insights,2018,4500.0,21,0.0,1.0,0.0,3.0,4.0,0.14664565992865636
CognizantOneDevOps/Insights,2019,6595.0,44,0.0,3.0,1.0,4.0,10.0,0.15240983606557376
Col-E/Recaf,2017,5261.0,23,3.0,3.0,13.0,13.0,11.0,0.1671216216216216
Col-E/Recaf,2018,1003.0,4,2.0,0.0,0.0,0.0,11.0,0.2066578313253012
Col-E/Recaf,2019,2307.0,6,2.0,4.0,11.0,10.0,4.0,0.20241211225997047
Commonjava/indy,2017,13986.0,38,2.0,10.0,36.0,47.0,6.0,0.4396844660194175
Commonjava/indy,2018,15293.0,35,1.0,13.0,40.0,46.0,15.0,0.32191338582677165
Commonjava/indy,2019,18356.0,38,4.0,24.0,58.0,74.0,12.0,0.3484187643020595
CreativeMD/LittleTiles,2017,7642.0,13,4.0,10.0,15.0,39.0,116.0,0.8119026548672565
CreativeMD/LittleTiles,2018,9296.0,17,4.0,14.0,16.0,77.0,130.0,0.7340830324909746
CreativeMD/LittleTiles,2019,9904.0,15,2.0,19.0,54.0,87.0,151.0,0.8327413793103446
CruGlobal/android-gto-support,2017,695.0,4,0.0,2.0,13.0,8.0,11.0,0.04385024154589371
CruGlobal/android-gto-support,2018,365.0,1,0.0,5.0,14.0,11.0,6.0,0.027241379310344826
CruGlobal/android-gto-support,2019,416.0,1,0.0,4.0,14.0,11.0,11.0,0.01013565891472868
CyclopsMC/CyclopsCore,2017,1022.0,4,0.0,2.0,5.0,5.0,8.0,0.3451991525423729
CyclopsMC/CyclopsCore,2019,542.0,2,0.0,1.0,1.0,39.0,0.0,0.21646236559139787
CyclopsMC/IntegratedDynamics,2017,9279.0,37,0.0,0.0,112.0,57.0,54.0,0.3800066777963272
CyclopsMC/IntegratedDynamics,2019,3934.0,7,1.0,6.0,44.0,22.0,0.0,0.4749937106918239
CylonicRaider/Instant,2017,1368.0,8,0.0,1.0,6.0,1.0,0.0,0.14754031287605293
