,repo_name,files_with_robust_smells
270,conveyal/r5,28
418,kermitt2/grobid,28
501,openthinclient/openthinclient-manager,28
117,PCLuddite/baxshops,27
10,Alluxio/alluxio,27
187,apache/calcite,27
482,objective-solutions/taskboard,27
429,kriztan/Pix-Art-Messenger,27
637,wordpress-mobile/WordPress-FluxC-Android,27
623,voyages-sncf-technologies/hesperides,27
313,estatio/estatio,27
505,otavanopisto/pyramus,27
607,thm-projects/arsnova-backend,26
360,graphql-java/graphql-java,26
378,igniterealtime/Openfire,26
71,HedvigInsurance/bot-service,26
67,GoogleContainerTools/jib,26
345,google/framework-for-osdu,26
6,Aeronica/mxTune,26
529,raoulvdberge/refinedstorage,25
33,CognizantOneDevOps/Insights,25
392,jaamsim/jaamsim,25
485,oncokb/oncokb,25
456,metaborg/nabl,24
574,snowflakedb/snowflake-jdbc,24
538,reasonml-editor/reasonml-idea-plugin,24
225,bbottema/simple-java-mail,24
371,henrichg/PhoneProfiles,24
236,blackducksoftware/hub-jira,24
161,Whiley/WhileyCompiler,24
649,xXKeyleXx/MyPet,24
651,xwiki/xwiki-platform,23
443,lucee/Lucee,23
100,Minecolonies/minecolonies,23
22,BrassGoggledCoders/SteamAgeRevolution,23
125,RoboZonky/robozonky,23
605,theScrabi/NewPipe,23
4,AVnetWS/Hentoid,23
21,BjerknesClimateDataCentre/QuinCe,23
364,grpc/grpc-java,23
53,FINRAOS/herd,23
159,UweTrottmann/SeriesGuide,22
150,TelefonicaED/liferaylms-portlet,22
134,SleepyTrousers/EnderIO,22
555,savoirfairelinux/ring-client-android,22
290,datastax/java-driver,22
461,mlhartme/stool,22
377,ibissource/iaf,22
259,chrisj42/minicraft-plus-revived,21
324,fogbeam/cas_mirror,21
141,TGAC/miso-lims,21
195,apache/incubator-shardingsphere,21
487,ontodev/robot,21
580,spotify/styx,21
541,rememberber/WePush,20
61,GluuFederation/oxAuth,20
323,flutter/flutter-intellij,20
506,ow2-proactive/scheduling,20
306,eclipse/kapua,20
463,msaperst/selenified,20
304,eMoflon/emoflon-ibex,20
374,hneemann/Digital,20
314,exch-bms2/beatoraja,20
