feature,removal_probability,true_positives,false_positives,false_negatives
InnerTypeLast,0.06000000000000005,3006,196,354
JavadocType,0.06000000000000005,490,30,28
LambdaParameterName,0.06000000000000005,46,3,23
LocalFinalVariableName,0.06000000000000005,588,37,82
MemberName,0.06000000000000005,1071,70,103
MethodName,0.06000000000000005,616,36,55
MissingSwitchDefault,0.06000000000000005,1537,97,175
NeedBraces,0.06000000000000005,4352,290,359
NonEmptyAtclauseDescription,0.06000000000000005,2567,162,293
OneTopLevelClass,0.06000000000000005,63,4,14
OperatorWrap,0.06000000000000005,4287,297,576
OuterTypeNumber,0.06000000000000005,63,4,14
SuperFinalize,0.06000000000000005,16,1,3
AvoidEscapedUnicodeCharacters,0.050000000000000044,211,10,21
ExplicitInitialization,0.050000000000000044,3837,196,328
InnerAssignment,0.050000000000000044,892,51,97
JavaNCSS,0.050000000000000044,4425,211,534
MagicNumber,0.050000000000000044,7777,394,596
MethodLength,0.050000000000000044,1899,106,304
NPathComplexity,0.050000000000000044,5017,251,614
ParameterAssignment,0.050000000000000044,3155,183,419
ParameterNumber,0.050000000000000044,2199,123,335
TrailingComment,0.050000000000000044,5665,303,615
VisibilityModifier,0.050000000000000044,6021,328,430
AbbreviationAsWordInName,0.040000000000000036,1038,48,116
AvoidInlineConditionals,0.040000000000000036,8011,293,882
AvoidStaticImport,0.040000000000000036,4952,233,673
ClassDataAbstractionCoupling,0.040000000000000036,5745,248,591
ClassMemberImpliedModifier,0.040000000000000036,1877,77,254
ConstantName,0.040000000000000036,3731,159,363
CyclomaticComplexity,0.040000000000000036,6719,262,707
ExecutableStatementCount,0.040000000000000036,5718,246,666
IllegalCatch,0.040000000000000036,5227,204,560
Indentation,0.040000000000000036,10997,462,546
InterfaceMemberImpliedModifier,0.040000000000000036,2167,84,147
InterfaceTypeParameterName,0.040000000000000036,23,1,1
JavadocMethod,0.040000000000000036,7318,284,553
MethodTypeParameterName,0.040000000000000036,112,5,22
MultipleStringLiterals,0.040000000000000036,10482,384,786
NestedIfDepth,0.040000000000000036,5718,254,666
SeparatorWrap,0.040000000000000036,7873,320,1197
SingleLineJavadoc,0.040000000000000036,369,15,65
UnnecessarySemicolonInTryWithResources,0.040000000000000036,25,1,6
AbstractClassName,0.030000000000000027,1520,42,91
HiddenField,0.030000000000000027,10740,280,437
HideUtilityClassConstructor,0.030000000000000027,1408,45,33
IllegalToken,0.030000000000000027,173,6,24
ImportOrder,0.030000000000000027,18051,544,499
InterfaceIsType,0.030000000000000027,112,3,7
MissingCtor,0.030000000000000027,9230,329,281
ReturnCount,0.030000000000000027,7978,287,728
SummaryJavadoc,0.030000000000000027,9387,247,466
ClassFanOutComplexity,0.020000000000000018,8450,203,889
ClassTypeParameterName,0.020000000000000018,92,2,4
EmptyLineSeparator,0.020000000000000018,15794,250,558
FileLength,0.020000000000000018,863,18,147
JavadocStyle,0.020000000000000018,7120,180,454
MethodCount,0.020000000000000018,624,15,120
MissingJavadocMethod,0.020000000000000018,16242,284,374
MissingJavadocType,0.020000000000000018,9837,242,219
TypeName,0.020000000000000018,184,3,11
UncommentedMain,0.020000000000000018,554,10,15
WriteTag,0.020000000000000018,11688,261,316
AnnotationOnSameLine,0.010000000000000009,18503,117,435
DefaultComesLast,0.010000000000000009,66,1,10
DesignForExtension,0.010000000000000009,15032,205,248
FinalLocalVariable,0.010000000000000009,16451,180,495
FinalParameters,0.010000000000000009,18679,105,208
JavadocVariable,0.010000000000000009,18581,159,300
CovariantEquals,0.0,10,0,0
ImportControl,0.0,22520,0,0
LineLength,0.0,21603,39,240
MissingJavadocPackage,0.0,2,0,0
OuterTypeFilename,0.0,1,0,0
PackageName,0.0,34,0,0
Regexp,0.0,2,0,0
