,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
33,SeparatorWrap,2481.0,16410.0,9094.0,5050.0,33035.0,0.57,0.23,0.35,0.21,-0.06,0.33,0.36,0.15,0.58,-0.02,-0.26,0.77,0.93,0.0,
34,Indentation,3615.0,12036.0,13468.0,3916.0,33035.0,0.47,0.23,0.52,0.21,-0.07,0.48,0.53,0.17,0.49,-0.03,-0.39,0.77,1.0,0.0,
35,JavadocVariable,5562.0,4535.0,20969.0,1969.0,33035.0,0.31,0.23,0.8,0.21,-0.08,0.74,0.82,0.2,0.34,-0.09,-0.6,0.77,0.72,0.01,
36,FinalLocalVariable,4718.0,7618.0,17886.0,2813.0,33035.0,0.37,0.23,0.68,0.21,-0.08,0.63,0.7,0.19,0.4,-0.07,-0.52,0.77,0.9,0.0,
37,ModifierOrder,442.0,23807.0,1697.0,7089.0,33035.0,0.73,0.23,0.06,0.21,-0.09,0.06,0.07,0.05,0.74,-0.0,-0.05,0.77,0.35,0.0,
38,EmptyLineSeparator,4586.0,7983.0,17521.0,2945.0,33035.0,0.38,0.23,0.67,0.21,-0.09,0.61,0.69,0.18,0.41,-0.07,-0.51,0.77,0.92,0.0,
39,AnonInnerLength,447.0,23713.0,1791.0,7084.0,33035.0,0.73,0.23,0.07,0.2,-0.12,0.06,0.07,0.05,0.74,-0.01,-0.05,0.77,0.36,0.0,
40,InterfaceTypeParameterName,8.0,25472.0,32.0,7523.0,33035.0,0.77,0.23,0.0,0.2,-0.12,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.01,0.0,
41,HiddenField,3007.0,13355.0,12149.0,4524.0,33035.0,0.5,0.23,0.46,0.2,-0.13,0.4,0.48,0.15,0.52,-0.05,-0.36,0.77,1.0,0.0,
42,SummaryJavadoc,2437.0,15483.0,10021.0,5094.0,33035.0,0.54,0.23,0.38,0.2,-0.14,0.32,0.39,0.14,0.57,-0.04,-0.3,0.77,0.96,0.0,
43,WhitespaceAfter,1046.0,21130.0,4374.0,6485.0,33035.0,0.67,0.23,0.16,0.19,-0.15,0.14,0.17,0.09,0.68,-0.02,-0.13,0.77,0.64,0.0,
44,FallThrough,42.0,25327.0,177.0,7489.0,33035.0,0.77,0.23,0.01,0.19,-0.16,0.01,0.01,0.01,0.77,-0.0,-0.01,0.77,0.06,0.0,
