,hotspot,other,riskfree,decreasing,increasing
AvoidStarImport,0.0009562024968884741,0.00199365284191916,0.0010527393070495859,False,False
AvoidStaticImport,0.007559202932664142,0.01961222623847887,0.01009356771185672,False,False
CovariantEquals,0.0,0.0,0.0,True,True
SuperClone,1.3819426048095415e-05,6.77999557640172e-06,0.0,True,False
AnnotationOnSameLine,0.03245086265763262,0.048418849215633455,0.04053687710339058,False,False
ArrayTypeStyle,7.920189769371354e-05,5.0327381495000874e-05,7.633368372103038e-05,False,False
InterfaceMemberImpliedModifier,0.004379847599674445,0.01820641978020512,0.01749148326332049,False,False
AnnotationUseStyle,0.000337811328714031,0.00024800049093818817,0.0003263157965448409,False,False
FileTabCharacter,0.0001681800487916469,0.0009233113439421516,0.0017856837207099055,False,True
ExplicitInitialization,0.0012557090919561172,0.0005384465877944881,0.0012887296118334233,False,False
SeparatorWrap,0.0221877161854196,0.03026461252851871,0.023174346298610517,False,False
HiddenField,0.009054877423582531,0.01158132529754743,0.01249119960047423,False,True
MissingSwitchDefault,0.00013600412833007184,0.00011341639543682583,0.0001026140169062202,True,False
ParenPad,0.0013020928228930774,0.0023063406729924916,0.005442302809019248,False,True
DesignForExtension,0.01736947649081554,0.027918092191732708,0.034487849685155364,False,True
EmptyLineSeparator,0.019552993623867265,0.017928139073864497,0.019066371007399975,False,False
IllegalToken,0.0,4.810784574142145e-06,2.7584778029863674e-06,False,False
LocalVariableName,0.0004599962366260197,0.00017469764187534104,0.00019173602882191368,False,False
ReturnCount,0.0013399518341560227,0.0010210263628962013,0.0014445384134619567,False,False
StaticVariableName,0.00030390627156732413,0.00014816160865290795,0.0002961548261501626,False,False
NoClone,2.6577642535793743e-05,8.185242742192348e-06,3.185013364500535e-05,False,False
NewlineAtEndOfFile,0.00046828993558411207,0.0016408469870868143,0.0011282104985821156,False,False
UnnecessarySemicolonInTryWithResources,0.0,5.0891430149110005e-06,0.0,False,False
ClassMemberImpliedModifier,0.0003552021527173104,0.00017886269069010362,0.00026129486549747243,False,False
MethodLength,0.00012186515906684184,5.008866634778623e-05,7.461631567156321e-05,False,False
ImportControl,0.0067231627259181055,0.012121467275212657,0.01095343682744686,False,False
ModifiedControlVariable,3.87150405356475e-05,3.7887471167942246e-05,1.3697740568972124e-05,True,False
total_sum,0.6575420588746893,0.7611319342579922,0.9114278547500371,False,True
ConstantName,0.0015321153112581225,0.0028366717149656646,0.0026373354957962714,False,False
JavaNCSS,0.00042159158318942874,0.00022224752922968648,0.0003296738008410353,False,False
SuperFinalize,0.0,0.0,0.0,True,True
MagicNumber,0.011391335077957865,0.011317005503193759,0.010656158802278042,True,False
AtclauseOrder,0.00014849919873417852,0.00017312341275989643,0.00017204024359358217,False,False
MethodTypeParameterName,2.7702034757865633e-05,6.76565690216461e-05,9.587637929936727e-05,False,True
LambdaParameterName,1.432167403869888e-05,0.00025067841217959417,0.00016178754550494605,False,False
UncommentedMain,1.9396186124820487e-05,0.00022996927800121318,5.141395710928293e-05,False,False
UpperEll,6.335946533295092e-05,7.231581958144348e-05,2.5517606130705685e-05,False,False
JavadocStyle,0.004634808399818546,0.003504462428792535,0.0030521071897766515,True,False
JavadocTagContinuationIndentation,0.00010134625050404497,0.00017041441116980746,0.00013549483060517318,False,False
NoWhitespaceAfter,0.0006624392039166386,0.0006030836329159145,0.0008438701402843093,False,False
EmptyBlock,6.380869610394176e-05,4.6295705947151874e-05,4.7529651300809575e-05,False,False
Regexp,0.00017146776406035664,0.0,0.0,True,False
CommentsIndentation,0.0002883877260114389,0.00018756962918049517,0.0002646604928698632,False,False
JavadocMethod,0.00908902429054542,0.007196983588444854,0.008822166699622718,False,False
ParameterName,5.337330284287123e-05,8.46181666652038e-05,0.0003565514220444185,False,True
OverloadMethodsDeclarationOrder,0.0003382941227525923,0.0003162305463217167,0.00036173087685473844,False,False
GenericWhitespace,2.2249277343471885e-05,5.510098792805461e-05,7.632737077444018e-05,False,True
VariableDeclarationUsageDistance,0.001345884084226209,0.000895324714201433,0.0010177045030106096,False,False
ParameterNumber,0.0004161548358289049,0.00032665450066307096,0.0002683858940180199,True,False
CatchParameterName,0.00016879861418876702,0.00011472464261744836,0.000126604126460333,False,False
HideUtilityClassConstructor,0.00037142050823820593,0.001210780067703074,0.00025153963251576086,False,False
EqualsHashCode,0.0,8.92711580908531e-06,2.4204608998075534e-05,False,True
OneStatementPerLine,6.007591370087817e-05,2.7087594254955963e-05,0.00014917990117779492,False,False
EmptyForInitializerPad,0.0,0.0,0.0,True,True
ClassTypeParameterName,1.1166694916865751e-05,3.828443239196894e-05,4.2162299238118385e-06,False,False
ArrayTrailingComma,5.634845237388377e-05,0.00025006769168334144,0.00011052647472327877,False,False
AbbreviationAsWordInName,0.0003116518813760915,0.00025890442275312684,0.00037463569112397235,False,False
ParameterAssignment,0.0003280340315960911,0.0002920709242967857,0.0005144645006468382,False,False
SimplifyBooleanExpression,1.3969094254058051e-05,3.842675514125123e-05,3.7015090460964203e-05,False,False
