Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_avg_coupling_code_size_cut,cond_mean_diff_avg_coupling_code_size_cut,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
10,AnnotationUseStyle,216.0,24884.0,620.0,7315.0,33035.0,0.76,0.23,0.03,0.26,0.13,0.03,0.02,0.03,0.76,0.0,-0.02,0.77,0.17,0.0,,37,12595,43,9853,22528,0.56,0.44,0.0,0.46,0.05,0.0,0.0,0.0,0.56,0.0,-0.0,0.99,0.03,0.0,,19.948525138520417,0.8365271618794168,True,0.034857251118801766,0.07999999999999996,580,53,2303,186345,1709,70523,260880,0.72,0.28,0.02,0.57,1.06,0.03,0.01,0.03,0.71,0.01,0.0,0.85,0.11,0.0,,14,115.0,12497.0,316.0,3606.0,16534.0,0.76,0.23,0.03,0.27,0.19,0.03,0.02,0.03,0.76,0.0,-0.02,0.77,0.17,0.0,,9,50.0,5794.0,60.0,2532.0,8436.0,0.69,0.31,0.01,0.45,0.49,0.02,0.01,0.02,0.69,0.01,-0.0,0.89,0.1,0.0,,11,47.0,6681.0,248.0,1089.0,8065.0,0.83,0.14,0.04,0.16,0.13,0.04,0.04,0.03,0.83,0.0,-0.03,0.59,0.23,0.0,
11,UnnecessarySemicolonInTryWithResources,10.0,25475.0,29.0,7521.0,33035.0,0.77,0.23,0.0,0.26,0.12,0.0,0.0,0.0,0.77,0.0,-0.0,0.77,0.01,0.0,,1,12637,1,9889,22528,0.56,0.44,0.0,0.5,0.14,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.0,0.0,,17.88276475822316,-1.2292332184178356,False,0.012794488770365313,0.040000000000000036,25,1,0,188054,0,72826,260880,0.72,0.28,0.0,0.0,-1.0,0.0,0.0,0.0,0.72,0.0,0.0,0.85,0.0,0.0,,4,7.0,12804.0,9.0,3714.0,16534.0,0.77,0.23,0.0,0.44,0.94,0.0,0.0,0.0,0.77,0.0,-0.0,0.77,0.01,0.0,,132,0.0,5852.0,2.0,2582.0,8436.0,0.69,0.31,0.0,0.0,-1.0,0.0,0.0,0.0,0.69,-0.0,-0.0,0.89,0.0,0.0,,31,3.0,6911.0,18.0,1133.0,8065.0,0.86,0.14,0.0,0.14,0.01,0.0,0.0,0.0,0.86,0.0,-0.0,0.59,0.03,0.0,
12,AbstractClassName,538.0,23923.0,1581.0,6993.0,33035.0,0.74,0.23,0.06,0.25,0.11,0.07,0.06,0.06,0.74,0.0,-0.04,0.77,0.34,0.0,,46,12606,32,9844,22528,0.56,0.44,0.0,0.59,0.34,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.03,0.0,,19.19562798990459,0.0836300132635941,True,0.04251504939169385,0.030000000000000027,1520,42,4722,182058,5996,68104,260880,0.72,0.28,0.04,0.44,0.58,0.06,0.03,0.06,0.7,0.02,-0.01,0.85,0.25,0.0,,10,285.0,12147.0,666.0,3436.0,16534.0,0.75,0.23,0.06,0.3,0.33,0.08,0.05,0.06,0.74,0.01,-0.03,0.77,0.32,0.0,,54,107.0,5613.0,241.0,2475.0,8436.0,0.68,0.31,0.04,0.31,0.0,0.04,0.04,0.04,0.68,0.0,-0.02,0.89,0.25,0.0,,7,140.0,6249.0,680.0,996.0,8065.0,0.79,0.14,0.1,0.17,0.21,0.12,0.1,0.08,0.79,0.01,-0.08,0.59,0.47,0.0,
13,LeftCurly,1166.0,21817.0,3687.0,6365.0,33035.0,0.7,0.23,0.15,0.24,0.05,0.15,0.14,0.1,0.69,0.01,-0.1,0.77,0.6,0.0,,383,12319,319,9507,22528,0.56,0.44,0.03,0.55,0.24,0.04,0.03,0.04,0.56,0.01,0.01,0.99,0.2,0.0,,19.773917300114192,0.6619193234731924,False,0.21625721496947606,0.08999999999999997,3103,307,6418,179345,8709,66408,260880,0.71,0.28,0.06,0.42,0.52,0.09,0.05,0.08,0.7,0.02,-0.01,0.85,0.32,0.0,,19,573.0,11186.0,1627.0,3148.0,16534.0,0.71,0.23,0.13,0.26,0.16,0.15,0.13,0.11,0.7,0.01,-0.08,0.77,0.57,0.0,,16,287.0,5421.0,433.0,2295.0,8436.0,0.68,0.31,0.09,0.4,0.3,0.11,0.07,0.1,0.66,0.02,-0.02,0.89,0.42,0.0,,18,293.0,5289.0,1640.0,843.0,8065.0,0.69,0.14,0.24,0.15,0.08,0.26,0.24,0.11,0.69,0.01,-0.19,0.59,0.79,0.0,
14,MissingJavadocType,3734.0,13601.0,11903.0,3797.0,33035.0,0.52,0.23,0.47,0.24,0.05,0.5,0.47,0.19,0.51,0.02,-0.32,0.77,1.0,0.0,,189,12441,197,9701,22528,0.56,0.44,0.02,0.49,0.12,0.02,0.02,0.02,0.56,0.0,-0.0,0.99,0.13,0.0,,19.27905138845659,0.1670534118155942,True,0.34731741106510805,0.020000000000000014,9837,242,6326,180825,7229,66500,260880,0.72,0.28,0.05,0.47,0.67,0.09,0.04,0.08,0.7,0.03,-0.0,0.85,0.29,0.01,,32,1861.0,6863.0,5950.0,1860.0,16534.0,0.53,0.23,0.47,0.24,0.06,0.5,0.46,0.19,0.52,0.02,-0.32,0.77,1.0,0.0,,51,1339.0,2863.0,2991.0,1243.0,8436.0,0.5,0.31,0.51,0.31,0.01,0.52,0.51,0.24,0.49,0.01,-0.28,0.89,1.0,0.0,,34,491.0,3924.0,3005.0,645.0,8065.0,0.55,0.14,0.43,0.14,-0.0,0.43,0.43,0.12,0.55,-0.0,-0.36,0.59,0.99,0.0,
15,MissingCtor,3030.0,15759.0,9745.0,4501.0,33035.0,0.57,0.23,0.39,0.24,0.04,0.4,0.38,0.18,0.56,0.01,-0.26,0.77,0.96,0.0,,230,12405,233,9660,22528,0.56,0.44,0.02,0.5,0.13,0.02,0.02,0.02,0.56,0.0,-0.0,0.99,0.14,0.0,,19.64747479397161,0.5354768173306219,False,0.07281957616457735,0.030000000000000027,9230,329,13354,175608,12446,59472,260880,0.72,0.28,0.1,0.52,0.85,0.18,0.07,0.16,0.68,0.07,0.0,0.85,0.47,0.02,,26,1504.0,8108.0,4705.0,2217.0,16534.0,0.58,0.23,0.38,0.24,0.08,0.4,0.37,0.18,0.57,0.02,-0.25,0.77,0.95,0.0,,38,1036.0,3694.0,2160.0,1546.0,8436.0,0.56,0.31,0.38,0.32,0.06,0.4,0.37,0.22,0.55,0.03,-0.19,0.89,0.96,0.0,,42,463.0,4022.0,2907.0,673.0,8065.0,0.56,0.14,0.42,0.14,-0.02,0.41,0.42,0.11,0.56,-0.01,-0.35,0.59,0.98,0.0,
16,UnnecessarySemicolonInEnumeration,40.0,25376.0,128.0,7491.0,33035.0,0.77,0.23,0.01,0.24,0.04,0.01,0.01,0.01,0.77,0.0,-0.0,0.77,0.05,0.0,,8,12635,3,9882,22528,0.56,0.44,0.0,0.73,0.66,0.0,0.0,0.0,0.56,0.0,0.0,0.99,0.01,0.0,,18.20114851649863,-0.9108494601423692,False,0.015035136921525603,0.07999999999999996,110,10,830,186935,1119,71996,260880,0.72,0.28,0.01,0.43,0.53,0.01,0.01,0.01,0.72,0.0,-0.0,0.85,0.06,0.0,,28,20.0,12750.0,63.0,3701.0,16534.0,0.77,0.23,0.01,0.24,0.07,0.01,0.0,0.01,0.77,0.0,-0.0,0.77,0.05,0.0,,2,9.0,5849.0,5.0,2573.0,8436.0,0.69,0.31,0.0,0.64,1.1,0.0,0.0,0.0,0.69,0.0,0.0,0.89,0.02,0.0,,15,11.0,6869.0,60.0,1125.0,8065.0,0.85,0.14,0.01,0.15,0.1,0.01,0.01,0.01,0.85,0.0,-0.01,0.59,0.07,0.0,
17,AnnotationOnSameLine,6092.0,5737.0,19767.0,1439.0,33035.0,0.36,0.23,0.78,0.24,0.03,0.81,0.78,0.22,0.35,0.03,-0.54,0.77,0.76,0.0,,928,11721,917,8962,22528,0.56,0.44,0.08,0.5,0.15,0.09,0.07,0.09,0.55,0.02,0.0,0.99,0.41,0.0,,19.313482223037227,0.20148424639622675,True,0.7714119782226878,0.010000000000000007,18503,117,10362,156805,31249,62464,260880,0.64,0.28,0.16,0.25,-0.11,0.14,0.17,0.1,0.65,-0.01,-0.11,0.85,0.63,0.0,,33,3168.0,2615.0,10198.0,553.0,16534.0,0.35,0.23,0.81,0.24,0.05,0.85,0.8,0.23,0.33,0.06,-0.55,0.77,0.7,0.0,,31,1836.0,2286.0,3568.0,746.0,8436.0,0.49,0.31,0.64,0.34,0.11,0.71,0.61,0.3,0.45,0.1,-0.3,0.89,0.94,0.01,,32,1013.0,853.0,6076.0,123.0,8065.0,0.23,0.14,0.88,0.14,0.01,0.89,0.88,0.14,0.23,0.02,-0.73,0.59,0.53,0.0,
18,JavadocPackage,1247.0,21400.0,4104.0,6284.0,33035.0,0.69,0.23,0.16,0.23,0.02,0.17,0.16,0.11,0.68,0.0,-0.11,0.77,0.64,0.0,,136,12492,146,9754,22528,0.56,0.44,0.01,0.48,0.1,0.01,0.01,0.01,0.56,0.0,-0.0,0.99,0.1,0.0,,19.688506286987085,0.5765083103460888,False,-0.027666017782257742,0.07999999999999996,3293,282,6850,175081,12973,65976,260880,0.7,0.28,0.08,0.35,0.24,0.09,0.07,0.08,0.69,0.01,-0.03,0.85,0.39,0.0,,56,610.0,10669.0,2144.0,3111.0,16534.0,0.68,0.23,0.17,0.22,-0.02,0.16,0.17,0.1,0.68,-0.0,-0.12,0.77,0.65,0.0,,63,489.0,4676.0,1178.0,2093.0,8436.0,0.61,0.31,0.2,0.29,-0.04,0.19,0.2,0.13,0.62,-0.01,-0.12,0.89,0.72,0.0,,41,129.0,6128.0,801.0,1007.0,8065.0,0.78,0.14,0.12,0.14,-0.02,0.11,0.12,0.07,0.78,-0.0,-0.1,0.59,0.52,0.0,
19,WriteTag,4222.0,11610.0,13894.0,3309.0,33035.0,0.48,0.23,0.55,0.23,0.02,0.56,0.54,0.2,0.47,0.01,-0.38,0.77,0.99,0.0,,292,12368,270,9598,22528,0.56,0.44,0.02,0.52,0.18,0.03,0.02,0.03,0.56,0.01,0.0,0.99,0.17,0.0,,18.907627110328725,-0.20437086631227075,False,0.3292940083179429,0.020000000000000014,11688,261,4857,179982,8072,67969,260880,0.71,0.28,0.05,0.38,0.35,0.07,0.04,0.06,0.7,0.01,-0.02,0.85,0.28,0.0,,38,2075.0,6046.0,6767.0,1646.0,16534.0,0.49,0.23,0.53,0.23,0.04,0.56,0.53,0.2,0.48,0.02,-0.37,0.77,1.0,0.0,,41,1472.0,2733.0,3121.0,1110.0,8436.0,0.5,0.31,0.54,0.32,0.05,0.57,0.53,0.26,0.48,0.03,-0.28,0.89,0.99,0.0,,55,629.0,2877.0,4052.0,507.0,8065.0,0.43,0.14,0.58,0.13,-0.05,0.55,0.58,0.12,0.44,-0.02,-0.49,0.59,0.98,0.0,
