metric,Pearson with ccp,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Pearson,diff_avg,diff_std,relative_diff_avg,relative_diff_std,abs_diff_avg,abs_diff_std,abs_relative_diff_avg
ccp,1.0,,,,,,,,,,,,,,,,,,,,,0.7535455432968551,-0.004462366994782305,0.08352499295297014,0.06309903648591741,0.5703563605560854,0.058930399092956644,0.05921088159308479,0.5010817047125803
NPathComplexity,0.14727453486520223,46.0,65.0,32.0,54.0,197.0,0.56,0.51,0.4,0.59,0.16,0.46,0.33,0.35,0.5,0.13,0.11,1.0,0.97,0.01,,0.8764980872940576,4.802030456852792,29.926890439309172,1.432343986248443,14.303263536519173,16.111675126903553,25.64927726507025,14.27542728039813
MethodLength,0.14040667043107163,37.0,76.0,21.0,63.0,197.0,0.57,0.51,0.29,0.64,0.26,0.37,0.22,0.31,0.5,0.15,0.13,1.0,0.87,0.02,,0.9396969629595511,1.2385786802030456,5.827357542551068,0.39721921256183035,1.860364291156709,3.279187817258883,4.969111051598277,1.7468848913895687
VisibilityModifier,0.13865458879569584,50.0,61.0,36.0,50.0,197.0,0.56,0.51,0.44,0.58,0.15,0.5,0.37,0.37,0.5,0.13,0.11,1.0,0.99,0.01,,0.42949954446561756,18.18274111675127,662.2836397620958,0.6129393065117645,2.3337286330899145,162.2741116751269,642.2497018928676,2.216625016825528
AvoidInlineConditionals,0.10432125668838213,39.0,71.0,26.0,61.0,197.0,0.56,0.51,0.33,0.6,0.18,0.39,0.27,0.31,0.5,0.12,0.1,1.0,0.91,0.01,,0.7621039262146545,22.482233502538072,184.11912719505176,0.5773449967303863,2.0261663805588306,83.9746192893401,165.28813544801042,1.9586841764555178
Sum_of_Smells,0.05815044247737041,45.0,62.0,35.0,55.0,197.0,0.54,0.51,0.41,0.56,0.11,0.45,0.36,0.33,0.5,0.09,0.07,1.0,0.97,0.01,,0.8088894274822818,4019.3857868020305,26395.45379577898,0.3157480660926204,0.9433852943870865,15864.868020304568,21447.13683599945,0.8475572008926711
NestedIfDepth,0.0526749491502692,41.0,62.0,35.0,59.0,197.0,0.52,0.51,0.39,0.54,0.06,0.41,0.36,0.3,0.5,0.05,0.03,1.0,0.96,0.0,,0.9031371498212797,23.710659898477157,136.00627438284266,0.5800698689800963,3.039535959166271,63.31472081218274,122.6114338500431,2.9736340790284013
