,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
33,InvalidJavadocPosition,288.0,23788.0,596.0,8363.0,33035.0,0.73,0.26,0.03,0.33,0.24,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.18,0.0,
34,NonEmptyAtclauseDescription,944.0,22399.0,1985.0,7707.0,33035.0,0.71,0.26,0.09,0.32,0.23,0.11,0.08,0.09,0.7,0.02,-0.04,0.83,0.43,0.0,
35,RightCurly,1262.0,21687.0,2697.0,7389.0,33035.0,0.69,0.26,0.12,0.32,0.22,0.15,0.11,0.11,0.68,0.02,-0.06,0.83,0.53,0.0,
36,AvoidStaticImport,2261.0,19568.0,4816.0,6390.0,33035.0,0.66,0.26,0.21,0.32,0.22,0.26,0.2,0.17,0.64,0.04,-0.1,0.83,0.75,0.0,
37,RequireThis,15.0,24352.0,32.0,8636.0,33035.0,0.74,0.26,0.0,0.32,0.22,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.02,0.0,
38,ClassDataAbstractionCoupling,2009.0,20115.0,4269.0,6642.0,33035.0,0.67,0.26,0.19,0.32,0.22,0.23,0.18,0.16,0.65,0.03,-0.09,0.83,0.7,0.0,
39,ExecutableStatementCount,2126.0,19782.0,4602.0,6525.0,33035.0,0.66,0.26,0.2,0.32,0.21,0.25,0.19,0.16,0.64,0.03,-0.1,0.83,0.73,0.0,
40,JavadocParagraph,2030.0,20007.0,4377.0,6621.0,33035.0,0.67,0.26,0.19,0.32,0.21,0.23,0.18,0.16,0.65,0.03,-0.1,0.83,0.71,0.0,
41,TrailingComment,2252.0,19511.0,4873.0,6399.0,33035.0,0.66,0.26,0.22,0.32,0.21,0.26,0.2,0.17,0.64,0.04,-0.11,0.83,0.75,0.0,
42,SingleLineJavadoc,138.0,24083.0,301.0,8513.0,33035.0,0.73,0.26,0.01,0.31,0.2,0.02,0.01,0.02,0.73,0.0,-0.01,0.83,0.1,0.0,
43,ParameterNumber,786.0,22666.0,1718.0,7865.0,33035.0,0.71,0.26,0.08,0.31,0.2,0.09,0.07,0.08,0.7,0.01,-0.04,0.83,0.39,0.0,
44,OverloadMethodsDeclarationOrder,982.0,22237.0,2147.0,7669.0,33035.0,0.7,0.26,0.09,0.31,0.2,0.11,0.09,0.09,0.69,0.01,-0.05,0.83,0.45,0.0,
45,EqualsAvoidNull,460.0,23382.0,1002.0,8191.0,33035.0,0.72,0.26,0.04,0.31,0.2,0.05,0.04,0.05,0.72,0.01,-0.02,0.83,0.26,0.0,
46,ClassFanOutComplexity,2887.0,18073.0,6311.0,5764.0,33035.0,0.63,0.26,0.28,0.31,0.2,0.33,0.26,0.19,0.61,0.05,-0.14,0.83,0.85,0.0,
47,VisibilityModifier,2335.0,19208.0,5176.0,6316.0,33035.0,0.65,0.26,0.23,0.31,0.19,0.27,0.21,0.17,0.63,0.04,-0.12,0.83,0.77,0.0,
48,EmptyBlock,258.0,23811.0,573.0,8393.0,33035.0,0.73,0.26,0.03,0.31,0.19,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.17,0.0,
49,ClassMemberImpliedModifier,703.0,22831.0,1553.0,7948.0,33035.0,0.71,0.26,0.07,0.31,0.19,0.08,0.06,0.07,0.71,0.01,-0.03,0.83,0.36,0.0,
50,MissingSwitchDefault,561.0,23150.0,1234.0,8090.0,33035.0,0.72,0.26,0.05,0.31,0.19,0.06,0.05,0.06,0.71,0.01,-0.03,0.83,0.3,0.0,
51,AvoidInlineConditionals,3205.0,17217.0,7167.0,5446.0,33035.0,0.62,0.26,0.31,0.31,0.18,0.37,0.29,0.2,0.59,0.05,-0.16,0.83,0.9,0.0,
52,VariableDeclarationUsageDistance,1018.0,22111.0,2273.0,7633.0,33035.0,0.7,0.26,0.1,0.31,0.18,0.12,0.09,0.09,0.69,0.01,-0.05,0.83,0.47,0.0,
53,CommentsIndentation,783.0,22607.0,1777.0,7868.0,33035.0,0.71,0.26,0.08,0.31,0.17,0.09,0.07,0.08,0.7,0.01,-0.04,0.83,0.39,0.0,
54,ConstantName,1578.0,20795.0,3589.0,7073.0,33035.0,0.68,0.26,0.16,0.31,0.17,0.18,0.15,0.13,0.66,0.02,-0.08,0.83,0.63,0.0,
55,IllegalToken,59.0,24250.0,134.0,8592.0,33035.0,0.74,0.26,0.01,0.31,0.17,0.01,0.01,0.01,0.74,0.0,-0.0,0.83,0.05,0.0,
56,UnnecessarySemicolonInTryWithResources,12.0,24357.0,27.0,8639.0,33035.0,0.74,0.26,0.0,0.31,0.17,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,
57,ArrayTypeStyle,176.0,23980.0,404.0,8475.0,33035.0,0.73,0.26,0.02,0.3,0.16,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,
58,MagicNumber,3136.0,17092.0,7292.0,5515.0,33035.0,0.61,0.26,0.32,0.3,0.15,0.36,0.3,0.2,0.59,0.04,-0.17,0.83,0.9,0.0,
59,MethodName,229.0,23855.0,529.0,8422.0,33035.0,0.73,0.26,0.02,0.3,0.15,0.03,0.02,0.02,0.73,0.0,-0.01,0.83,0.16,0.0,
60,NestedForDepth,233.0,23842.0,542.0,8418.0,33035.0,0.73,0.26,0.02,0.3,0.15,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.16,0.0,
61,CatchParameterName,360.0,23544.0,840.0,8291.0,33035.0,0.72,0.26,0.04,0.3,0.15,0.04,0.03,0.04,0.72,0.0,-0.02,0.83,0.23,0.0,
62,SeparatorWrap,3455.0,16264.0,8120.0,5196.0,33035.0,0.6,0.26,0.35,0.3,0.14,0.4,0.33,0.21,0.57,0.04,-0.19,0.83,0.93,0.0,
63,MultipleStringLiterals,3833.0,15380.0,9004.0,4818.0,33035.0,0.58,0.26,0.39,0.3,0.14,0.44,0.37,0.22,0.55,0.05,-0.21,0.83,0.96,0.0,
