feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
MissingJavadocPackage,0.02,0.34,0.2487003253955488,6.0,0.15980011232064695,0.14613674627920137,31681.0,0.9,0.0,0.33,2.36,0.0,0.0,0.0,,0.37
Regexp,0.01,0.25,0.2261573006905755,3.0,0.15982566511747043,0.14617042663017568,31684.0,0.9,0.0,0.33,2.36,0.0,0.0,0.0,,0.26
any-REGEXP CHECKS,0.01,0.25,0.2261573006905755,3.0,0.15982566511747043,0.14617042663017568,31684.0,0.9,0.0,0.33,2.36,0.0,0.0,0.0,,0.26
OuterTypeNumber,0.03,0.25,0.1643987851810272,58.0,0.1596697234302645,0.14609402860579732,31629.0,0.9,0.0,0.29,1.96,0.01,0.01,0.0,,0.26
OneTopLevelClass,0.03,0.25,0.1643987851810272,58.0,0.1596697234302645,0.14609402860579732,31629.0,0.9,0.0,0.29,1.96,0.01,0.01,0.0,,0.26
EmptyForIteratorPad,0.06,0.24,0.17884866771148802,345.0,0.15898171882477766,0.1455511646377979,31342.0,0.89,0.01,0.21,1.08,0.02,0.02,0.01,0.0,0.25
SuperClone,0.02,0.21,0.1572327998671387,80.0,0.15971699660526006,0.14613214515878073,31607.0,0.9,0.0,0.21,1.14,0.01,0.01,0.0,,0.21
NestedTryDepth,0.06,0.24,0.17886496237373828,420.0,0.1587718662178584,0.14539915999480027,31267.0,0.89,0.01,0.2,1.07,0.03,0.02,0.01,0.0,0.25
JavadocTagContinuationIndentation,0.09,0.22,0.1703499021917215,1322.0,0.1571892485462111,0.14445726149970423,30365.0,0.88,0.04,0.2,1.01,0.08,0.06,0.03,-0.25,0.22
FileLength,0.09,0.24,0.1749049742443336,791.0,0.1578149049819034,0.14480761384847934,30896.0,0.89,0.02,0.19,0.95,0.05,0.04,0.01,-0.5,0.25
AvoidNestedBlocks,0.06,0.21,0.16797190058727954,852.0,0.15831832497239862,0.1452377973614336,30835.0,0.88,0.03,0.19,0.91,0.05,0.04,0.02,-0.33333333333333326,0.21
ModifiedControlVariable,0.05,0.22,0.16293473493799032,458.0,0.15902148445780145,0.14576328923397552,31229.0,0.89,0.01,0.18,0.83,0.03,0.02,0.01,0.0,0.22
RequireThis,0.02,0.25,0.14552315065619276,46.0,0.15970467438482835,0.1461408840472698,31641.0,0.9,0.0,0.17,0.75,0.0,0.0,0.0,,0.26
MethodLength,0.1,0.21,0.1611064529609953,1972.0,0.15617454244297196,0.14439168952061557,29715.0,0.86,0.06,0.17,0.73,0.11,0.07,0.04,-0.33333333333333326,0.21
BooleanExpressionComplexity,0.09,0.21,0.16118070539029458,1586.0,0.15693850944953683,0.14476914419161263,30101.0,0.87,0.05,0.17,0.67,0.08,0.06,0.03,-0.4,0.21
AnonInnerLength,0.09,0.21,0.15911994028727774,2223.0,0.15619505487168,0.14450501102143695,29464.0,0.85,0.07,0.17,0.67,0.12,0.07,0.05,-0.2857142857142857,0.21
InnerAssignment,0.06,0.21,0.1752312585043583,1037.0,0.15821649328694354,0.14481999537487464,30650.0,0.88,0.03,0.17,0.7,0.06,0.04,0.03,0.0,0.21
CovariantEquals,0.0,0.18,0.13811763797080734,12.0,0.15982519233736922,0.1461813986739733,31675.0,0.9,0.0,0.17,0.68,0.0,0.0,0.0,,0.17
NPathComplexity,0.15,0.21,0.15731987035315045,5550.0,0.14959620914090713,0.14160549742246606,26137.0,0.78,0.18,0.16,0.63,0.29,0.12,0.11,-0.38888888888888884,0.21
EmptyBlock,0.05,0.21,0.15001454106945117,803.0,0.1586308986897003,0.1458827959015608,30884.0,0.88,0.03,0.16,0.62,0.04,0.03,0.01,-0.6666666666666666,0.21
ClassDataAbstractionCoupling,0.15,0.21,0.15745775451699945,6154.0,0.14884186510081643,0.1411416338410872,25533.0,0.77,0.19,0.16,0.58,0.31,0.12,0.12,-0.368421052631579,0.21
JavaNCSS,0.13,0.2,0.15722141100606116,4809.0,0.15181539096396657,0.14263737002210594,26878.0,0.8,0.15,0.16,0.61,0.24,0.11,0.1,-0.33333333333333326,0.2
UnnecessaryParentheses,0.12,0.2,0.16285096784269446,4014.0,0.1534071811298585,0.14246118873479477,27673.0,0.82,0.13,0.16,0.65,0.21,0.1,0.09,-0.3076923076923077,0.2
OperatorWrap,0.13,0.2,0.16178776718277152,5108.0,0.15150515059975392,0.14147231948704092,26579.0,0.79,0.16,0.16,0.6,0.26,0.11,0.12,-0.25,0.2
ReturnCount,0.18,0.2,0.15982692776796378,9627.0,0.14206745342952934,0.1360404435008463,22060.0,0.69,0.3,0.16,0.58,0.48,0.13,0.2,-0.33333333333333326,0.2
StringLiteralEquality,0.01,0.2,0.13675024513293085,77.0,0.15973922844259097,0.14618867123436743,31610.0,0.9,0.0,0.16,0.57,0.0,0.0,0.0,,0.2
IllegalThrows,0.01,0.18,0.1592180999044102,110.0,0.15975428052526333,0.14612608826777057,31577.0,0.9,0.0,0.16,0.65,0.01,0.01,0.0,,0.17
ParameterAssignment,0.1,0.2,0.1586273297546373,3577.0,0.15447737622654278,0.14363676898062627,28110.0,0.82,0.11,0.15,0.52,0.17,0.09,0.07,-0.36363636363636354,0.2
CyclomaticComplexity,0.16,0.2,0.15442688215083702,7658.0,0.14644952594820518,0.1408440949439483,24029.0,0.73,0.24,0.15,0.53,0.37,0.12,0.15,-0.375,0.2
NestedIfDepth,0.14,0.2,0.15727337736993185,6481.0,0.1491457277089416,0.14122445325142644,25206.0,0.76,0.2,0.15,0.53,0.31,0.11,0.14,-0.29999999999999993,0.2
InnerTypeLast,0.1,0.2,0.15588934755510295,3358.0,0.15501957902841462,0.14422932466533814,28329.0,0.83,0.11,0.15,0.48,0.16,0.08,0.06,-0.4545454545454546,0.2
ClassFanOutComplexity,0.17,0.2,0.15427910126937225,8992.0,0.14409855138829136,0.13975574976787727,22695.0,0.7,0.28,0.15,0.47,0.42,0.12,0.18,-0.3571428571428572,0.2
