feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
ExecutableStatementCount,0.14,0.2,0.15626107819197196,6532.0,0.1495516890655097,0.1416468643456272,25155.0,0.76,0.21,0.15,0.53,0.32,0.11,0.14,-0.33333333333333326,0.2
ClassMemberImpliedModifier,0.07,0.2,0.16025939074778395,2188.0,0.15691493803933437,0.14465514855696684,29499.0,0.85,0.07,0.15,0.52,0.11,0.07,0.05,-0.2857142857142857,0.2
EmptyCatchBlock,0.05,0.2,0.1472825701961377,1016.0,0.15853294893164185,0.1459619835799626,30671.0,0.88,0.03,0.15,0.5,0.05,0.04,0.02,-0.33333333333333326,0.2
CatchParameterName,0.05,0.2,0.15519925459861394,1063.0,0.15847934564933555,0.14566891193298445,30624.0,0.88,0.03,0.15,0.47,0.05,0.04,0.02,-0.33333333333333326,0.2
JavadocMethod,0.14,0.19,0.16242276715898188,8694.0,0.14733309108122966,0.137490214527668,22993.0,0.71,0.27,0.15,0.53,0.42,0.12,0.23,-0.14814814814814814,0.19
RightCurly,0.07,0.19,0.1628359676154245,3972.0,0.1560251687955261,0.1432311599715102,27715.0,0.81,0.13,0.15,0.46,0.18,0.09,0.11,-0.15384615384615385,0.19
MethodName,0.02,0.18,0.1509133903760482,717.0,0.15933278274879975,0.14603010247786707,30970.0,0.88,0.02,0.15,0.46,0.03,0.03,0.02,0.0,0.17
EqualsHashCode,0.01,0.18,0.16711197862493307,123.0,0.1597689982214514,0.14608892303079365,31564.0,0.9,0.0,0.15,0.48,0.01,0.01,0.0,,0.17
MethodCount,0.04,0.21,0.15329662443418357,602.0,0.15892873305476624,0.14589057900842478,31085.0,0.89,0.02,0.14,0.39,0.03,0.02,0.01,-0.5,0.21
ParameterNumber,0.08,0.2,0.1578905221711038,2379.0,0.15644935557291503,0.1446612422564896,29308.0,0.85,0.08,0.14,0.44,0.11,0.07,0.04,-0.5,0.2
NestedForDepth,0.04,0.2,0.1528332344472945,770.0,0.15887124559615276,0.14587931987270772,30917.0,0.88,0.02,0.14,0.44,0.04,0.03,0.01,-0.5,0.2
MissingSwitchDefault,0.06,0.2,0.15068199676232533,1707.0,0.15763427243449354,0.14561084989883324,29980.0,0.86,0.05,0.14,0.42,0.08,0.05,0.03,-0.4,0.2
ArrayTypeStyle,0.03,0.2,0.1538345492059642,550.0,0.15920674968160722,0.14596316713930096,31137.0,0.89,0.02,0.14,0.45,0.03,0.02,0.01,-0.5,0.2
AnnotationLocation,0.03,0.19,0.18436005349131865,554.0,0.1592136375575701,0.14533486482280075,31133.0,0.89,0.02,0.14,0.38,0.02,0.02,0.01,-0.5,0.19
ConstantName,0.1,0.19,0.15694982586017883,4739.0,0.1537135626179541,0.14333137418571534,26948.0,0.79,0.15,0.14,0.44,0.22,0.09,0.11,-0.2666666666666666,0.19
TodoComment,0.07,0.19,0.15446716353667655,2428.0,0.15697500479864504,0.14510355478639483,29259.0,0.85,0.08,0.14,0.4,0.11,0.06,0.05,-0.375,0.19
EqualsAvoidNull,0.05,0.19,0.14887138908787753,1432.0,0.1582229275652592,0.1458540531244047,30255.0,0.87,0.05,0.14,0.39,0.06,0.05,0.03,-0.4,0.19
any-METRICS CHECKS,0.19,0.19,0.15274915598812353,12870.0,0.1370683598602354,0.13692743708369973,18817.0,0.61,0.41,0.14,0.41,0.57,0.13,0.28,-0.31707317073170727,0.19
TrailingComment,0.12,0.19,0.15941458931030417,6770.0,0.1508924834092757,0.1410509727810078,24917.0,0.75,0.21,0.14,0.45,0.31,0.11,0.16,-0.23809523809523803,0.19
ExplicitInitialization,0.09,0.19,0.15111557253214625,4196.0,0.1549363057650898,0.1447871342353365,27491.0,0.81,0.13,0.14,0.41,0.19,0.09,0.1,-0.23076923076923073,0.19
AvoidInlineConditionals,0.15,0.19,0.15370894105245503,9920.0,0.14537271831937976,0.14025462945476364,21767.0,0.67,0.31,0.14,0.4,0.44,0.12,0.23,-0.25806451612903225,0.19
IllegalCatch,0.11,0.19,0.156628379628234,6287.0,0.1519877408291277,0.14239045868967612,25400.0,0.76,0.2,0.14,0.41,0.28,0.1,0.15,-0.2500000000000001,0.19
any-ILLEGAL CHECKS,0.11,0.19,0.15584527892975855,7269.0,0.15076458784412453,0.14191848877320132,24418.0,0.74,0.23,0.14,0.4,0.32,0.11,0.17,-0.26086956521739124,0.19
EmptyStatement,0.02,0.19,0.1547843707563509,287.0,0.15956922293484585,0.14607217415402918,31400.0,0.89,0.01,0.14,0.37,0.01,0.01,0.01,0.0,0.19
ClassTypeParameterName,0.01,0.19,0.17893831517157285,118.0,0.15972677229221224,0.1460337238100142,31569.0,0.9,0.0,0.14,0.45,0.01,0.01,0.0,,0.19
RedundantModifier,0.06,0.19,0.15368723000361537,2727.0,0.15717954533126696,0.14517095466683375,28960.0,0.84,0.09,0.14,0.42,0.12,0.07,0.07,-0.2222222222222221,0.19
VisibilityModifier,0.1,0.19,0.15972737747313695,7103.0,0.15214579062000977,0.14109355818978472,24584.0,0.74,0.22,0.14,0.37,0.31,0.1,0.19,-0.13636363636363635,0.19
NoClone,0.01,0.18,0.14649597085352567,182.0,0.1597320066476566,0.14617136146132834,31505.0,0.9,0.01,0.14,0.39,0.01,0.01,0.0,-1.0,0.17
TypeName,0.01,0.18,0.1589913801333825,318.0,0.159658422485179,0.14603364780159792,31369.0,0.89,0.01,0.14,0.36,0.01,0.01,0.01,0.0,0.17
GenericWhitespace,0.01,0.18,0.15302746203471862,265.0,0.15969415990796432,0.14611247879296496,31422.0,0.89,0.01,0.14,0.37,0.01,0.01,0.01,0.0,0.17
FallThrough,0.03,0.21,0.13936843271274219,210.0,0.1595321033586278,0.14617650329671386,31477.0,0.9,0.01,0.13,0.3,0.01,0.01,0.0,-1.0,0.21
IllegalToken,0.02,0.2,0.16520213511718607,189.0,0.1595738652705847,0.14601954758375893,31498.0,0.9,0.01,0.13,0.33,0.01,0.01,0.0,-1.0,0.2
MethodParamPad,0.04,0.2,0.16229088293179889,686.0,0.15892493997507615,0.14567229375857527,31001.0,0.88,0.02,0.13,0.34,0.03,0.02,0.01,-0.5,0.2
OverloadMethodsDeclarationOrder,0.07,0.19,0.15707369149329753,3018.0,0.1562955121399953,0.14453117766951937,28669.0,0.83,0.1,0.13,0.33,0.13,0.07,0.07,-0.29999999999999993,0.19
AvoidStaticImport,0.12,0.19,0.15881975500817547,6902.0,0.1506173125440123,0.14108475650963717,24785.0,0.74,0.22,0.13,0.34,0.29,0.1,0.15,-0.31818181818181823,0.19
VariableDeclarationUsageDistance,0.07,0.19,0.1522160598626973,3176.0,0.1564319269308496,0.14509420377381455,28511.0,0.83,0.1,0.13,0.35,0.13,0.07,0.07,-0.29999999999999993,0.19
AvoidEscapedUnicodeCharacters,0.02,0.19,0.1502274371408343,220.0,0.1596319074512687,0.14613068231115203,31467.0,0.9,0.01,0.13,0.33,0.01,0.01,0.01,0.0,0.19
IllegalType,0.04,0.19,0.15163760310471514,1566.0,0.1583365308981066,0.14573459723547535,30121.0,0.86,0.05,0.13,0.35,0.07,0.05,0.04,-0.20000000000000007,0.19
FinalClass,0.04,0.19,0.15922417003696357,1596.0,0.15838065285558134,0.14531102532797213,30091.0,0.86,0.05,0.13,0.33,0.07,0.05,0.04,-0.20000000000000007,0.19
MagicNumber,0.12,0.19,0.1555674538998216,9989.0,0.14806902690096374,0.14009015172081002,21698.0,0.67,0.32,0.13,0.34,0.42,0.11,0.25,-0.21875,0.19
NoWhitespaceAfter,0.04,0.19,0.15943393116888963,1745.0,0.15835313083574848,0.14523304875302104,29942.0,0.86,0.06,0.13,0.32,0.07,0.05,0.05,-0.16666666666666663,0.19
MultipleStringLiterals,0.13,0.18,0.15229397059774408,12405.0,0.14441864056095577,0.13995454175060845,19282.0,0.61,0.39,0.13,0.34,0.53,0.12,0.32,-0.17948717948717952,0.17
NoWhitespaceBefore,0.03,0.18,0.16027133300145632,1035.0,0.15903510709742555,0.14561314230318123,30652.0,0.88,0.03,0.13,0.31,0.04,0.03,0.03,0.0,0.17
NonEmptyAtclauseDescription,0.05,0.18,0.15716300805616848,2901.0,0.15770972258269733,0.14485665423759375,28786.0,0.83,0.09,0.13,0.31,0.12,0.07,0.08,-0.11111111111111105,0.17
JavadocParagraph,0.05,0.17,0.16057736579393167,6070.0,0.15631222596426184,0.142327973523936,25617.0,0.76,0.19,0.13,0.28,0.25,0.09,0.2,0.05263157894736836,0.16
LocalVariableName,0.02,0.17,0.1535758623892117,1282.0,0.15937628625134834,0.14584175912854755,30405.0,0.87,0.04,0.13,0.27,0.05,0.04,0.05,0.25,0.16
AtclauseOrder,-0.0,0.16,0.16789254371696294,1327.0,0.15985695865070562,0.14515695439012927,30360.0,0.87,0.04,0.13,0.34,0.06,0.04,0.05,0.25,0.15
PackageDeclaration,0.03,0.23,0.11740515663388944,94.0,0.15962406344786426,0.14620491628782792,31593.0,0.9,0.0,0.12,0.18,0.0,0.0,0.0,,0.24
SingleSpaceSeparator,0.06,0.18,0.15204199228147083,3711.0,0.15676236197088583,0.14510679165042947,27976.0,0.81,0.12,0.12,0.22,0.14,0.07,0.1,-0.16666666666666663,0.17
UnusedImports,0.04,0.18,0.15445010210846397,1774.0,0.15858342881063828,0.14557848294863487,29913.0,0.86,0.06,0.12,0.21,0.07,0.05,0.05,-0.16666666666666663,0.17
WhitespaceAround,0.08,0.18,0.15304193758587148,7690.0,0.15323685110582697,0.1432867454762452,23997.0,0.72,0.24,0.12,0.23,0.3,0.09,0.2,-0.16666666666666663,0.17
SeparatorWrap,0.1,0.18,0.15054109848504824,11273.0,0.1495103380223973,0.14266799976995512,20414.0,0.63,0.36,0.12,0.2,0.43,0.1,0.29,-0.19444444444444442,0.17
DeclarationOrder,0.08,0.18,0.1545199847936755,8460.0,0.15310898332258457,0.14242745655146474,23227.0,0.7,0.27,0.12,0.26,0.34,0.1,0.23,-0.14814814814814814,0.17
CommentsIndentation,0.04,0.18,0.14634616326565536,2591.0,0.1582123692517851,0.14605446271333983,29096.0,0.84,0.08,0.12,0.16,0.09,0.05,0.06,-0.25,0.17
ArrayTrailingComma,0.02,0.18,0.15044665392171314,558.0,0.1595302538959726,0.1460839529625841,31129.0,0.89,0.02,0.12,0.19,0.02,0.02,0.02,0.0,0.17
HiddenField,0.11,0.18,0.15200750300833057,14809.0,0.14501328886881598,0.13918896319030588,16878.0,0.55,0.47,0.12,0.23,0.58,0.11,0.41,-0.12765957446808507,0.17
any-NAMING CONVENTIONS CHECKS,0.08,0.18,0.15202892119866698,10326.0,0.15167560702200825,0.14255157987758893,21361.0,0.65,0.33,0.12,0.22,0.4,0.1,0.29,-0.12121212121212133,0.17
AbstractClassName,0.03,0.18,0.15240567169668637,2042.0,0.15868445497777178,0.14567053850915165,29645.0,0.85,0.06,0.12,0.2,0.08,0.05,0.05,-0.16666666666666663,0.17
JavadocType,0.02,0.18,0.15961106269827757,799.0,0.15944077835595075,0.14579493173035576,30888.0,0.88,0.03,0.12,0.17,0.03,0.02,0.03,0.0,0.17
MultipleVariableDeclarations,0.02,0.17,0.14740141963177253,1075.0,0.15935681150366546,0.14611334950990687,30612.0,0.88,0.03,0.12,0.23,0.04,0.03,0.03,0.0,0.16
AnnotationUseStyle,0.01,0.17,0.15869381822803277,812.0,0.1594990124273749,0.14582115932551262,30875.0,0.88,0.03,0.12,0.19,0.03,0.02,0.02,-0.33333333333333326,0.16
LocalFinalVariableName,0.01,0.17,0.1448021049852723,673.0,0.15968743074906505,0.14620561994919395,31014.0,0.88,0.02,0.12,0.21,0.03,0.02,0.02,0.0,0.16
ThrowsCount,0.0,0.16,0.1376589541754789,153.0,0.1598281491790405,0.14621922507531204,31534.0,0.9,0.0,0.12,0.19,0.01,0.01,0.0,,0.15
PackageName,-0.0,0.15,0.14427114086522133,88.0,0.15985090369276633,0.14618424919884376,31599.0,0.9,0.0,0.12,0.26,0.0,0.0,0.0,,0.14
StaticVariableName,0.02,0.17,0.14691384619536155,941.0,0.1594267972385292,0.14613776137738088,30746.0,0.88,0.03,0.11,0.06,0.03,0.02,0.02,-0.33333333333333326,0.16
WhitespaceAfter,0.04,0.17,0.1566661021210019,5086.0,0.15729645195433292,0.1439485245502628,26601.0,0.78,0.16,0.11,0.16,0.19,0.08,0.15,-0.0625,0.16
NeedBraces,0.04,0.17,0.1542390579216974,5632.0,0.15709884716007552,0.14423249674033198,26055.0,0.76,0.18,0.11,0.08,0.19,0.07,0.16,-0.11111111111111105,0.16
InvalidJavadocPosition,0.01,0.17,0.14391150087933205,857.0,0.15949050906311774,0.14622693032572226,30830.0,0.88,0.03,0.11,0.12,0.03,0.02,0.02,-0.33333333333333326,0.16
FinalLocalVariable,0.12,0.17,0.1506701187018286,21903.0,0.13308619864444612,0.13171488820091723,9784.0,0.37,0.69,0.11,0.15,0.79,0.11,0.63,-0.08695652173913038,0.16
any-BLOCK CHECKS,0.06,0.17,0.15228976368481725,11273.0,0.15383003310040913,0.14233764320703718,20414.0,0.63,0.36,0.11,0.15,0.41,0.1,0.33,-0.08333333333333326,0.16
MemberName,0.02,0.17,0.14838187263990207,1357.0,0.15935885564794752,0.1460620848418399,30330.0,0.87,0.04,0.11,0.14,0.05,0.04,0.05,0.25,0.16
any-MODIFIER CHECKS,0.04,0.17,0.14874980399579452,7286.0,0.15693810256631543,0.1452776544178824,24401.0,0.72,0.23,0.11,0.12,0.26,0.08,0.2,-0.13043478260869568,0.16
ParenPad,0.02,0.17,0.14743602584029614,2627.0,0.1590697648531655,0.14604116762435979,29060.0,0.84,0.08,0.11,0.06,0.09,0.05,0.07,-0.12499999999999989,0.16
EmptyLineSeparator,0.08,0.17,0.14846288752838788,20853.0,0.1436049718170057,0.14026073917656218,10834.0,0.39,0.66,0.11,0.1,0.72,0.1,0.61,-0.0757575757575758,0.16
ParameterName,0.01,0.17,0.13987972600258233,731.0,0.15967116098514322,0.1463207405428632,30956.0,0.88,0.02,0.11,0.13,0.03,0.02,0.02,0.0,0.16
JavadocVariable,0.08,0.17,0.1465339016118057,25311.0,0.1356909235969858,0.14222016313042526,6376.0,0.27,0.8,0.11,0.07,0.85,0.1,0.75,-0.0625,0.16
SummaryJavadoc,0.03,0.17,0.15177906617022888,12114.0,0.15609786081632995,0.14247556892134391,19573.0,0.6,0.38,0.11,0.07,0.41,0.09,0.37,-0.02631578947368418,0.16
SimplifyBooleanReturn,0.0,0.17,0.15799324235787315,123.0,0.15981068103729568,0.14613138333598863,31564.0,0.9,0.0,0.11,0.07,0.0,0.0,0.0,,0.16
AnnotationOnSameLine,0.08,0.17,0.148779886359339,24765.0,0.13854327933655655,0.13432713022179282,6922.0,0.29,0.78,0.11,0.08,0.84,0.1,0.74,-0.05128205128205132,0.16
any-ANNOTATION CHECKS,0.08,0.17,0.14860406185740752,24919.0,0.13813985119852099,0.1346771254905381,6768.0,0.28,0.79,0.11,0.08,0.85,0.1,0.74,-0.06329113924050633,0.16
ImportOrder,0.07,0.17,0.14902771113225802,24883.0,0.13997539635337744,0.13338191251603432,6804.0,0.28,0.79,0.11,0.08,0.85,0.1,0.76,-0.03797468354430378,0.16
any-WHITESPACE CHECKS,0.08,0.16,0.14992651854252578,27548.0,0.13097697216977786,0.11412262576462423,4139.0,0.22,0.87,0.11,0.08,0.94,0.11,0.86,-0.011494252873563204,0.15
Indentation,0.03,0.16,0.1528540463122668,15901.0,0.15612562596231003,0.13903422286386205,15786.0,0.51,0.5,0.11,0.1,0.55,0.1,0.55,0.10000000000000009,0.15
TypecastParenPad,0.01,0.22,0.1421653227946015,31.0,0.15977548431763614,0.1461711509060182,31656.0,0.9,0.0,0.1,-0.02,0.0,0.0,0.0,,0.22
MethodTypeParameterName,0.02,0.2,0.1469400298845051,121.0,0.15967659806419576,0.14615427968434394,31566.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,,0.2
AvoidStarImport,0.05,0.18,0.13122655909994302,4784.0,0.1567053294148048,0.14846232008842486,26903.0,0.78,0.15,0.1,-0.01,0.15,0.06,0.09,-0.4,0.17
MissingDeprecated,0.02,0.17,0.14962535366442242,899.0,0.15943735569292375,0.14605866303413592,30788.0,0.88,0.03,0.1,0.04,0.03,0.02,0.02,-0.33333333333333326,0.16
AbbreviationAsWordInName,0.01,0.17,0.14155689702486693,1247.0,0.15949504291848227,0.14635551331403332,30440.0,0.87,0.04,0.1,0.03,0.04,0.03,0.04,0.0,0.16
ModifierOrder,0.01,0.17,0.1481335923820748,1791.0,0.15940739498672124,0.1460505157680349,29896.0,0.86,0.06,0.1,0.0,0.06,0.04,0.05,-0.16666666666666663,0.16
JavadocStyle,0.03,0.17,0.15115147500529172,9137.0,0.15704490913840177,0.1440224212207056,22550.0,0.67,0.29,0.1,0.05,0.3,0.08,0.28,-0.0344827586206895,0.16
any-CLASS DESIGN CHECKS,0.08,0.17,0.14745328786763642,25012.0,0.13686774847569913,0.1389183090573682,6675.0,0.28,0.79,0.1,0.06,0.83,0.1,0.74,-0.06329113924050633,0.16
DesignForExtension,0.05,0.17,0.14509196106967867,20427.0,0.14931729252279302,0.147551496805873,11260.0,0.39,0.64,0.1,0.03,0.66,0.1,0.59,-0.07812500000000011,0.16
FinalParameters,0.09,0.17,0.14850897644134514,26273.0,0.13205033641011046,0.1307871722391557,5414.0,0.25,0.83,0.1,0.06,0.88,0.1,0.79,-0.04819277108433728,0.16
any-CODING CHECKS,0.09,0.16,0.1479633924406739,28834.0,0.12005464597453125,0.11968165486567364,2853.0,0.18,0.91,0.1,0.05,0.96,0.1,0.89,-0.02197802197802201,0.15
LineLength,0.08,0.16,0.14765251235180518,29984.0,0.1115904613897414,0.1062169870847645,1703.0,0.15,0.95,0.1,0.04,0.98,0.1,0.93,-0.021052631578947323,0.15
any-SIZE VIOLATION CHECKS,0.08,0.16,0.14761024332795253,30061.0,0.11080716015916153,0.10515207553033934,1626.0,0.15,0.95,0.1,0.04,0.98,0.1,0.93,-0.021052631578947323,0.15
any-MISC CHECKS,0.06,0.16,0.1474042140265067,29071.0,0.13109045073643288,0.12833583116903494,2616.0,0.17,0.92,0.1,0.03,0.95,0.1,0.9,-0.021739130434782594,0.15
SimplifyBooleanExpression,0.0,0.16,0.14317367150270582,363.0,0.1598181520612631,0.14621368113600328,31324.0,0.89,0.01,0.1,0.03,0.01,0.01,0.01,0.0,0.15
WriteTag,0.0,0.16,0.14283258562895337,17082.0,0.1592805875026062,0.14999721826714008,14605.0,0.47,0.54,0.1,0.0,0.54,0.09,0.52,-0.03703703703703709,0.15
avg_coupling_java_size,,0.16,0.1461770738063837,31687.0,,,,0.1,1.0,0.1,0.0,1.0,0.1,1.0,0.0,0.15
avg_coupling_size_capped,,0.16,0.1461770738063837,31687.0,,,,0.1,1.0,0.1,0.0,1.0,0.1,1.0,0.0,0.15
avg_coupling_java_size_capped,,0.16,0.1461770738063837,31687.0,,,,0.1,1.0,0.1,0.0,1.0,0.1,1.0,0.0,0.15
ImportControl,-0.0,0.16,0.14616778639169023,31673.0,0.1699211502782931,0.17180416346707222,14.0,0.1,1.0,0.1,0.0,1.0,0.1,1.0,0.0,0.15
any-JAVADOC COMMENTS CHECKS,-0.0,0.16,0.14592413067017623,31319.0,0.16078655469628683,0.16652335044669767,368.0,0.11,0.99,0.1,-0.0,0.99,0.1,0.99,0.0,0.15
any-IMPORT CHECKS,-0.01,0.16,0.14617051922173727,31683.0,0.2618371212121212,0.1866875764619439,4.0,0.1,1.0,0.1,-0.0,1.0,0.1,1.0,0.0,0.15
UnnecessarySemicolonInEnumeration,-0.0,0.16,0.15040367461338602,167.0,0.15985882105965224,0.1461564101966991,31520.0,0.9,0.01,0.1,0.03,0.01,0.01,0.01,0.0,0.15
FileTabCharacter,-0.06,0.14,0.1571255741384537,7630.0,0.1647750029492551,0.1421763717286656,24057.0,0.71,0.24,0.1,0.01,0.24,0.08,0.35,0.45833333333333326,0.12
SingleLineJavadoc,0.01,0.17,0.13165318051624433,432.0,0.15962956672534248,0.1463591484586313,31255.0,0.89,0.01,0.09,-0.09,0.01,0.01,0.01,0.0,0.16
MissingJavadocMethod,-0.01,0.16,0.14011531243023811,22149.0,0.161327616380469,0.15936445605008823,9538.0,0.33,0.7,0.09,-0.07,0.65,0.09,0.66,-0.05714285714285705,0.15
any-UNNECESSARY CHECKS,-0.0,0.16,0.14237641388593608,208.0,0.15985547388703508,0.1462038217795013,31479.0,0.9,0.01,0.09,-0.08,0.01,0.01,0.01,0.0,0.15
MissingCtor,-0.03,0.15,0.14469557438409233,12130.0,0.16290101866982476,0.14700858957974358,19557.0,0.59,0.38,0.09,-0.08,0.35,0.08,0.39,0.026315789473684292,0.14
MissingJavadocType,-0.04,0.15,0.13867298841450865,14647.0,0.16486511418550706,0.15215638794428338,17040.0,0.52,0.46,0.09,-0.1,0.41,0.08,0.47,0.021739130434782483,0.14
InterfaceMemberImpliedModifier,-0.02,0.15,0.13959037076059672,3037.0,0.16083260844002514,0.14682488274499714,28650.0,0.82,0.1,0.09,-0.12,0.08,0.04,0.1,0.0,0.14
HideUtilityClassConstructor,-0.02,0.15,0.1490537191448469,1962.0,0.16051663873300248,0.14596198250698195,29725.0,0.85,0.06,0.09,-0.06,0.06,0.04,0.08,0.3333333333333335,0.14
MutableException,0.01,0.18,0.11739513283320223,36.0,0.15980777429300996,0.14620600066632816,31651.0,0.9,0.0,0.08,-0.16,0.0,0.0,0.0,,0.17
