feature,Pearson
file_ccp_cmp,1.0
JavadocStyle_cmp,0.2141242368762567
EmptyLineSeparator_cmp,0.20002088620712735
MissingJavadocMethod_cmp,0.1453969844254877
HiddenField_cmp,0.13809378592652238
AtclauseOrder_cmp,0.1353746518211383
AnnotationOnSameLine_cmp,0.12940288610218717
TrailingComment_cmp,0.12698816550973946
ReturnCount_cmp,0.12539832599549208
JavadocMethod_cmp,0.11422398581758023
MagicNumber_cmp,0.11203940124358973
SummaryJavadoc_cmp,0.1119370165742203
JavaNCSS_cmp,0.10892394786662048
ExecutableStatementCount_cmp,0.10739297163087136
CyclomaticComplexity_cmp,0.1006820403885244
NestedIfDepth_cmp,0.09992108870294032
JavadocParagraph_cmp,0.09941069827008807
FinalParameters_cmp,0.09785352819890657
NonEmptyAtclauseDescription_cmp,0.09756871623369542
WhitespaceAround_cmp,0.09707159576148944
FinalLocalVariable_cmp,0.09513594069155946
MultipleStringLiterals_cmp,0.09459259951384048
NPathComplexity_cmp,0.09212777572592157
DesignForExtension_cmp,0.09144789453126409
AnonInnerLength_cmp,0.08914929976191648
ParameterAssignment_cmp,0.08730289496446825
WriteTag_cmp,0.08491332757730666
ClassDataAbstractionCoupling_cmp,0.0848953527384074
UnnecessaryParentheses_cmp,0.08378746234740575
IllegalCatch_cmp,0.08203857083468731
MissingCtor_cmp,0.0818434403909587
MissingJavadocType_cmp,0.08033631205130864
EmptyCatchBlock_cmp,0.08014190935117177
InnerAssignment_cmp,0.07565692036529831
VisibilityModifier_cmp,0.07555779250093524
ClassFanOutComplexity_cmp,0.0750784419293466
SingleSpaceSeparator_cmp,0.07340809834636285
AvoidInlineConditionals_cmp,0.07278099631627843
Indentation_cmp,0.07036732154191842
ExplicitInitialization_cmp,0.06970032031468176
LocalFinalVariableName_cmp,0.06947808873264996
AvoidNestedBlocks_cmp,0.06662568528380017
IllegalType_cmp,0.06598844644979233
AvoidStaticImport_cmp,0.06553730050860963
NeedBraces_cmp,0.06503379615429919
BooleanExpressionComplexity_cmp,0.06387258800791278
AvoidStarImport_cmp,0.06358141594810011
FileLength_cmp,0.06297384040268644
MethodLength_cmp,0.06007773789836914
InnerTypeLast_cmp,0.05921948504984608
NoWhitespaceAfter_cmp,0.05837009668808029
IllegalToken_cmp,0.058339361212469305
LocalVariableName_cmp,0.05735938658869124
TodoComment_cmp,0.056698211662099575
RedundantModifier_cmp,0.05154679577181869
MethodName_cmp,0.05084262380107605
ClassMemberImpliedModifier_cmp,0.05057394435523174
MultipleVariableDeclarations_cmp,0.0497439575265822
MissingSwitchDefault_cmp,0.04932731155655649
FallThrough_cmp,0.04856124153064002
OneStatementPerLine_cmp,0.0477778715752312
CatchParameterName_cmp,0.047003979768769945
NestedForDepth_cmp,0.04634183515262602
ConstantName_cmp,0.04449099390834095
ParenPad_cmp,0.04373273348873108
SuperClone_cmp,0.04288536910184323
HideUtilityClassConstructor_cmp,0.04220283615835421
ParameterNumber_cmp,0.04172261929561913
