feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
MethodParamPad,33,13395,65,9035,22528,0.6,0.4,0.0,0.34,-0.16,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.04,0.0,
ParameterName,22,13417,43,9046,22528,0.6,0.4,0.0,0.34,-0.16,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,
DefaultComesLast,1,13458,2,9067,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
EmptyForInitializerPad,1,13458,2,9067,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
FileLength,6,13448,12,9062,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
InterfaceIsType,1,13458,2,9067,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
NestedForDepth,25,13410,50,9043,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,
InnerAssignment,28,13403,57,9040,22528,0.6,0.4,0.0,0.33,-0.18,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.04,0.0,
CatchParameterName,37,13383,77,9031,22528,0.6,0.4,0.01,0.32,-0.19,0.0,0.01,0.0,0.6,-0.0,-0.0,0.97,0.05,0.0,
BooleanExpressionComplexity,43,13367,93,9025,22528,0.6,0.4,0.01,0.32,-0.21,0.0,0.01,0.0,0.6,-0.0,-0.0,0.97,0.05,0.0,
FileTabCharacter,162,13106,354,8906,22528,0.59,0.4,0.02,0.31,-0.22,0.02,0.03,0.02,0.59,-0.01,-0.01,0.97,0.16,0.0,
UpperEll,5,13449,11,9063,22528,0.6,0.4,0.0,0.31,-0.22,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
FinalClass,31,13391,69,9037,22528,0.6,0.4,0.0,0.31,-0.23,0.0,0.01,0.0,0.6,-0.0,-0.0,0.97,0.04,0.0,
InvalidJavadocPosition,47,13356,104,9021,22528,0.59,0.4,0.01,0.31,-0.23,0.01,0.01,0.01,0.6,-0.0,-0.0,0.97,0.06,0.0,
NoWhitespaceBefore,104,13222,238,8964,22528,0.59,0.4,0.02,0.3,-0.24,0.01,0.02,0.01,0.59,-0.01,-0.01,0.97,0.11,0.0,
