Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_prev_touch_ago,cond_mean_diff_prev_touch_ago,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
105,NPathComplexity,1068.0,20104.0,4672.0,7191.0,33035.0,0.64,0.25,0.17,0.19,-0.26,0.13,0.19,0.08,0.66,-0.03,-0.15,0.81,0.67,0.0,,166,13151,309,8902,22528,0.59,0.4,0.02,0.35,-0.13,0.02,0.02,0.02,0.59,-0.0,-0.01,0.97,0.15,0.0,,31591.660773365536,-5226.12258695962,False,0.4066225607834967,0.05000000000000005,5017,251,8455,124895,13027,114503,260880,0.51,0.47,0.08,0.39,-0.16,0.07,0.09,0.06,0.52,-0.02,-0.03,1.0,0.41,0.0,,86,438.0,10955.0,1290.0,3851.0,16534.0,0.69,0.26,0.1,0.25,-0.02,0.1,0.11,0.08,0.69,-0.0,-0.07,0.83,0.48,0.0,,12,5.0,5703.0,3.0,2725.0,8436.0,0.68,0.32,0.0,0.62,0.93,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.01,0.0,,47,625.0,3446.0,3379.0,615.0,8065.0,0.5,0.15,0.5,0.16,0.02,0.5,0.5,0.14,0.5,0.0,-0.4,0.62,1.0,0.0,
106,EmptyStatement,57.0,24519.0,257.0,8202.0,33035.0,0.74,0.25,0.01,0.18,-0.27,0.01,0.01,0.01,0.75,-0.0,-0.01,0.81,0.08,0.0,,34,13428,32,9034,22528,0.6,0.4,0.0,0.52,0.28,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.03,0.0,,31579.09691020757,-5238.686450117584,False,0.15811671923211876,0.21,223,61,661,137029,893,122297,260880,0.53,0.47,0.01,0.43,-0.1,0.01,0.01,0.01,0.53,-0.0,-0.0,1.0,0.05,0.0,,112,20.0,12180.0,65.0,4269.0,16534.0,0.74,0.26,0.01,0.24,-0.09,0.0,0.01,0.0,0.74,-0.0,-0.0,0.83,0.05,0.0,,128,0.0,5703.0,3.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,38,37.0,6636.0,189.0,1203.0,8065.0,0.83,0.15,0.03,0.16,0.06,0.03,0.03,0.03,0.83,0.0,-0.02,0.62,0.18,0.0,
107,NewlineAtEndOfFile,411.0,22940.0,1836.0,7848.0,33035.0,0.71,0.25,0.07,0.18,-0.27,0.05,0.07,0.04,0.72,-0.01,-0.06,0.81,0.36,0.0,,70,13341,119,8998,22528,0.6,0.4,0.01,0.37,-0.08,0.01,0.01,0.01,0.6,-0.0,-0.0,0.97,0.07,0.0,,29343.94722265395,-7473.836137671208,False,-0.02654618144565604,0.13,1310,189,2826,135229,2693,120132,260880,0.53,0.47,0.02,0.51,0.09,0.02,0.02,0.02,0.53,0.0,0.0,1.0,0.15,0.0,,124,211.0,11471.0,774.0,4078.0,16534.0,0.71,0.26,0.06,0.21,-0.17,0.05,0.06,0.04,0.71,-0.01,-0.05,0.83,0.33,0.0,,118,135.0,5018.0,688.0,2595.0,8436.0,0.61,0.32,0.1,0.16,-0.49,0.05,0.12,0.04,0.64,-0.05,-0.1,0.91,0.46,0.01,,80,65.0,6451.0,374.0,1175.0,8065.0,0.81,0.15,0.05,0.15,-0.04,0.05,0.05,0.04,0.81,-0.0,-0.05,0.62,0.3,0.0,
108,JavaNCSS,892.0,20734.0,4042.0,7367.0,33035.0,0.65,0.25,0.15,0.18,-0.28,0.11,0.16,0.07,0.68,-0.03,-0.13,0.81,0.61,0.0,,133,13206,254,8935,22528,0.59,0.4,0.02,0.34,-0.15,0.01,0.02,0.01,0.59,-0.0,-0.01,0.97,0.13,0.0,,31241.43114097259,-5576.352219352569,False,0.4583635533765757,0.05000000000000005,4425,211,7134,123910,14012,115824,260880,0.5,0.47,0.08,0.34,-0.28,0.06,0.1,0.05,0.52,-0.04,-0.05,1.0,0.41,0.0,,91,312.0,11324.0,921.0,3977.0,16534.0,0.7,0.26,0.07,0.25,-0.02,0.07,0.08,0.06,0.7,-0.0,-0.05,0.83,0.38,0.0,,69,1.0,5704.0,2.0,2729.0,8436.0,0.68,0.32,0.0,0.33,0.03,0.0,0.0,0.0,0.68,0.0,-0.0,0.91,0.0,0.0,,49,579.0,3706.0,3119.0,661.0,8065.0,0.53,0.15,0.46,0.16,0.02,0.47,0.46,0.13,0.53,0.0,-0.37,0.62,1.0,0.0,
109,VariableDeclarationUsageDistance,591.0,22076.0,2700.0,7668.0,33035.0,0.69,0.25,0.1,0.18,-0.28,0.07,0.11,0.05,0.7,-0.02,-0.09,0.81,0.47,0.0,,180,13203,257,8888,22528,0.59,0.4,0.02,0.41,0.02,0.02,0.02,0.02,0.59,0.0,-0.01,0.97,0.14,0.0,,30771.969420914225,-6045.813939410931,False,0.20407302522344298,0.08999999999999997,2859,271,5296,130932,6990,117662,260880,0.52,0.47,0.05,0.43,-0.09,0.04,0.05,0.04,0.53,-0.01,-0.01,1.0,0.27,0.0,,110,252.0,11440.0,805.0,4037.0,16534.0,0.71,0.26,0.06,0.24,-0.08,0.06,0.07,0.05,0.71,-0.0,-0.05,0.83,0.34,0.0,,38,16.0,5684.0,22.0,2714.0,8436.0,0.68,0.32,0.0,0.42,0.3,0.01,0.0,0.01,0.67,0.0,-0.0,0.91,0.04,0.0,,81,323.0,4952.0,1873.0,917.0,8065.0,0.65,0.15,0.27,0.15,-0.04,0.26,0.27,0.1,0.66,-0.01,-0.23,0.62,0.84,0.0,
110,EmptyCatchBlock,195.0,23887.0,889.0,8064.0,33035.0,0.73,0.25,0.03,0.18,-0.28,0.02,0.04,0.02,0.73,-0.01,-0.03,0.81,0.21,0.0,,79,13359,101,8989,22528,0.6,0.4,0.01,0.44,0.09,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.07,0.0,,30924.19770482388,-5893.58565550128,False,0.1149158892609308,0.09999999999999998,933,103,2970,133625,4297,119988,260880,0.52,0.47,0.03,0.41,-0.13,0.02,0.03,0.02,0.53,-0.01,-0.01,1.0,0.18,0.0,,48,81.0,12044.0,201.0,4208.0,16534.0,0.73,0.26,0.02,0.29,0.11,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.12,0.0,,105,3.0,5697.0,9.0,2727.0,8436.0,0.68,0.32,0.0,0.25,-0.23,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.02,0.0,,103,111.0,6146.0,679.0,1129.0,8065.0,0.78,0.15,0.1,0.14,-0.09,0.09,0.1,0.06,0.78,-0.0,-0.08,0.62,0.46,0.0,
111,DefaultComesLast,17.0,24697.0,79.0,8242.0,33035.0,0.75,0.25,0.0,0.18,-0.29,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.03,0.0,,1,13458,2,9067,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,30155.61388569127,-6662.169474633887,False,0.03068982610394488,0.010000000000000007,66,1,1438,136612,1310,121520,260880,0.53,0.47,0.01,0.52,0.11,0.01,0.01,0.01,0.53,0.0,0.0,1.0,0.08,0.0,,3,8.0,12237.0,8.0,4281.0,16534.0,0.74,0.26,0.0,0.5,0.93,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.01,0.0,,133,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,133,9.0,6754.0,71.0,1231.0,8065.0,0.84,0.15,0.01,0.11,-0.27,0.01,0.01,0.01,0.84,-0.0,-0.01,0.62,0.08,0.0,
112,SeparatorWrap,2029.0,15230.0,9546.0,6230.0,33035.0,0.52,0.25,0.35,0.18,-0.3,0.25,0.39,0.11,0.57,-0.09,-0.3,0.81,0.93,0.01,,396,12902,558,8672,22528,0.59,0.4,0.04,0.42,0.03,0.04,0.04,0.04,0.59,0.0,-0.01,0.97,0.25,0.0,,30465.15070485809,-6352.632655467063,False,0.3890301774441552,0.040000000000000036,7873,320,13253,112256,25666,109705,260880,0.48,0.47,0.15,0.34,-0.28,0.11,0.19,0.09,0.52,-0.08,-0.09,1.0,0.61,0.01,,130,1192.0,7483.0,4762.0,3097.0,16534.0,0.52,0.26,0.36,0.2,-0.23,0.28,0.39,0.13,0.57,-0.08,-0.29,0.83,0.94,0.01,,110,273.0,4678.0,1028.0,2457.0,8436.0,0.59,0.32,0.15,0.21,-0.35,0.1,0.18,0.07,0.62,-0.06,-0.13,0.91,0.62,0.01,,117,564.0,3069.0,3756.0,676.0,8065.0,0.45,0.15,0.54,0.13,-0.15,0.45,0.55,0.11,0.48,-0.05,-0.47,0.62,1.0,0.0,
113,MissingSwitchDefault,313.0,23294.0,1482.0,7946.0,33035.0,0.71,0.25,0.05,0.17,-0.3,0.04,0.06,0.03,0.72,-0.01,-0.05,0.81,0.3,0.0,,56,13366,94,9012,22528,0.6,0.4,0.01,0.37,-0.07,0.01,0.01,0.01,0.6,-0.0,-0.0,0.97,0.06,0.0,,30058.606798288707,-6759.17656203645,False,0.20858976099712515,0.06000000000000005,1537,97,4167,131661,6261,118791,260880,0.52,0.47,0.04,0.4,-0.15,0.03,0.05,0.03,0.53,-0.01,-0.02,1.0,0.24,0.0,,117,131.0,11799.0,446.0,4158.0,16534.0,0.72,0.26,0.03,0.23,-0.12,0.03,0.04,0.03,0.72,-0.0,-0.03,0.83,0.22,0.0,,61,12.0,5685.0,21.0,2718.0,8436.0,0.68,0.32,0.0,0.36,0.12,0.0,0.0,0.0,0.68,0.0,-0.0,0.91,0.04,0.0,,94,170.0,5810.0,1015.0,1070.0,8065.0,0.74,0.15,0.15,0.14,-0.07,0.14,0.15,0.08,0.74,-0.0,-0.12,0.62,0.6,0.0,
114,AnnotationUseStyle,147.0,24087.0,689.0,8112.0,33035.0,0.73,0.25,0.03,0.18,-0.3,0.02,0.03,0.02,0.74,-0.01,-0.02,0.81,0.17,0.0,,31,13411,49,9037,22528,0.6,0.4,0.0,0.39,-0.04,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,,29806.093357480386,-7011.690002844767,False,0.034857251118801766,0.07999999999999996,580,53,1754,135664,2258,121204,260880,0.53,0.47,0.02,0.44,-0.07,0.01,0.02,0.01,0.53,-0.0,-0.0,1.0,0.11,0.0,,129,87.0,11901.0,344.0,4202.0,16534.0,0.73,0.26,0.03,0.2,-0.22,0.02,0.03,0.02,0.73,-0.0,-0.02,0.83,0.17,0.0,,102,28.0,5624.0,82.0,2702.0,8436.0,0.67,0.32,0.01,0.25,-0.21,0.01,0.01,0.01,0.67,-0.0,-0.01,0.91,0.1,0.0,,134,32.0,6562.0,263.0,1208.0,8065.0,0.82,0.15,0.04,0.11,-0.29,0.03,0.04,0.02,0.82,-0.0,-0.03,0.62,0.23,0.0,
