Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_prev_touch_ago,cond_mean_diff_prev_touch_ago,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
115,InnerTypeLast,597.0,21892.0,2884.0,7662.0,33035.0,0.68,0.25,0.11,0.17,-0.31,0.07,0.12,0.05,0.7,-0.02,-0.09,0.81,0.49,0.0,,206,13195,265,8862,22528,0.59,0.4,0.02,0.44,0.09,0.02,0.02,0.02,0.59,0.0,-0.0,0.97,0.15,0.0,,31005.53839749408,-5812.244962831079,False,0.5533627336094781,0.06000000000000005,3006,196,6402,128646,9276,116556,260880,0.52,0.47,0.06,0.41,-0.13,0.05,0.07,0.05,0.53,-0.01,-0.02,1.0,0.33,0.0,,111,278.0,11351.0,894.0,4011.0,16534.0,0.7,0.26,0.07,0.24,-0.09,0.06,0.07,0.05,0.71,-0.0,-0.05,0.83,0.37,0.0,,100,23.0,5642.0,64.0,2707.0,8436.0,0.67,0.32,0.01,0.26,-0.18,0.01,0.01,0.01,0.67,-0.0,-0.01,0.91,0.08,0.0,,110,296.0,4899.0,1926.0,944.0,8065.0,0.64,0.15,0.28,0.13,-0.13,0.24,0.28,0.09,0.66,-0.02,-0.24,0.62,0.85,0.0,
116,OverloadMethodsDeclarationOrder,540.0,22187.0,2589.0,7719.0,33035.0,0.69,0.25,0.09,0.17,-0.31,0.07,0.1,0.05,0.7,-0.02,-0.08,0.81,0.45,0.0,,127,13266,194,8941,22528,0.59,0.4,0.01,0.4,-0.02,0.01,0.01,0.01,0.59,-0.0,-0.0,0.97,0.11,0.0,,30511.194278193994,-6306.589082131162,False,0.7048811835996962,0.06999999999999995,2758,198,6141,127155,10767,116817,260880,0.51,0.47,0.06,0.36,-0.23,0.05,0.08,0.05,0.52,-0.03,-0.03,1.0,0.35,0.0,,93,246.0,11515.0,730.0,4043.0,16534.0,0.71,0.26,0.06,0.25,-0.03,0.06,0.06,0.05,0.71,-0.0,-0.04,0.83,0.32,0.0,,50,19.0,5677.0,29.0,2711.0,8436.0,0.68,0.32,0.01,0.4,0.22,0.01,0.01,0.01,0.67,0.0,-0.0,0.91,0.05,0.0,,119,275.0,4995.0,1830.0,965.0,8065.0,0.65,0.15,0.26,0.13,-0.15,0.22,0.27,0.09,0.67,-0.02,-0.23,0.62,0.83,0.0,
117,ClassMemberImpliedModifier,388.0,22908.0,1868.0,7871.0,33035.0,0.71,0.25,0.07,0.17,-0.31,0.05,0.08,0.04,0.72,-0.01,-0.06,0.81,0.36,0.0,,44,13393,67,9024,22528,0.6,0.4,0.0,0.4,-0.02,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.04,0.0,,30596.752654086333,-6221.0307062388265,False,0.7404934756014749,0.040000000000000036,1877,77,3954,133026,4896,119004,260880,0.53,0.47,0.03,0.45,-0.05,0.03,0.04,0.03,0.53,-0.0,-0.01,1.0,0.21,0.0,,118,197.0,11565.0,680.0,4092.0,16534.0,0.71,0.26,0.05,0.22,-0.13,0.05,0.06,0.04,0.72,-0.01,-0.04,0.83,0.3,0.0,,101,21.0,5646.0,60.0,2709.0,8436.0,0.67,0.32,0.01,0.26,-0.2,0.01,0.01,0.01,0.67,-0.0,-0.01,0.91,0.08,0.0,,118,170.0,5697.0,1128.0,1070.0,8065.0,0.73,0.15,0.16,0.13,-0.15,0.14,0.17,0.07,0.73,-0.01,-0.14,0.62,0.64,0.0,
118,TodoComment,433.0,22683.0,2093.0,7826.0,33035.0,0.7,0.25,0.08,0.17,-0.31,0.05,0.08,0.04,0.71,-0.02,-0.07,0.81,0.39,0.0,,149,13217,243,8919,22528,0.59,0.4,0.02,0.38,-0.06,0.02,0.02,0.02,0.59,-0.0,-0.01,0.97,0.13,0.0,,31073.370192721788,-5744.413167603366,False,0.1094237452549462,0.11,2077,259,2431,133720,4202,120527,260880,0.52,0.47,0.03,0.37,-0.22,0.02,0.03,0.02,0.53,-0.01,-0.01,1.0,0.17,0.0,,121,211.0,11499.0,746.0,4078.0,16534.0,0.71,0.26,0.06,0.22,-0.15,0.05,0.06,0.04,0.71,-0.01,-0.04,0.83,0.32,0.0,,51,42.0,5640.0,66.0,2688.0,8436.0,0.67,0.32,0.01,0.39,0.2,0.02,0.01,0.02,0.67,0.0,-0.0,0.91,0.1,0.0,,125,180.0,5544.0,1281.0,1060.0,8065.0,0.71,0.15,0.18,0.12,-0.2,0.15,0.19,0.07,0.72,-0.02,-0.16,0.62,0.68,0.0,
119,RequireThis,8.0,24737.0,39.0,8251.0,33035.0,0.75,0.25,0.0,0.17,-0.32,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.02,0.0,,2,13454,6,9066,22528,0.6,0.4,0.0,0.25,-0.38,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,29713.530643630264,-7104.252716694893,False,0.048233006646089316,0.13,48,7,97,137634,288,122861,260880,0.53,0.47,0.0,0.25,-0.47,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.02,0.0,,18,2.0,12241.0,4.0,4287.0,16534.0,0.74,0.26,0.0,0.33,0.28,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.0,0.0,,144,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,89,6.0,6790.0,35.0,1234.0,8065.0,0.84,0.15,0.01,0.15,-0.05,0.0,0.01,0.0,0.84,-0.0,-0.0,0.62,0.05,0.0,
120,ParameterNumber,423.0,22695.0,2081.0,7836.0,33035.0,0.7,0.25,0.08,0.17,-0.32,0.05,0.08,0.04,0.71,-0.02,-0.07,0.81,0.39,0.0,,93,13375,85,8975,22528,0.6,0.4,0.01,0.52,0.3,0.01,0.01,0.01,0.6,0.0,0.0,0.97,0.07,0.0,,30485.64194452989,-6332.141415795269,False,0.0874238877554528,0.05000000000000005,2199,123,3284,133506,4416,119674,260880,0.52,0.47,0.03,0.43,-0.1,0.03,0.03,0.03,0.53,-0.01,-0.01,1.0,0.19,0.0,,127,214.0,11444.0,801.0,4075.0,16534.0,0.71,0.26,0.06,0.21,-0.19,0.05,0.07,0.04,0.71,-0.01,-0.05,0.83,0.33,0.0,,106,23.0,5631.0,75.0,2707.0,8436.0,0.67,0.32,0.01,0.23,-0.27,0.01,0.01,0.01,0.67,-0.0,-0.01,0.91,0.09,0.0,,112,186.0,5620.0,1205.0,1054.0,8065.0,0.72,0.15,0.17,0.13,-0.13,0.15,0.18,0.08,0.73,-0.01,-0.15,0.62,0.66,0.0,
121,MethodLength,326.0,23083.0,1693.0,7933.0,33035.0,0.71,0.25,0.06,0.16,-0.35,0.04,0.07,0.03,0.72,-0.02,-0.06,0.81,0.33,0.0,,59,13367,93,9009,22528,0.6,0.4,0.01,0.39,-0.04,0.01,0.01,0.01,0.6,-0.0,-0.0,0.97,0.06,0.0,,29535.411814309082,-7282.37154601607,False,0.3238528755431664,0.05000000000000005,1899,106,3222,131695,6227,119736,260880,0.52,0.47,0.04,0.34,-0.28,0.03,0.05,0.02,0.53,-0.02,-0.02,1.0,0.22,0.0,,61,64.0,12071.0,174.0,4225.0,16534.0,0.73,0.26,0.01,0.27,0.04,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.11,0.0,,134,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,84,262.0,5306.0,1519.0,978.0,8065.0,0.69,0.15,0.22,0.15,-0.04,0.21,0.22,0.09,0.69,-0.0,-0.18,0.62,0.76,0.0,
122,AvoidStaticImport,1142.0,18841.0,5935.0,7117.0,33035.0,0.6,0.25,0.21,0.16,-0.35,0.14,0.24,0.08,0.64,-0.06,-0.19,0.81,0.75,0.01,,248,13168,292,8820,22528,0.6,0.4,0.02,0.46,0.14,0.03,0.02,0.03,0.59,0.0,-0.0,0.97,0.16,0.0,,29774.75033971162,-7043.033020613538,False,0.11407074368249352,0.040000000000000036,4952,233,8337,128825,9097,114621,260880,0.53,0.47,0.07,0.48,0.01,0.07,0.07,0.06,0.52,0.0,-0.01,1.0,0.35,0.0,,132,672.0,9325.0,2920.0,3617.0,16534.0,0.6,0.26,0.22,0.19,-0.28,0.16,0.24,0.09,0.64,-0.05,-0.18,0.83,0.76,0.01,,112,162.0,5027.0,679.0,2568.0,8436.0,0.62,0.32,0.1,0.19,-0.4,0.06,0.12,0.05,0.64,-0.04,-0.09,0.91,0.47,0.01,,130,308.0,4489.0,2336.0,932.0,8065.0,0.59,0.15,0.33,0.12,-0.24,0.25,0.34,0.09,0.62,-0.04,-0.3,0.62,0.91,0.0,
123,EmptyBlock,136.0,24081.0,695.0,8123.0,33035.0,0.73,0.25,0.03,0.16,-0.35,0.02,0.03,0.02,0.74,-0.01,-0.02,0.81,0.17,0.0,,54,13382,78,9014,22528,0.6,0.4,0.01,0.41,0.02,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.05,0.0,,30056.79751761899,-6760.985842706165,False,0.5361055294269682,0.13,709,107,1567,135729,2193,121391,260880,0.53,0.47,0.01,0.42,-0.12,0.01,0.02,0.01,0.53,-0.0,-0.0,1.0,0.11,0.0,,62,54.0,12099.0,146.0,4235.0,16534.0,0.74,0.26,0.01,0.27,0.04,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.09,0.0,,87,3.0,5699.0,7.0,2727.0,8436.0,0.68,0.32,0.0,0.3,-0.07,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.01,0.0,,122,79.0,6283.0,542.0,1161.0,8065.0,0.79,0.15,0.08,0.13,-0.17,0.06,0.08,0.04,0.79,-0.01,-0.07,0.62,0.39,0.0,
124,LocalFinalVariableName,114.0,24189.0,587.0,8145.0,33035.0,0.74,0.25,0.02,0.16,-0.35,0.01,0.02,0.01,0.74,-0.01,-0.02,0.81,0.15,0.0,,32,13438,22,9036,22528,0.6,0.4,0.0,0.59,0.47,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.02,0.0,,29910.522126504533,-6907.261233820624,False,0.10357026523971516,0.06000000000000005,588,37,3201,133851,4071,119757,260880,0.53,0.47,0.03,0.44,-0.07,0.03,0.03,0.03,0.53,-0.0,-0.01,1.0,0.18,0.0,,95,47.0,12105.0,140.0,4242.0,16534.0,0.73,0.26,0.01,0.25,-0.03,0.01,0.01,0.01,0.74,-0.0,-0.01,0.83,0.09,0.0,,127,2.0,5604.0,102.0,2728.0,8436.0,0.66,0.32,0.01,0.02,-0.94,0.0,0.02,0.0,0.67,-0.01,-0.02,0.91,0.1,0.01,,45,65.0,6480.0,345.0,1175.0,8065.0,0.81,0.15,0.05,0.16,0.03,0.05,0.05,0.04,0.81,0.0,-0.04,0.62,0.29,0.0,
125,PackageName,14.0,24703.0,73.0,8245.0,33035.0,0.75,0.25,0.0,0.16,-0.36,0.0,0.0,0.0,0.75,-0.0,-0.0,0.81,0.03,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,27795.970295528736,-9021.81306479642,False,0.004636186208283284,0.0,34,0,50,137914,8,122908,260880,0.53,0.47,0.0,0.86,0.83,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,,109,11.0,12210.0,35.0,4278.0,16534.0,0.74,0.26,0.0,0.24,-0.08,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.03,0.0,,25,1.0,5705.0,1.0,2729.0,8436.0,0.68,0.32,0.0,0.5,0.55,0.0,0.0,0.0,0.68,0.0,-0.0,0.91,0.0,0.0,,145,2.0,6788.0,37.0,1238.0,8065.0,0.84,0.15,0.0,0.05,-0.67,0.0,0.01,0.0,0.84,-0.0,-0.01,0.62,0.04,0.0,
126,AvoidStarImport,782.0,20654.0,4122.0,7477.0,33035.0,0.65,0.25,0.15,0.16,-0.36,0.09,0.17,0.06,0.68,-0.04,-0.13,0.81,0.61,0.01,,175,13216,244,8893,22528,0.59,0.4,0.02,0.42,0.04,0.02,0.02,0.02,0.59,0.0,-0.01,0.97,0.13,0.0,,29410.940663212965,-7406.842697112194,False,0.10657445009843868,0.07999999999999996,3345,297,4462,131924,5998,118496,260880,0.52,0.47,0.04,0.43,-0.09,0.04,0.04,0.03,0.53,-0.01,-0.01,1.0,0.24,0.0,,135,445.0,10171.0,2074.0,3844.0,16534.0,0.64,0.26,0.15,0.18,-0.32,0.1,0.17,0.07,0.67,-0.04,-0.13,0.83,0.62,0.0,,113,73.0,5401.0,305.0,2657.0,8436.0,0.65,0.32,0.04,0.19,-0.4,0.03,0.05,0.02,0.66,-0.02,-0.04,0.91,0.26,0.0,,115,264.0,5082.0,1743.0,976.0,8065.0,0.66,0.15,0.25,0.13,-0.14,0.21,0.26,0.09,0.67,-0.02,-0.22,0.62,0.81,0.0,
127,NestedTryDepth,68.0,24409.0,367.0,8191.0,33035.0,0.74,0.25,0.01,0.16,-0.37,0.01,0.01,0.01,0.74,-0.0,-0.01,0.81,0.1,0.0,,13,13427,33,9055,22528,0.6,0.4,0.0,0.28,-0.3,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.02,0.0,,29531.03199109448,-7286.751369230675,False,0.09311845760583204,0.06999999999999995,381,29,503,136825,1097,122455,260880,0.53,0.47,0.01,0.31,-0.33,0.0,0.01,0.0,0.53,-0.0,-0.0,1.0,0.05,0.0,,47,31.0,12170.0,75.0,4258.0,16534.0,0.74,0.26,0.01,0.29,0.13,0.01,0.01,0.01,0.74,0.0,-0.0,0.83,0.06,0.0,,132,0.0,5705.0,1.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,132,37.0,6534.0,291.0,1203.0,8065.0,0.81,0.15,0.04,0.11,-0.27,0.03,0.04,0.02,0.82,-0.0,-0.04,0.62,0.25,0.0,
128,AvoidNestedBlocks,139.0,24031.0,745.0,8120.0,33035.0,0.73,0.25,0.03,0.16,-0.37,0.02,0.03,0.02,0.74,-0.01,-0.02,0.81,0.18,0.0,,31,13417,43,9037,22528,0.6,0.4,0.0,0.42,0.04,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.03,0.0,,29820.071452660162,-6997.711907664994,False,0.5807526267633798,0.06000000000000005,767,47,3323,132730,5192,119635,260880,0.52,0.47,0.03,0.39,-0.17,0.03,0.04,0.03,0.53,-0.01,-0.01,1.0,0.21,0.0,,120,47.0,12079.0,166.0,4242.0,16534.0,0.73,0.26,0.01,0.22,-0.15,0.01,0.01,0.01,0.73,-0.0,-0.01,0.83,0.1,0.0,,10,8.0,5702.0,4.0,2722.0,8436.0,0.68,0.32,0.0,0.67,1.06,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.02,0.0,,121,84.0,6250.0,575.0,1156.0,8065.0,0.79,0.15,0.08,0.13,-0.17,0.07,0.08,0.05,0.79,-0.01,-0.07,0.62,0.41,0.0,
129,ModifiedControlVariable,72.0,24391.0,385.0,8187.0,33035.0,0.74,0.25,0.01,0.16,-0.37,0.01,0.02,0.01,0.74,-0.0,-0.01,0.81,0.11,0.0,,21,13430,30,9047,22528,0.6,0.4,0.0,0.41,0.02,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,,30226.867511955195,-6590.915848369961,False,0.0705572182552125,0.08999999999999997,450,42,1380,135761,2161,121578,260880,0.53,0.47,0.01,0.39,-0.17,0.01,0.02,0.01,0.53,-0.0,-0.01,1.0,0.1,0.0,,75,26.0,12171.0,74.0,4263.0,16534.0,0.74,0.26,0.01,0.26,0.0,0.01,0.01,0.01,0.74,0.0,-0.0,0.83,0.05,0.0,,143,0.0,5703.0,3.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,116,46.0,6517.0,308.0,1194.0,8065.0,0.81,0.15,0.04,0.13,-0.15,0.04,0.05,0.03,0.82,-0.0,-0.04,0.62,0.26,0.0,
130,ClassDataAbstractionCoupling,990.0,19488.0,5288.0,7269.0,33035.0,0.62,0.25,0.19,0.16,-0.37,0.12,0.21,0.07,0.65,-0.05,-0.17,0.81,0.7,0.01,,91,13293,167,8977,22528,0.59,0.4,0.01,0.35,-0.12,0.01,0.01,0.01,0.6,-0.0,-0.01,0.97,0.09,0.0,,29675.092007256073,-7142.6913530690845,False,0.2270697427029375,0.040000000000000036,5745,248,5913,124991,12931,117045,260880,0.5,0.47,0.07,0.31,-0.33,0.05,0.09,0.04,0.52,-0.04,-0.05,1.0,0.37,0.01,,125,403.0,10775.0,1470.0,3886.0,16534.0,0.68,0.26,0.11,0.22,-0.17,0.09,0.12,0.07,0.69,-0.01,-0.09,0.83,0.51,0.0,,111,6.0,5682.0,24.0,2724.0,8436.0,0.67,0.32,0.0,0.2,-0.38,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.03,0.0,,113,581.0,3031.0,3794.0,659.0,8065.0,0.45,0.15,0.54,0.13,-0.14,0.47,0.56,0.12,0.47,-0.05,-0.47,0.62,0.99,0.0,
131,NestedForDepth,121.0,24122.0,654.0,8138.0,33035.0,0.73,0.25,0.02,0.16,-0.38,0.01,0.03,0.01,0.74,-0.01,-0.02,0.81,0.16,0.0,,25,13410,50,9043,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,,29167.45663927237,-7650.326721052788,False,0.06494780111142948,0.07999999999999996,578,53,1396,135392,2530,121562,260880,0.52,0.47,0.02,0.36,-0.25,0.01,0.02,0.01,0.53,-0.01,-0.01,1.0,0.11,0.0,,123,41.0,12096.0,149.0,4248.0,16534.0,0.73,0.26,0.01,0.22,-0.17,0.01,0.01,0.01,0.74,-0.0,-0.01,0.83,0.09,0.0,,146,0.0,5703.0,3.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,106,80.0,6323.0,502.0,1160.0,8065.0,0.79,0.15,0.07,0.14,-0.11,0.06,0.07,0.05,0.8,-0.0,-0.06,0.62,0.37,0.0,
132,ClassFanOutComplexity,1405.0,16983.0,7793.0,6854.0,33035.0,0.56,0.25,0.28,0.15,-0.39,0.17,0.31,0.09,0.61,-0.09,-0.26,0.81,0.85,0.02,,93,13326,134,8975,22528,0.6,0.4,0.01,0.41,0.02,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.08,0.0,,29048.3566865852,-7769.426673739956,False,0.8074315660729745,0.020000000000000014,8450,203,6309,121937,15985,116649,260880,0.49,0.47,0.09,0.28,-0.4,0.05,0.12,0.05,0.52,-0.06,-0.07,1.0,0.42,0.01,,131,621.0,9545.0,2700.0,3668.0,16534.0,0.61,0.26,0.2,0.19,-0.28,0.14,0.22,0.09,0.64,-0.05,-0.17,0.83,0.72,0.01,,121,2.0,5694.0,12.0,2728.0,8436.0,0.68,0.32,0.0,0.14,-0.56,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.02,0.0,,111,782.0,1744.0,5081.0,458.0,8065.0,0.31,0.15,0.73,0.13,-0.13,0.63,0.74,0.12,0.34,-0.09,-0.63,0.62,0.85,0.01,
133,EmptyForIteratorPad,50.0,24491.0,285.0,8209.0,33035.0,0.74,0.25,0.01,0.15,-0.4,0.01,0.01,0.01,0.74,-0.0,-0.01,0.81,0.08,0.0,,13,13442,18,9055,22528,0.6,0.4,0.0,0.42,0.04,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,,30223.700639646846,-6594.082720678311,False,0.06592639147064032,0.08999999999999997,271,28,750,136558,1364,122208,260880,0.53,0.47,0.01,0.35,-0.25,0.01,0.01,0.01,0.53,-0.0,-0.0,1.0,0.07,0.0,,92,22.0,12180.0,65.0,4267.0,16534.0,0.74,0.26,0.01,0.25,-0.03,0.01,0.01,0.01,0.74,-0.0,-0.0,0.83,0.05,0.0,,8,3.0,5705.0,1.0,2727.0,8436.0,0.68,0.32,0.0,0.75,1.32,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.01,0.0,,136,25.0,6606.0,219.0,1215.0,8065.0,0.82,0.15,0.03,0.1,-0.33,0.02,0.03,0.02,0.83,-0.0,-0.03,0.62,0.2,0.0,
134,AnnotationLocation,80.0,24313.0,463.0,8179.0,33035.0,0.74,0.25,0.02,0.15,-0.41,0.01,0.02,0.01,0.74,-0.0,-0.02,0.81,0.12,0.0,,25,13417,43,9043,22528,0.6,0.4,0.0,0.37,-0.09,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,,28016.09535329308,-8801.68800703208,False,0.007966577080126575,0.13,306,46,126,137862,60,122832,260880,0.53,0.47,0.0,0.68,0.44,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.01,0.0,,137,35.0,12052.0,193.0,4254.0,16534.0,0.73,0.26,0.01,0.15,-0.41,0.01,0.02,0.01,0.73,-0.0,-0.01,0.83,0.1,0.0,,108,24.0,5621.0,85.0,2706.0,8436.0,0.67,0.32,0.01,0.22,-0.32,0.01,0.01,0.01,0.67,-0.0,-0.01,0.91,0.1,0.0,,138,21.0,6640.0,185.0,1219.0,8065.0,0.83,0.15,0.03,0.1,-0.34,0.02,0.03,0.01,0.83,-0.0,-0.02,0.62,0.17,0.0,
135,LambdaParameterName,21.0,24646.0,130.0,8238.0,33035.0,0.75,0.25,0.0,0.14,-0.44,0.0,0.01,0.0,0.75,-0.0,-0.0,0.81,0.04,0.0,,0,13456,4,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,25831.762306239605,-10986.021054085551,False,0.005338265252047207,0.06000000000000005,46,3,205,137821,101,122753,260880,0.53,0.47,0.0,0.67,0.42,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.01,0.0,,140,10.0,12172.0,73.0,4279.0,16534.0,0.74,0.26,0.01,0.12,-0.54,0.0,0.01,0.0,0.74,-0.0,-0.01,0.83,0.05,0.0,,19,4.0,5703.0,3.0,2726.0,8436.0,0.68,0.32,0.0,0.57,0.77,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.01,0.0,,131,7.0,6771.0,54.0,1233.0,8065.0,0.84,0.15,0.01,0.11,-0.25,0.01,0.01,0.01,0.84,-0.0,-0.01,0.62,0.06,0.0,
136,MethodCount,85.0,24243.0,533.0,8174.0,33035.0,0.74,0.25,0.02,0.14,-0.45,0.01,0.02,0.01,0.74,-0.01,-0.02,0.81,0.13,0.0,,11,13453,7,9057,22528,0.6,0.4,0.0,0.61,0.52,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,,27139.851433762396,-9677.931926562764,False,0.3554959728167467,0.020000000000000014,624,15,1003,135681,2241,121955,260880,0.52,0.47,0.01,0.31,-0.34,0.01,0.02,0.01,0.53,-0.01,-0.01,1.0,0.1,0.0,,11,4.0,12238.0,7.0,4285.0,16534.0,0.74,0.26,0.0,0.36,0.4,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,145,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,108,81.0,6299.0,526.0,1159.0,8065.0,0.79,0.15,0.08,0.13,-0.13,0.07,0.08,0.05,0.79,-0.0,-0.07,0.62,0.39,0.0,
137,AvoidEscapedUnicodeCharacters,29.0,24590.0,186.0,8230.0,33035.0,0.75,0.25,0.01,0.13,-0.46,0.0,0.01,0.0,0.75,-0.0,-0.01,0.81,0.06,0.0,,6,13445,15,9062,22528,0.6,0.4,0.0,0.29,-0.29,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,,28963.494239695465,-7854.2891206296945,False,0.03792723577649944,0.05000000000000005,211,10,1404,136200,1722,121554,260880,0.53,0.47,0.01,0.45,-0.05,0.01,0.01,0.01,0.53,-0.0,-0.0,1.0,0.09,0.0,,133,11.0,12195.0,50.0,4278.0,16534.0,0.74,0.26,0.0,0.18,-0.3,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.04,0.0,,28,2.0,5704.0,2.0,2728.0,8436.0,0.68,0.32,0.0,0.5,0.55,0.0,0.0,0.0,0.68,0.0,-0.0,0.91,0.01,0.0,,135,16.0,6691.0,134.0,1224.0,8065.0,0.83,0.15,0.02,0.11,-0.31,0.01,0.02,0.01,0.83,-0.0,-0.02,0.62,0.13,0.0,
