feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
AnnotationLocation,0.07,0.26,0.2210832210018926,212.0,0.19783407519461693,0.15191955774210686,7700.0,0.84,0.03,0.25,0.72,0.05,0.04,0.02,-0.33333333333333326,0.27
PackageDeclaration,0.03,0.29,0.141562031273116,21.0,0.19929541086888336,0.1544693429898285,7891.0,0.85,0.0,0.24,0.64,0.0,0.0,0.0,,0.31
SuperClone,0.0,0.21,0.156868345087418,42.0,0.19949047566867462,0.15449558587965934,7870.0,0.85,0.01,0.24,0.64,0.01,0.01,0.0,-1.0,0.21
NestedTryDepth,0.07,0.25,0.1872350620268322,321.0,0.19723519872997333,0.15254820071829217,7591.0,0.83,0.04,0.21,0.43,0.06,0.05,0.03,-0.25,0.26
EmptyForIteratorPad,0.06,0.25,0.1734250250429906,251.0,0.19782700223336333,0.15355275216957925,7661.0,0.84,0.03,0.21,0.42,0.05,0.04,0.01,-0.6666666666666666,0.26
OuterTypeNumber,0.0,0.21,0.14067381276518864,34.0,0.1994888032635165,0.15456289348091623,7878.0,0.85,0.0,0.21,0.41,0.01,0.01,0.0,,0.21
OneTopLevelClass,0.0,0.21,0.14067381276518864,34.0,0.1994888032635165,0.15456289348091623,7878.0,0.85,0.0,0.21,0.41,0.01,0.01,0.0,,0.21
MutableException,0.01,0.24,0.14730509004489592,10.0,0.19948570411433478,0.1545104836807059,7902.0,0.85,0.0,0.2,0.37,0.0,0.0,0.0,,0.25
JavadocTagContinuationIndentation,0.08,0.23,0.16880447168688603,888.0,0.19512534045859345,0.15203922955806304,7024.0,0.79,0.11,0.2,0.41,0.16,0.1,0.08,-0.2727272727272727,0.24
TypeName,0.02,0.23,0.166410986029828,143.0,0.19903767456367769,0.15423841382025025,7769.0,0.84,0.02,0.2,0.34,0.02,0.02,0.02,0.0,0.24
FileLength,0.08,0.24,0.1749049742443336,791.0,0.1951872769837234,0.15145412596999855,7121.0,0.79,0.1,0.19,0.33,0.13,0.09,0.07,-0.29999999999999993,0.25
AbstractClassName,0.06,0.23,0.16687544414413855,780.0,0.1963822485438354,0.152767725654125,7132.0,0.79,0.1,0.19,0.34,0.13,0.09,0.08,-0.20000000000000007,0.24
InnerAssignment,0.06,0.23,0.18037615844987057,761.0,0.1965273822132045,0.15118913694058242,7151.0,0.79,0.1,0.19,0.3,0.12,0.08,0.08,-0.20000000000000007,0.24
ModifiedControlVariable,0.04,0.22,0.16629875626134305,358.0,0.1983395782438729,0.15382667929370714,7554.0,0.83,0.05,0.19,0.32,0.06,0.05,0.04,-0.20000000000000007,0.22
AnnotationUseStyle,0.03,0.22,0.17947324274394386,285.0,0.1986147732747751,0.15342423371517375,7627.0,0.83,0.04,0.19,0.33,0.05,0.04,0.03,-0.25,0.22
UnnecessarySemicolonInEnumeration,0.01,0.22,0.16317716600172436,69.0,0.19934789093448463,0.15441868918844878,7843.0,0.85,0.01,0.19,0.29,0.01,0.01,0.01,0.0,0.22
AvoidNestedBlocks,0.04,0.22,0.17061147001996066,649.0,0.19772417705784576,0.15285908664668008,7263.0,0.8,0.08,0.19,0.32,0.11,0.07,0.07,-0.12499999999999989,0.22
IllegalThrows,0.01,0.21,0.1636612527564156,53.0,0.19945920046578175,0.15444398934878908,7859.0,0.85,0.01,0.19,0.3,0.01,0.01,0.0,-1.0,0.21
EqualsHashCode,-0.01,0.18,0.1858087881794817,74.0,0.19972578392124882,0.15417559721994378,7838.0,0.85,0.01,0.19,0.3,0.01,0.01,0.02,1.0,0.17
RequireThis,0.02,0.25,0.1502617476286218,40.0,0.19928121568467552,0.15448805216847827,7872.0,0.85,0.01,0.18,0.2,0.01,0.01,0.0,-1.0,0.26
BooleanExpressionComplexity,0.07,0.23,0.16422361630830537,1261.0,0.19462091433274006,0.15210121708609972,6651.0,0.75,0.16,0.18,0.21,0.19,0.1,0.12,-0.25,0.24
OperatorWrap,0.12,0.23,0.16391282254647618,2758.0,0.18567989922249142,0.1473774328644515,5154.0,0.63,0.35,0.18,0.25,0.43,0.15,0.28,-0.19999999999999984,0.24
AnonInnerLength,0.08,0.23,0.16261325499780516,1477.0,0.1935966084941523,0.15196867988798993,6435.0,0.74,0.19,0.18,0.25,0.23,0.11,0.15,-0.21052631578947367,0.24
AvoidStaticImport,0.1,0.22,0.16373137929320292,2618.0,0.18813539344768154,0.1484220160350063,5294.0,0.64,0.33,0.18,0.21,0.4,0.14,0.25,-0.24242424242424243,0.22
ClassMemberImpliedModifier,0.07,0.22,0.16547692139899903,1272.0,0.19513888971845106,0.1519239885750162,6640.0,0.75,0.16,0.18,0.22,0.2,0.1,0.13,-0.1875,0.22
MethodLength,0.07,0.22,0.1631756363367669,1735.0,0.19362014335228092,0.15146102290535857,6177.0,0.71,0.22,0.18,0.23,0.27,0.12,0.19,-0.13636363636363635,0.22
AtclauseOrder,0.03,0.22,0.171523231443662,567.0,0.19823979074657905,0.15304285742821358,7345.0,0.81,0.07,0.18,0.26,0.09,0.06,0.07,0.0,0.22
AvoidEscapedUnicodeCharacters,0.01,0.21,0.16195656307374406,150.0,0.1993575896665114,0.15435729771023893,7762.0,0.84,0.02,0.18,0.24,0.02,0.02,0.02,0.0,0.21
GenericWhitespace,0.0,0.2,0.16348788033410327,144.0,0.19946706931681332,0.1543382306851312,7768.0,0.84,0.02,0.18,0.24,0.02,0.02,0.02,0.0,0.2
JavadocType,0.03,0.22,0.17292473712178075,316.0,0.19848809755695845,0.15360817388497833,7596.0,0.83,0.04,0.17,0.17,0.05,0.04,0.04,0.0,0.22
ParameterNumber,0.07,0.22,0.16486245796846433,1351.0,0.19470918041732593,0.1518424524145717,6561.0,0.74,0.17,0.17,0.17,0.2,0.1,0.13,-0.23529411764705888,0.22
NPathComplexity,0.11,0.22,0.1587504437661856,3932.0,0.18229557297270851,0.14819662275221143,3980.0,0.52,0.5,0.17,0.16,0.57,0.15,0.41,-0.18000000000000005,0.22
EmptyBlock,0.03,0.22,0.15204524262081945,607.0,0.19815794661224748,0.15463179836191288,7305.0,0.8,0.08,0.17,0.17,0.09,0.06,0.06,-0.25,0.22
InnerTypeLast,0.07,0.22,0.1595441710683486,2170.0,0.19330132666085326,0.15209837446162203,5742.0,0.67,0.27,0.17,0.15,0.31,0.12,0.23,-0.14814814814814814,0.22
JavadocMethod,0.12,0.22,0.1623390394032853,4443.0,0.178905804078846,0.14119954350493616,3469.0,0.49,0.56,0.17,0.18,0.66,0.16,0.49,-0.1250000000000001,0.22
UnnecessaryParentheses,0.07,0.21,0.16057939831918328,2567.0,0.19229954110360714,0.1509743744770751,5345.0,0.64,0.32,0.17,0.16,0.38,0.13,0.29,-0.09375000000000011,0.21
ReturnCount,0.14,0.21,0.15921168660648705,5275.0,0.169814014499512,0.13998537077189702,2637.0,0.41,0.67,0.17,0.14,0.76,0.16,0.55,-0.17910447761194026,0.21
IllegalCatch,0.08,0.21,0.16168790785506357,3388.0,0.18896789258022118,0.14802847515517947,4524.0,0.57,0.43,0.17,0.15,0.49,0.14,0.37,-0.13953488372093026,0.21
JavaNCSS,0.07,0.21,0.15963779083796314,3613.0,0.18917659621095312,0.14927842609376402,4299.0,0.55,0.46,0.17,0.14,0.52,0.14,0.41,-0.10869565217391308,0.21
any-ILLEGAL CHECKS,0.08,0.21,0.16078857686571243,3944.0,0.18742510065713072,0.14700641149387386,3968.0,0.52,0.5,0.17,0.14,0.57,0.15,0.45,-0.09999999999999998,0.21
InterfaceMemberImpliedModifier,0.02,0.21,0.16034837084216988,813.0,0.19847891668769196,0.1537917581215807,7099.0,0.79,0.1,0.17,0.15,0.12,0.07,0.09,-0.10000000000000009,0.21
LocalVariableName,0.01,0.2,0.15753153687450538,831.0,0.1991088169554211,0.15414546063106788,7081.0,0.78,0.11,0.17,0.14,0.12,0.07,0.13,0.18181818181818188,0.2
ClassTypeParameterName,0.01,0.22,0.19069326990444949,44.0,0.19940365329153617,0.15427779408842365,7868.0,0.85,0.01,0.16,0.09,0.01,0.01,0.0,-1.0,0.22
ArrayTypeStyle,0.02,0.22,0.1502762138661913,371.0,0.19871278189571637,0.15466717808751154,7541.0,0.82,0.05,0.16,0.09,0.05,0.04,0.04,-0.20000000000000007,0.22
any-UNNECESSARY CHECKS,0.01,0.22,0.14944469972973512,91.0,0.1993551868752336,0.15455729653214023,7821.0,0.85,0.01,0.16,0.13,0.01,0.01,0.01,0.0,0.22
ParameterAssignment,0.06,0.21,0.1591859507065526,2434.0,0.1931652527270124,0.15195204889615757,5478.0,0.64,0.31,0.16,0.09,0.34,0.12,0.23,-0.25806451612903225,0.21
ClassDataAbstractionCoupling,0.1,0.21,0.15894349972370153,4305.0,0.18252768148012272,0.14724905200600574,3607.0,0.49,0.54,0.16,0.12,0.61,0.15,0.47,-0.12962962962962976,0.21
NestedIfDepth,0.1,0.21,0.1587608307426006,4322.0,0.18274485805028634,0.1474898203416895,3590.0,0.49,0.55,0.16,0.12,0.61,0.15,0.47,-0.14545454545454561,0.21
LocalFinalVariableName,0.02,0.21,0.14072436878072966,417.0,0.19876158797603144,0.15520188291359646,7495.0,0.82,0.05,0.16,0.1,0.06,0.04,0.04,-0.20000000000000007,0.21
CatchParameterName,0.03,0.21,0.15616843864746174,748.0,0.1981078822003129,0.1542652102505398,7164.0,0.79,0.09,0.16,0.09,0.1,0.07,0.07,-0.2222222222222221,0.21
