feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
CovariantEquals,0.01,0.24,0.16875393671397,4.0,0.15840195434826998,0.14724629362152875,15803.0,0.9,0.0,0.5,3.85,0.0,0.0,0.0,,0.25
OuterTypeNumber,0.04,0.3,0.186120690989204,22.0,0.15822390656635335,0.14710116469159748,15785.0,0.9,0.0,0.41,2.97,0.01,0.01,0.0,,0.32
OneTopLevelClass,0.04,0.3,0.186120690989204,22.0,0.15822390656635335,0.14710116469159748,15785.0,0.9,0.0,0.41,2.97,0.01,0.01,0.0,,0.32
StringLiteralEquality,0.01,0.21,0.17500257488719795,21.0,0.15834941790115648,0.1472043646189642,15786.0,0.9,0.0,0.24,1.31,0.0,0.0,0.0,,0.21
EmptyForIteratorPad,0.02,0.2,0.18955561503956214,90.0,0.15816214101412066,0.1469418388743496,15717.0,0.89,0.01,0.21,1.05,0.01,0.01,0.01,0.0,0.2
SuperClone,0.01,0.2,0.1619044413304508,37.0,0.1583171766903841,0.1472053442340576,15770.0,0.9,0.0,0.19,0.84,0.0,0.0,0.0,,0.2
AvoidNestedBlocks,0.03,0.2,0.1616463473152177,193.0,0.1579028309668182,0.14699562620793225,15614.0,0.89,0.01,0.19,0.81,0.02,0.02,0.01,0.0,0.2
PackageName,0.01,0.2,0.15139446157252107,48.0,0.15830644583947778,0.14722900894589608,15759.0,0.9,0.0,0.19,0.82,0.01,0.01,0.0,,0.2
JavadocTagContinuationIndentation,0.04,0.2,0.1691042606224671,393.0,0.15745866655233193,0.14653105197736013,15414.0,0.88,0.02,0.19,0.8,0.04,0.04,0.02,0.0,0.2
NestedTryDepth,0.02,0.19,0.1390945551658584,98.0,0.15822768103674284,0.14728484155229069,15709.0,0.89,0.01,0.19,0.88,0.01,0.01,0.0,-1.0,0.19
IllegalThrows,0.0,0.17,0.16527533343778175,45.0,0.1583854081875734,0.14720169693479732,15762.0,0.9,0.0,0.18,0.73,0.0,0.0,0.0,,0.16
RequireThis,0.01,0.24,0.11999471203334511,6.0,0.1583919170025919,0.14725580545056885,15801.0,0.9,0.0,0.17,0.62,0.0,0.0,0.0,,0.25
ClassTypeParameterName,0.01,0.19,0.18141995711696093,58.0,0.1582987704442447,0.14710436851444095,15749.0,0.89,0.0,0.17,0.67,0.01,0.01,0.0,,0.19
FallThrough,0.02,0.2,0.15912964789974332,49.0,0.15828955027630218,0.1471995617119446,15758.0,0.89,0.0,0.16,0.58,0.0,0.0,0.0,,0.2
UnnecessaryParentheses,0.06,0.19,0.16514324808708883,1360.0,0.1556825642933414,0.1451605641936087,14447.0,0.84,0.09,0.16,0.52,0.13,0.08,0.08,-0.11111111111111105,0.19
ConstantName,0.08,0.19,0.15997589233096204,2221.0,0.15349518036253257,0.14447533143339775,13586.0,0.8,0.14,0.15,0.41,0.2,0.09,0.11,-0.2142857142857143,0.19
NPathComplexity,0.06,0.19,0.15181704830597958,1610.0,0.15527951065495552,0.14639993379544863,14197.0,0.82,0.1,0.15,0.41,0.14,0.08,0.08,-0.20000000000000007,0.19
ReturnCount,0.11,0.19,0.15851593159343164,4060.0,0.1490770347671853,0.14196743866597905,11747.0,0.71,0.26,0.15,0.41,0.36,0.12,0.2,-0.23076923076923073,0.19
MissingSwitchDefault,0.03,0.18,0.15531155787963777,529.0,0.15757733488560122,0.14689774539419,15278.0,0.87,0.03,0.15,0.47,0.05,0.04,0.03,0.0,0.17
NoClone,0.01,0.18,0.1553445446456004,65.0,0.1583347618559716,0.14721653326110076,15742.0,0.89,0.0,0.15,0.49,0.01,0.01,0.0,,0.17
ClassDataAbstractionCoupling,0.07,0.19,0.15236017809572688,1822.0,0.1547349989881436,0.14617599601156742,13985.0,0.81,0.12,0.14,0.37,0.16,0.08,0.09,-0.25,0.19
OperatorWrap,0.07,0.19,0.1577185212450386,2062.0,0.15425015651884147,0.14516406869271364,13745.0,0.8,0.13,0.14,0.4,0.18,0.09,0.11,-0.15384615384615385,0.19
CyclomaticComplexity,0.08,0.18,0.14887381871329078,2601.0,0.15332604124849886,0.1463979822373421,13206.0,0.78,0.16,0.14,0.31,0.22,0.09,0.12,-0.25,0.17
